mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,model,lead_h,phase,score
2.1160289728956685,2.420208471240231,-2.1160289728956685,3.4862181452347656,3.7014048761585947,6,arvores_previsao_chuva,8.0,today,0.3174673389900468
0.33781853808787055,0.47008032939455,-0.006946372643918145,0.7305846555234372,3.4499597433731344,1340,linear_log,9.0,test,0.5214701834185567
2.822588508623837,3.0100859425037245,-2.822588508623837,3.896300563351545,4.059379462034366,5,linear_log,9.0,today,0.5214701834185567
0.31037998394591176,0.4781221339261663,-0.03511506871192509,0.628459882985107,3.425803331460962,1340,arvores,9.0,test,0.42101881284784876
2.832995138855302,2.9892123616130144,-2.832995138855302,3.869735137417395,4.058672288012432,5,arvores,9.0,today,0.42101881284784876
0.30962116269196777,0.4777187060644805,-0.03720676418147794,0.6244921757456212,3.8023925835858368,1340,arvores_previsao_chuva,9.0,test,0.42037569833628263
2.766316845817371,2.9294078869129674,-2.766316845817371,3.7836819506865957,3.990753733906337,5,arvores_previsao_chuva,9.0,today,0.42037569833628263
0.39783794215563967,0.5685583799517151,-0.08364609808175572,0.8754723222599304,4.251532377007124,1339,linear_log,10.0,test,0.6002776473766427
3.1088855821903376,3.204065208414413,-3.1088855821903376,3.897062937861665,4.031016941397446,4,linear_log,10.0,today,0.6002776473766427
0.3597995045043015,0.5234485560378934,-0.05825343531600701,0.7402796246330642,4.366430264332967,1339,arvores,10.0,test,0.44273993369986564
3.1506670086910864,3.2265946149292812,-3.1506670086910864,3.860994353389228,3.9790311165872483,4,arvores,10.0,today,0.44273993369986564
0.3589232621348689,0.531592232385675,-0.05645743766824985,0.7020515973359941,4.240166678214926,1339,arvores_previsao_chuva,10.0,test,0.5897497820164084
3.1013324212252473,3.17736072660481,-3.1013324212252473,3.8212565472653197,3.948696917386693,4,arvores_previsao_chuva,10.0,today,0.5897497820164084
0.4407420337577038,0.6277853952089268,-0.11004077633516877,0.9735991704657092,4.3677056157908485,1338,linear_log,11.0,test,0.6450117305421882
3.4105636350570117,3.452787153173564,-3.4105636350570117,3.9252510646032,4.039790395413384,3,linear_log,11.0,today,0.6450117305421882
0.4015834751284795,0.6129464502816968,-0.029519923252340003,0.7988020681408173,3.957716276959479,1338,arvores,11.0,test,0.6733188928275133
3.5290802493140228,3.563343670087777,-3.5290802493140228,4.017518142905542,4.146957500878912,3,arvores,11.0,today,0.6733188928275133
0.3937611161419653,0.5883796347601551,-0.049749550276444045,0.758417238662026,4.049081706658989,1338,arvores_previsao_chuva,11.0,test,0.661299598002236
3.3086108721811183,3.345378182831563,-3.3086108721811183,3.8011158651691694,3.9353024789495863,3,arvores_previsao_chuva,11.0,today,0.661299598002236
0.4434184096782256,0.6223010585595495,-0.12263515977481718,0.9421953356433875,4.289949330961896,1337,linear_log,12.0,test,0.7463035349690905
3.72334660308728,3.733723132157839,-3.72334660308728,3.945882534048846,4.001516516789238,2,linear_log,12.0,today,0.7463035349690905
0.4376345194753258,0.6749652258791523,-0.04183964197715979,0.8727570893067995,4.088289269077604,1337,arvores,12.0,test,0.7454206625927655
3.6843581231719362,3.6904744662610915,-3.6843581231719362,3.854265403942706,3.896742224135398,2,arvores,12.0,today,0.7454206625927655
0.43315048407944384,0.6581226659160275,-0.07262932988599004,0.8388926055910556,4.074793505172828,1337,arvores_previsao_chuva,12.0,test,0.8040303555995756
3.5440477296492325,3.547068699193937,-3.5440477296492325,3.6611379082829325,3.6904104529413577,2,arvores_previsao_chuva,12.0,today,0.8040303555995756
