year,family,horizon_h,origin,saved_m,independent_m,difference_m,original_reproduces
2022,candidate120_plus2020,9,2022-06-12T10:00:00-03:00,3.725185791881112,3.726201159191093,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-12T11:00:00-03:00,3.5030268202940045,3.504042187603986,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-12T12:00:00-03:00,3.687269062647129,3.68828442995711,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-12T13:00:00-03:00,3.645427336290944,3.6464427036009255,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-12T14:00:00-03:00,3.6529343604862152,3.653949727796196,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-12T15:00:00-03:00,3.589617814712122,3.590633182022103,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-12T16:00:00-03:00,3.5624158471414495,3.5634312144514304,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-12T17:00:00-03:00,3.572629303861617,3.573644671171598,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-12T18:00:00-03:00,3.4969287427779023,3.497944110087883,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-12T19:00:00-03:00,3.5121651946698775,3.513180561979859,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-12T20:00:00-03:00,3.5026293038616165,3.503644671171598,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-14T09:00:00-03:00,3.1564418542041346,3.1574572215141155,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-14T10:00:00-03:00,3.1815457221813856,3.182561089491367,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-14T11:00:00-03:00,3.1620956246806315,3.163110991990613,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-14T12:00:00-03:00,3.1746430046383876,3.175658371948369,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-14T13:00:00-03:00,3.1640931021391414,3.1651084694491227,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-14T14:00:00-03:00,3.1640931021391414,3.1651084694491227,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-15T11:00:00-03:00,3.2259876451433955,3.2270030124533764,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-15T12:00:00-03:00,3.1902846200569126,3.191299987366894,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-15T13:00:00-03:00,3.1547156189054806,3.1557309862154614,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-15T14:00:00-03:00,3.1121402622321193,3.1131556295421,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-15T15:00:00-03:00,3.1215355100220203,3.1225508773320017,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-15T16:00:00-03:00,3.137398238833052,3.1384136061430334,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-21T02:00:00-03:00,4.032085580698966,4.044181137417434,0.012095556718468181,True
2022,candidate120_plus2020,9,2022-06-21T03:00:00-03:00,4.147588457216017,4.148603824525997,0.0010153673099804195,True
2022,candidate120_plus2020,9,2022-06-21T04:00:00-03:00,4.040295306258069,4.04131067356805,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-21T05:00:00-03:00,3.990167150654215,3.991182517964196,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-21T06:00:00-03:00,4.019087266183824,4.0201026334938055,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-21T07:00:00-03:00,4.027774468461308,4.028789835771289,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-21T08:00:00-03:00,3.9357840566552333,3.9367994239652147,0.0010153673099813076,True
2022,candidate120_plus2020,10,2022-05-26T23:00:00-03:00,2.616327383466172,2.617600511702419,0.0012731282362468122,True
2022,candidate120_plus2020,10,2022-05-27T00:00:00-03:00,2.700880073438582,2.702153201674829,0.0012731282362468122,True
