year,family,horizon_h,origin,saved_m,independent_m,difference_m,original_reproduces,target_time,actual_m,truth_finite,level_ge7,original_abs_error_m,reconstructed_abs_error_m,original_hit,reconstructed_hit,classification_changed
2022,candidate120_plus2020,5,2022-06-19T22:00:00-03:00,5.4836818531207205,5.48645125851906,0.002769405398339586,True,2022-06-20T03:00:00-03:00,5.36,True,False,0.12368185312072022,0.1264512585190598,True,True,False
2022,candidate120_plus2020,5,2022-06-19T23:00:00-03:00,5.479985077919764,5.482754483318104,0.002769405398339586,True,2022-06-20T04:00:00-03:00,5.29,True,False,0.18998507791976404,0.19275448331810363,True,True,False
2022,candidate120_plus2020,5,2022-06-20T12:00:00-03:00,4.611486118879387,4.614255524277728,0.0027694053983404743,True,2022-06-20T17:00:00-03:00,4.61,True,False,0.0014861188793870994,0.004255524277727574,True,True,False
2022,candidate120_plus2020,5,2022-06-20T13:00:00-03:00,4.571885093647972,4.574654499046312,0.002769405398339586,True,2022-06-20T18:00:00-03:00,4.57,True,False,0.0018850936479717362,0.004654499046311322,True,True,False
2022,candidate120_plus2020,5,2022-06-20T14:00:00-03:00,4.632419526739397,4.635188932137736,0.002769405398339586,True,2022-06-20T19:00:00-03:00,4.54,True,False,0.09241952673939657,0.09518893213773616,True,True,False
2022,candidate120_plus2020,5,2022-06-20T23:00:00-03:00,4.286790829902979,4.289560235301319,0.002769405398339586,True,2022-06-21T04:00:00-03:00,4.25,True,False,0.036790829902979105,0.03956023530131869,True,True,False
2022,candidate120_plus2020,5,2022-06-21T00:00:00-03:00,4.285231935332756,4.288001340731095,0.002769405398339586,True,2022-06-21T05:00:00-03:00,4.23,True,False,0.05523193533275528,0.058001340731094864,True,True,False
2022,candidate120_plus2020,5,2022-06-21T01:00:00-03:00,4.1663364469689155,4.169105852367255,0.002769405398339586,True,2022-06-21T06:00:00-03:00,4.19,True,False,0.023663553031084916,0.02089414763274533,True,True,False
2022,candidate120_plus2020,5,2022-06-21T02:00:00-03:00,4.163317637458582,4.166087042856922,0.002769405398339586,True,2022-06-21T07:00:00-03:00,4.17,True,False,0.006682362541417852,0.003912957143078266,True,True,False
2022,candidate120_plus2020,5,2022-06-21T03:00:00-03:00,4.193755642044569,4.1965250474429086,0.002769405398339586,True,2022-06-21T08:00:00-03:00,4.14,True,False,0.053755642044569285,0.05652504744290887,True,True,False
2022,candidate120_plus2020,5,2022-06-21T04:00:00-03:00,4.104194898530011,4.1069643039283505,0.002769405398339586,True,2022-06-21T09:00:00-03:00,4.12,True,False,0.015805101469989147,0.01303569607164956,True,True,False
2022,candidate120_plus2020,5,2022-06-21T05:00:00-03:00,4.107296280916266,4.110065686314606,0.002769405398339586,True,2022-06-21T10:00:00-03:00,4.1,True,False,0.00729628091626644,0.010065686314606026,True,True,False
2022,candidate120_plus2020,5,2022-06-21T06:00:00-03:00,4.093525404023234,4.096294809421574,0.002769405398339586,True,2022-06-21T11:00:00-03:00,4.08,True,False,0.013525404023233989,0.016294809421573575,True,True,False
2022,control120,6,2022-05-06T00:00:00-03:00,6.997747424698171,6.9963471765996825,-0.00140024809848871,True,2022-05-06T06:00:00-03:00,7.09,True,True,0.09225257530182862,0.09365282340031733,True,True,False
2022,control120,6,2022-05-06T01:00:00-03:00,7.067140562640644,7.065740314542155,-0.00140024809848871,True,2022-05-06T07:00:00-03:00,6.99,True,False,0.0771405626406434,0.07574031454215469,True,True,False
2022,control120,6,2022-05-06T02:00:00-03:00,6.839259182897213,6.837858934798724,-0.00140024809848871,True,2022-05-06T08:00:00-03:00,6.92,True,False,0.0807408171027868,0.08214106520127551,True,True,False
2022,control120,6,2022-06-02T04:00:00-03:00,4.808460220885306,4.807059972786817,-0.00140024809848871,True,2022-06-02T10:00:00-03:00,4.67,True,False,0.13846022088530585,0.13705997278681714,True,True,False
2022,control120,6,2022-06-04T15:00:00-03:00,3.5963249697382147,3.594924721639726,-0.00140024809848871,True,2022-06-04T21:00:00-03:00,3.55,True,False,0.04632496973821487,0.04492472163972616,True,True,False
2022,control120,6,2022-06-04T16:00:00-03:00,3.5798034378487804,3.5784031897502917,-0.00140024809848871,True,2022-06-04T22:00:00-03:00,3.54,True,False,0.039803437848780376,0.038403189750291666,True,True,False
2022,control120,6,2022-06-04T17:00:00-03:00,3.5763249697382147,3.574924721639726,-0.00140024809848871,True,2022-06-04T23:00:00-03:00,3.54,True,False,0.03632496973821464,0.03492472163972593,True,True,False
2022,control120,6,2022-06-09T17:00:00-03:00,5.426083511769377,5.424683263670889,-0.00140024809848871,True,2022-06-09T23:00:00-03:00,5.3,True,False,0.1260835117693775,0.12468326367088878,True,True,False
2022,control120,6,2022-06-09T18:00:00-03:00,5.4226021639663555,5.421201915867867,-0.00140024809848871,True,2022-06-10T00:00:00-03:00,5.25,True,False,0.17260216396635553,0.17120191586786682,True,True,False
2022,control120,6,2022-06-09T19:00:00-03:00,5.32470516149769,5.323304913399201,-0.00140024809848871,True,2022-06-10T01:00:00-03:00,5.21,True,False,0.11470516149768972,0.11330491339920101,True,True,False
2022,control120,6,2022-06-10T20:00:00-03:00,4.409683505294623,4.408283257196135,-0.00140024809848871,True,2022-06-11T02:00:00-03:00,4.38,True,False,0.02968350529462338,0.02828325719613467,True,True,False
2022,control120,6,2022-06-10T21:00:00-03:00,4.395204551315539,4.39380430321705,-0.00140024809848871,True,2022-06-11T03:00:00-03:00,4.36,True,False,0.035204551315538346,0.033804303217049636,True,True,False
2022,control120,6,2022-06-10T22:00:00-03:00,4.440193170773201,4.438792922674712,-0.00140024809848871,True,2022-06-11T04:00:00-03:00,4.33,True,False,0.11019317077320068,0.10879292267471197,True,True,False
2022,control120,6,2022-06-12T21:00:00-03:00,3.481928129405645,3.480527881307156,-0.00140024809848871,True,2022-06-13T03:00:00-03:00,3.45,True,False,0.0319281294056446,0.03052788130715589,True,True,False
2022,control120,6,2022-06-21T14:00:00-03:00,4.1558942155287175,4.154493967430229,-0.00140024809848871,True,2022-06-21T20:00:00-03:00,4.13,True,False,0.025894215528717623,0.024493967430228913,True,True,False
2022,control120,6,2022-06-21T15:00:00-03:00,4.169465462474053,4.168065214375564,-0.00140024809848871,True,2022-06-21T21:00:00-03:00,4.23,True,False,0.06053453752594784,0.06193478562443655,True,True,False
2022,control120,6,2022-06-21T16:00:00-03:00,4.200293900802955,4.1988936527044665,-0.00140024809848871,True,2022-06-21T22:00:00-03:00,4.34,True,False,0.1397060991970447,0.1411063472955334,True,True,False
2022,candidate120_plus2020,7,2022-05-05T17:00:00-03:00,7.308120297180453,7.300494441651508,-0.007625855528945458,True,2022-05-06T00:00:00-03:00,7.59,True,True,0.28187970281954655,0.289505558348492,True,True,False
2022,candidate120_plus2020,7,2022-06-08T15:00:00-03:00,7.0864360921040435,7.0975495147384455,0.01111342263440207,True,2022-06-08T22:00:00-03:00,6.73,True,False,0.35643609210404303,0.3675495147384451,True,True,False
2022,candidate120_plus2020,7,2022-06-09T00:00:00-03:00,6.657086027177789,6.6681994498121915,0.01111342263440207,True,2022-06-09T07:00:00-03:00,6.14,True,False,0.5170860271777897,0.5281994498121918,False,False,False
2022,control120,8,2022-05-29T17:00:00-03:00,6.925104069493642,6.917926003985455,-0.007178065508187004,True,2022-05-30T01:00:00-03:00,11.12,True,True,4.194895930506357,4.202073996014544,False,False,False
2022,control120,9,2022-05-05T09:00:00-03:00,7.923137936543241,7.918112288678987,-0.005025647864253635,True,2022-05-05T18:00:00-03:00,8.2,True,True,0.27686206345675846,0.2818877113210121,True,True,False
2022,control120,9,2022-05-06T19:00:00-03:00,5.262236039221605,5.257210391357352,-0.005025647864253635,True,2022-05-07T04:00:00-03:00,5.53,True,False,0.26776396077839504,0.2727896086426487,True,True,False
2022,control120,9,2022-05-23T01:00:00-03:00,2.9208109304143983,2.9295607263520678,0.008749795937669447,True,2022-05-23T10:00:00-03:00,3.01,True,False,0.08918906958560147,0.08043927364793202,True,True,False
2022,control120,9,2022-05-23T02:00:00-03:00,2.878557269646765,2.887307065584435,0.00874979593766989,True,2022-05-23T11:00:00-03:00,3.01,True,False,0.13144273035323462,0.12269293441556473,True,True,False
2022,control120,9,2022-05-23T03:00:00-03:00,2.9249393467490474,2.933689142686717,0.008749795937669447,True,2022-05-23T12:00:00-03:00,3.01,True,False,0.08506065325095236,0.07631085731328291,True,True,False
2022,control120,9,2022-05-23T04:00:00-03:00,2.872898287136039,2.881648083073709,0.00874979593766989,True,2022-05-23T13:00:00-03:00,3.01,True,False,0.13710171286396067,0.12835191692629078,True,True,False
2022,control120,9,2022-05-23T05:00:00-03:00,2.8751015180933117,2.883851314030981,0.008749795937669447,True,2022-05-23T14:00:00-03:00,3.0,True,False,0.12489848190668829,0.11614868596901884,True,True,False
2022,control120,9,2022-05-23T06:00:00-03:00,2.8618610994250924,2.8706108953627623,0.00874979593766989,True,2022-05-23T15:00:00-03:00,2.99,True,False,0.12813890057490784,0.11938910463723795,True,True,False
2022,control120,9,2022-05-23T07:00:00-03:00,2.8903365805947345,2.899086376532404,0.008749795937669447,True,2022-05-23T16:00:00-03:00,2.99,True,False,0.09966341940526569,0.09091362346759624,True,True,False
2022,control120,9,2022-05-23T08:00:00-03:00,2.826073790091762,2.8348235860294313,0.008749795937669447,True,2022-05-23T17:00:00-03:00,2.98,True,False,0.15392620990823813,0.14517641397056869,True,True,False
2022,control120,9,2022-05-23T09:00:00-03:00,2.841861099425093,2.8506108953627622,0.008749795937669447,True,2022-05-23T18:00:00-03:00,2.97,True,False,0.1281389005749074,0.11938910463723795,True,True,False
2022,control120,9,2022-05-23T10:00:00-03:00,2.8419143112495093,2.850664107187179,0.00874979593766989,True,2022-05-23T19:00:00-03:00,2.96,True,False,0.11808568875049064,0.10933589281282075,True,True,False
2022,control120,9,2022-05-30T21:00:00-03:00,9.992708290530656,9.983499545006765,-0.009208745523890727,True,2022-05-31T06:00:00-03:00,8.99,True,True,1.0027082905306557,0.993499545006765,False,False,False
2022,control120,9,2022-06-08T01:00:00-03:00,8.389177606949486,8.379968861425596,-0.009208745523890727,True,2022-06-08T10:00:00-03:00,7.82,True,True,0.569177606949486,0.5599688614255953,False,False,False
2022,control120,9,2022-06-08T02:00:00-03:00,8.097349885078454,8.088141139554564,-0.009208745523890727,True,2022-06-08T11:00:00-03:00,7.67,True,True,0.4273498850784545,0.4181411395545638,True,True,False
2022,control120,9,2022-06-08T07:00:00-03:00,7.680723823968695,7.67569817610444,-0.005025647864254523,True,2022-06-08T16:00:00-03:00,7.16,True,True,0.5207238239686944,0.5156981761044399,False,False,False
2022,control120,9,2022-06-08T09:00:00-03:00,7.104231498157884,7.095022752633993,-0.009208745523891615,True,2022-06-08T18:00:00-03:00,7.0,True,True,0.10423149815788424,0.09502275263399262,True,True,False
2022,control120,9,2022-06-08T11:00:00-03:00,7.268101798672479,7.258893053148588,-0.009208745523890727,True,2022-06-08T20:00:00-03:00,6.89,True,False,0.3781017986724793,0.36889305314858856,True,True,False
2022,control120,9,2022-06-08T13:00:00-03:00,6.652354536602763,6.643145791078872,-0.009208745523890727,True,2022-06-08T22:00:00-03:00,6.73,True,False,0.07764546339723744,0.08685420892112816,True,True,False
2022,control120,9,2022-06-08T16:00:00-03:00,6.748334480813918,6.7433088329496655,-0.005025647864252747,True,2022-06-09T01:00:00-03:00,6.53,True,False,0.21833448081391804,0.2133088329496653,True,True,False
2022,control120,9,2022-06-08T17:00:00-03:00,6.4998100138528825,6.494784365988629,-0.005025647864253635,True,2022-06-09T02:00:00-03:00,6.46,True,False,0.03981001385288252,0.034784365988628885,True,True,False
2022,candidate120_plus2020,9,2022-05-09T12:00:00-03:00,3.532023160602453,3.5330385279124337,0.0010153673099808636,True,2022-05-09T21:00:00-03:00,3.56,True,False,0.02797683939754725,0.026961472087566385,True,True,False
2022,candidate120_plus2020,9,2022-05-09T13:00:00-03:00,3.4713095390736664,3.4723249063836477,0.0010153673099813076,True,2022-05-09T22:00:00-03:00,3.55,True,False,0.07869046092633347,0.07767509361635216,True,True,False
2022,candidate120_plus2020,9,2022-05-09T14:00:00-03:00,3.4567778890135754,3.4577932563235563,0.0010153673099808636,True,2022-05-09T23:00:00-03:00,3.52,True,False,0.0632221109864246,0.06220674367644374,True,True,False
2022,candidate120_plus2020,9,2022-05-09T15:00:00-03:00,3.428336678841821,3.4293520461518017,0.0010153673099808636,True,2022-05-10T00:00:00-03:00,3.49,True,False,0.06166332115817941,0.060647953848198544,True,True,False
2022,candidate120_plus2020,9,2022-05-09T16:00:00-03:00,3.4920952137109937,3.493110581020975,0.0010153673099813076,True,2022-05-10T01:00:00-03:00,3.46,True,False,0.032095213710993775,0.03311058102097508,True,True,False
2022,candidate120_plus2020,9,2022-05-09T17:00:00-03:00,3.4720952137109937,3.4731105810209746,0.0010153673099808636,True,2022-05-10T02:00:00-03:00,3.44,True,False,0.032095213710993775,0.03311058102097464,True,True,False
2022,candidate120_plus2020,9,2022-05-12T07:00:00-03:00,2.9758230797547,2.976838447064681,0.0010153673099813076,True,2022-05-12T16:00:00-03:00,3.01,True,False,0.03417692024529995,0.03316155293531864,True,True,False
2022,candidate120_plus2020,9,2022-05-12T08:00:00-03:00,2.956434726346319,2.9574500936563,0.0010153673099813076,True,2022-05-12T17:00:00-03:00,3.01,True,False,0.05356527365368091,0.052549906343699604,True,True,False
2022,candidate120_plus2020,9,2022-05-12T09:00:00-03:00,2.956434726346319,2.9574500936563,0.0010153673099813076,True,2022-05-12T18:00:00-03:00,3.01,True,False,0.05356527365368091,0.052549906343699604,True,True,False
2022,candidate120_plus2020,9,2022-05-12T10:00:00-03:00,2.9589821063040747,2.959997473614056,0.0010153673099813076,True,2022-05-12T19:00:00-03:00,3.01,True,False,0.05101789369592513,0.050002526385943824,True,True,False
2022,candidate120_plus2020,9,2022-05-12T11:00:00-03:00,3.1033062374433165,3.1043216047532978,0.0010153673099813076,True,2022-05-12T20:00:00-03:00,3.01,True,False,0.09330623744331668,0.09432160475329798,True,True,False
2022,candidate120_plus2020,9,2022-05-14T04:00:00-03:00,2.443086104613249,2.44410147192323,0.0010153673099813076,True,2022-05-14T13:00:00-03:00,2.52,True,False,0.0769138953867512,0.07589852807676989,True,True,False
2022,candidate120_plus2020,9,2022-05-14T05:00:00-03:00,2.1503914744037713,2.1514068417137526,0.0010153673099813076,True,2022-05-14T14:00:00-03:00,2.6,True,False,0.44960852559622877,0.44859315828624746,True,True,False
2022,candidate120_plus2020,9,2022-05-14T06:00:00-03:00,2.2129042696412693,2.21391963695125,0.0010153673099808636,True,2022-05-14T15:00:00-03:00,2.71,True,False,0.49709573035873067,0.4960803630487498,True,True,False
2022,candidate120_plus2020,9,2022-05-14T07:00:00-03:00,2.3769704654496637,2.3779858327596446,0.0010153673099808636,True,2022-05-14T16:00:00-03:00,2.8,True,False,0.4230295345503361,0.42201416724035523,True,True,False
2022,candidate120_plus2020,9,2022-05-14T08:00:00-03:00,2.552094835558951,2.553110202868932,0.0010153673099813076,True,2022-05-14T17:00:00-03:00,2.86,True,False,0.3079051644410491,0.3068897971310678,True,True,False
2022,candidate120_plus2020,9,2022-05-14T09:00:00-03:00,3.1435590216814417,3.1445743889914226,0.0010153673099808636,True,2022-05-14T18:00:00-03:00,2.9,True,False,0.24355902168144183,0.2445743889914227,True,True,False
2022,candidate120_plus2020,9,2022-05-14T15:00:00-03:00,2.9820238892483646,2.9830392565583455,0.0010153673099808636,True,2022-05-15T00:00:00-03:00,2.93,True,False,0.05202388924836443,0.053039256558345294,True,True,False
