phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,aged_hits,hits_delta,reference_mae_m,aged_mae_m,mae_m_delta,reference_bias_m,aged_bias_m,bias_m_delta,reference_p98_abs_m,aged_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,aged_max_abs_m,max_abs_m_delta
test,A,1,missing24,all,mixed_profile_candidate,primary_unaged,594,589,5,583,583,0,0.05864261690320395,0.05903720397535961,0.00039458707215565825,0.0028873984516206205,0.004021645356267611,0.0011342469046469903,0.3450497054481585,0.3491332604098473,0.004083554961688829,1.141419228155974,1.1694974274009189,0.028078199244944813
test,A,1,missing24,all,profile_A_control,matching_profile,594,589,5,583,583,0,0.05233542855779558,0.05903720397535961,0.006701775417564032,-0.001260505686186085,0.004021645356267611,0.005282151042453696,0.30304356193663556,0.3491332604098473,0.04608969847321176,1.2985394062094997,1.1694974274009189,-0.12904197880858082
test,A,1,missing24,all,profile_B_control,cross_profile,594,589,5,575,583,8,0.07226160773529214,0.05903720397535961,-0.01322440375993253,0.004817843951704128,0.004021645356267611,-0.0007961985954365175,0.549141731456145,0.3491332604098473,-0.20000847104629765,1.1376505785463262,1.1694974274009189,0.03184684885459266
test,A,1,missing24,level_ge_7m,mixed_profile_candidate,primary_unaged,93,92,1,87,87,0,0.11919864681365469,0.12255748834587096,0.0033588415322162724,0.005092434963501487,0.009598202858381701,0.004505767894880214,0.8242910444531536,0.8472015703358792,0.022910525882725574,1.141419228155974,1.1694974274009189,0.028078199244944813
test,A,1,missing24,level_ge_7m,profile_A_control,matching_profile,93,92,1,86,87,1,0.1278101843676642,0.12255748834587096,-0.005252696021793235,-0.003295252037427247,0.009598202858381701,0.012893454895808948,0.9799900488125015,0.8472015703358792,-0.13278847847662234,1.2985394062094997,1.1694974274009189,-0.12904197880858082
test,A,1,missing24,level_ge_7m,profile_B_control,cross_profile,93,92,1,87,87,0,0.10687189056822423,0.12255748834587096,0.015685597777646734,-0.007329866621126094,0.009598202858381701,0.016928069479507795,0.8088713084859145,0.8472015703358792,0.038330261849964686,1.1376505785463262,1.1694974274009189,0.03184684885459266
test,A,2,full_schedule,all,mixed_profile_candidate,primary_unaged,1943,1936,7,1895,1902,7,0.0875271938439811,0.07277812869750151,-0.014749065146479584,0.011391082081633634,0.01327478869684175,0.001883706615208116,0.5088748763256037,0.4623647886228535,-0.04651008770275017,2.35798379080882,2.346097569851504,-0.011886220957316063
test,A,2,full_schedule,all,profile_A_control,matching_profile,1943,1936,7,1915,1902,-13,0.06470988559156808,0.07277812869750151,0.008068243105933431,0.0039223171572363566,0.01327478869684175,0.009352471539605393,0.3688797265165805,0.4623647886228535,0.093485062106273,2.430986906354253,2.346097569851504,-0.08488933650274877
test,A,2,full_schedule,all,profile_B_control,cross_profile,1943,1936,7,1865,1902,37,0.11406009111190221,0.07277812869750151,-0.0412819624144007,0.01252278220881248,0.01327478869684175,0.0007520064880292693,0.6898452617630729,0.4623647886228535,-0.2274804731402194,2.3364175247165386,2.346097569851504,0.009680045134965454
test,A,2,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unaged,237,236,1,225,226,1,0.13368154358694637,0.13614122845602752,0.002459684869081158,-0.016494687570648987,-0.003415615699732082,0.013079071870916906,0.7447002771129736,0.7492842418133244,0.004583964700350829,2.35798379080882,2.346097569851504,-0.011886220957316063
test,A,2,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,225,226,1,0.1420297534699279,0.13614122845602752,-0.005888525013900386,-0.01521221496331502,-0.003415615699732082,0.011796599263582938,0.6927020057861919,0.7492842418133244,0.056582236027132526,2.430986906354253,2.346097569851504,-0.08488933650274877
test,A,2,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,226,226,0,0.13583696487566047,0.13614122845602752,0.00030426358036705903,-0.020765015388159645,-0.003415615699732082,0.017349399688427563,0.7101871283579573,0.7492842418133244,0.03909711345536715,2.3364175247165386,2.346097569851504,0.009680045134965454
test,A,2,complete24,all,mixed_profile_candidate,primary_unaged,1348,1348,0,1326,1335,9,0.0816756776076114,0.060812871195698566,-0.020862806411912828,0.012725536496433798,0.014555339993378352,0.0018298034969445546,0.41502423933591587,0.31585551469737955,-0.09916872463853632,0.9929772418768914,0.8166591416371498,-0.1763181002397416
test,A,2,complete24,all,profile_A_control,matching_profile,1348,1348,0,1344,1335,-9,0.05291251719277879,0.060812871195698566,0.007900354002919774,0.005210753638610464,0.014555339993378352,0.009344586354767887,0.2678823640126271,0.31585551469737955,0.04797315068475244,0.6439704232183767,0.8166591416371498,0.1726887184187731
test,A,2,complete24,all,profile_B_control,cross_profile,1348,1348,0,1314,1335,21,0.10562542625149562,0.060812871195698566,-0.04481255505579706,0.013599392780654565,0.014555339993378352,0.0009559472127237869,0.5244956615891607,0.31585551469737955,-0.20864014689178118,1.189884159398604,0.8166591416371498,-0.3732250177614542
test,A,2,complete24,level_ge_7m,mixed_profile_candidate,primary_unaged,143,143,0,142,143,1,0.08185628634492033,0.08421187066975827,0.002355584324837942,-0.0026010805416226013,0.007971621865751096,0.010572702407373697,0.3904999810928229,0.4039965938015742,0.013496612708751299,0.5127623059546487,0.49334382924523545,-0.019418476709413213
test,A,2,complete24,level_ge_7m,profile_A_control,matching_profile,143,143,0,142,143,1,0.09258772384609314,0.08421187066975827,-0.008375853176334866,0.00046605102477010745,0.007971621865751096,0.0075055708409809884,0.40353061655940614,0.4039965938015742,0.0004659772421680697,0.5105362240356985,0.49334382924523545,-0.017192394790463084
test,A,2,complete24,level_ge_7m,profile_B_control,cross_profile,143,143,0,142,143,1,0.09340529719708594,0.08421187066975827,-0.009193426527327672,0.0018082555762108032,0.007971621865751096,0.006163366289540293,0.4370129997258335,0.4039965938015742,-0.03301640592425931,0.5901278640543755,0.49334382924523545,-0.09678403480914
test,A,2,missing24,all,mixed_profile_candidate,primary_unaged,595,588,7,569,567,-2,0.10094189433144085,0.10020868501115868,-0.0007332093202821743,0.008331822640901286,0.010339103071448311,0.0020072804305470253,0.5849392272179951,0.6041377303569583,0.019198503138963208,2.35798379080882,2.346097569851504,-0.011886220957316063
