phase,horizon_h,population,subset,scheduled_rows,missing_truth,observed_targets,pairs,failures,control_hits,augmented_hits,hit_change,control_mae_m,augmented_mae_m,mae_change_m,control_max_abs_m,augmented_max_abs_m,max_change_m
test,11,complete_upstream18,level_ge_7m,1353,5,140,140,0,56,55,-1,0.9015637865347391,0.9073231155059456,0.005759328971206457,3.2613418027195102,3.5906485043616545,0.32930670164214426
test,11,full_schedule,all,1957,23,1934,1916,18,1367,1353,-14,0.4690892383514233,0.45982436277070066,-0.009264875580722642,7.154155835489432,7.162860263084974,0.008704427595541908
test,11,full_schedule,level_ge_7m,1957,23,237,236,1,80,85,5,1.3099543131639617,1.271887576421387,-0.03806673674257466,7.154155835489432,7.162860263084974,0.008704427595541908
test,11,missing_upstream18,all,604,18,586,569,17,375,383,8,0.6271217041942468,0.5908606904296603,-0.03626101376458657,7.154155835489432,7.162860263084974,0.008704427595541908
test,11,missing_upstream18,level_ge_7m,604,18,97,96,1,24,30,6,1.9055238311649108,1.8035440819230721,-0.10197974924183861,7.154155835489432,7.162860263084974,0.008704427595541908
test,12,complete_upstream18,all,1352,5,1347,1346,1,971,977,6,0.421158445709733,0.41537204322014365,-0.005786402489589337,3.789866562982221,3.7366226750652185,-0.0532438879170023
test,12,complete_upstream18,level_ge_7m,1352,5,140,140,0,57,50,-7,0.954638869018541,0.9690021438103904,0.0143632747918494,3.789866562982221,3.7366226750652185,-0.0532438879170023
test,12,full_schedule,all,1956,23,1933,1914,19,1341,1345,4,0.49192643675761727,0.47671018281823474,-0.015216253939382529,8.059887634382665,7.174798746042622,-0.885088888340043
test,12,full_schedule,level_ge_7m,1956,23,237,236,1,79,75,-4,1.419848006023937,1.366877431108205,-0.05297057491573187,8.059887634382665,7.174798746042622,-0.885088888340043
test,12,missing_upstream18,all,604,18,586,568,18,370,368,-2,0.6596266408957376,0.6220642953165282,-0.037562345579209455,8.059887634382665,7.174798746042622,-0.885088888340043
test,12,missing_upstream18,level_ge_7m,604,18,97,96,1,22,25,3,2.0982779974901393,1.9471122250841848,-0.15116577240595452,8.059887634382665,7.174798746042622,-0.885088888340043
validation,1,complete_upstream18,all,6052,23,6029,6012,17,6005,6004,-1,0.03223666316086127,0.033843188877675234,0.0016065257168139668,0.8377492946785994,0.8833202854291589,0.04557099075055948
validation,1,complete_upstream18,level_ge_7m,6052,23,28,28,0,27,28,1,0.11175831395564192,0.10785300605884565,-0.003905307896796273,0.5495482370290699,0.4987287585302056,-0.05081947849886426
validation,1,full_schedule,all,6551,34,6517,6485,32,6476,6475,-1,0.04061131280517209,0.03587835259632245,-0.00473296020884964,0.8377492946785994,0.8833202854291589,0.04557099075055948
validation,1,full_schedule,level_ge_7m,6551,34,28,28,0,27,28,1,0.11175831395564192,0.10785300605884565,-0.003905307896796273,0.5495482370290699,0.4987287585302056,-0.05081947849886426
validation,1,missing_upstream18,all,499,11,488,473,15,471,471,0,0.14705611970072532,0.06174601491451919,-0.08531010478620613,0.6525121643332157,0.7975660224653423,0.14505385813212657
validation,1,missing_upstream18,level_ge_7m,499,11,0,0,0,0,0,0,,,,,,
validation,2,complete_upstream18,all,6052,27,6025,6008,17,5998,5996,-2,0.039870847550834976,0.04293559967760832,0.0030647521267733457,1.529144066050014,1.404936291437802,-0.12420777461221189
validation,2,complete_upstream18,level_ge_7m,6052,27,28,28,0,28,28,0,0.1272477658500362,0.13511955229142725,0.007871786441391054,0.49159525822109984,0.46796161614206255,-0.023633642079037287
validation,2,full_schedule,all,6550,34,6516,6483,33,6463,6458,-5,0.04697639021777642,0.04613520718562284,-0.0008411830321535807,1.529144066050014,1.404936291437802,-0.12420777461221189
validation,2,full_schedule,level_ge_7m,6550,34,28,28,0,28,28,0,0.1272477658500362,0.13511955229142725,0.007871786441391054,0.49159525822109984,0.46796161614206255,-0.023633642079037287
validation,2,missing_upstream18,all,498,7,491,475,16,465,462,-3,0.13685028567669047,0.08660519015015165,-0.050245095526538816,0.8408999197809859,0.9406457868760261,0.09974586709504019
validation,2,missing_upstream18,level_ge_7m,498,7,0,0,0,0,0,0,,,,,,
validation,3,complete_upstream18,all,6052,27,6025,6008,17,5981,5987,6,0.05021648529414181,0.05100833096873412,0.000791845674592305,1.9711629977394143,1.7618698423225414,-0.20929315541687288
validation,3,complete_upstream18,level_ge_7m,6052,27,28,28,0,26,27,1,0.14959411655102878,0.15897043189009014,0.009376315339061359,0.8236742817138918,0.6169649364250152,-0.20670934528887663
validation,3,full_schedule,all,6549,34,6515,6481,34,6434,6446,12,0.059442849304242845,0.055262712838616786,-0.0041801364656260595,1.9711629977394143,1.7618698423225414,-0.20929315541687288
validation,3,full_schedule,level_ge_7m,6549,34,28,28,0,26,27,1,0.14959411655102878,0.15897043189009014,0.009376315339061359,0.8236742817138918,0.6169649364250152,-0.20670934528887663
validation,3,missing_upstream18,all,497,7,490,473,17,453,459,6,0.17663522768201642,0.10930145760448359,-0.06733377007753283,1.1227443876755785,0.9001936006061899,-0.22255078706938858
validation,3,missing_upstream18,level_ge_7m,497,7,0,0,0,0,0,0,,,,,,
validation,4,complete_upstream18,all,6052,32,6020,6003,17,5972,5970,-2,0.06042667303999245,0.0647490105277622,0.004322337487769758,2.3443139281322054,1.7699094314496264,-0.574404496682579
validation,4,complete_upstream18,level_ge_7m,6052,32,28,28,0,27,27,0,0.18225033037992147,0.16898347869280797,-0.013266851687113501,0.561008592115118,0.503930142699331,-0.05707844941578699
validation,4,full_schedule,all,6548,34,6514,6480,34,6411,6414,3,0.07054729055411385,0.07149639529680597,0.0009491047426921223,2.3443139281322054,1.7699094314496264,-0.574404496682579
validation,4,full_schedule,level_ge_7m,6548,34,28,28,0,27,27,0,0.18225033037992147,0.16898347869280797,-0.013266851687113501,0.561008592115118,0.503930142699331,-0.05707844941578699
validation,4,missing_upstream18,all,496,2,494,477,17,439,444,5,0.19791430719409445,0.15641159606948885,-0.0415027111246056,0.9619429676720079,1.4310939319199552,0.4691509642479472
validation,4,missing_upstream18,level_ge_7m,496,2,0,0,0,0,0,0,,,,,,
validation,5,complete_upstream18,all,6052,30,6022,6005,17,5948,5948,0,0.07404683713479451,0.07763808126090246,0.003591244126107951,2.13998043891651,2.2877692677646824,0.14778882884817257
validation,5,complete_upstream18,level_ge_7m,6052,30,28,28,0,27,26,-1,0.2049457152856696,0.2069427268842947,0.001997011598625087,1.110735224661627,1.2678339314169245,0.15709870675529736
