phase,profile,horizon_h,family,scheduled,applied,imputed_slope_cells,manual_max_difference_m,native_exact
validation,A,7,profile_B_control,6545,6505,2450,0.0,True
validation,A,7,mixed_profile_candidate,6545,6505,2450,0.0,True
validation,A,7,linear_trend_only,6545,6505,2450,0.0,True
validation,A,7,linear_trend_hybrid,6545,6505,2450,0.0,True
validation,B,7,profile_A_control,6545,6515,2418,0.0,True
validation,B,7,profile_B_control,6545,6515,2418,0.0,True
validation,B,7,mixed_profile_candidate,6545,6515,2418,0.0,True
validation,B,7,linear_trend_only,6545,6515,2418,0.0,True
validation,B,7,linear_trend_hybrid,6545,6515,2418,0.0,True
test,A,7,profile_A_control,1961,1938,2836,0.0,True
test,A,7,profile_B_control,1961,1938,2836,0.0,True
test,A,7,mixed_profile_candidate,1961,1938,2836,0.0,True
test,A,7,linear_trend_only,1961,1938,2836,0.0,True
test,A,7,linear_trend_hybrid,1961,1938,2836,0.0,True
test,B,7,profile_A_control,1961,1939,2839,0.0,True
test,B,7,profile_B_control,1961,1939,2839,0.0,True
test,B,7,mixed_profile_candidate,1961,1939,2839,0.0,True
test,B,7,linear_trend_only,1961,1939,2839,0.0,True
test,B,7,linear_trend_hybrid,1961,1939,2839,0.0,True
validation,A,8,profile_A_control,6544,6504,2445,0.0,True
validation,A,8,profile_B_control,6544,6504,2445,0.0,True
validation,A,8,mixed_profile_candidate,6544,6504,2445,0.0,True
validation,A,8,linear_trend_only,6544,6504,2445,0.0,True
validation,A,8,linear_trend_hybrid,6544,6504,2445,0.0,True
validation,B,8,profile_A_control,6544,6514,2413,0.0,True
validation,B,8,profile_B_control,6544,6514,2413,0.0,True
validation,B,8,mixed_profile_candidate,6544,6514,2413,0.0,True
validation,B,8,linear_trend_only,6544,6514,2413,0.0,True
validation,B,8,linear_trend_hybrid,6544,6514,2413,0.0,True
test,A,8,profile_A_control,1960,1937,2836,0.0,True
test,A,8,profile_B_control,1960,1937,2836,0.0,True
test,A,8,mixed_profile_candidate,1960,1937,2836,0.0,True
test,A,8,linear_trend_only,1960,1937,2836,0.0,True
test,A,8,linear_trend_hybrid,1960,1937,2836,0.0,True
test,B,8,profile_A_control,1960,1938,2839,0.0,True
test,B,8,profile_B_control,1960,1938,2839,0.0,True
test,B,8,mixed_profile_candidate,1960,1938,2839,0.0,True
test,B,8,linear_trend_only,1960,1938,2839,0.0,True
test,B,8,linear_trend_hybrid,1960,1938,2839,0.0,True
validation,A,9,profile_A_control,6543,6503,2440,0.0,True
validation,A,9,profile_B_control,6543,6503,2440,0.0,True
validation,A,9,mixed_profile_candidate,6543,6503,2440,0.0,True
validation,A,9,linear_trend_only,6543,6503,2440,0.0,True
validation,A,9,linear_trend_hybrid,6543,6503,2440,0.0,True
validation,B,9,profile_A_control,6543,6513,2408,0.0,True
validation,B,9,profile_B_control,6543,6513,2408,0.0,True
validation,B,9,mixed_profile_candidate,6543,6513,2408,0.0,True
validation,B,9,linear_trend_only,6543,6513,2408,0.0,True
validation,B,9,linear_trend_hybrid,6543,6513,2408,0.0,True
test,A,9,profile_A_control,1959,1936,2836,0.0,True
test,A,9,profile_B_control,1959,1936,2836,0.0,True
test,A,9,mixed_profile_candidate,1959,1936,2836,0.0,True
test,A,9,linear_trend_only,1959,1936,2836,0.0,True
test,A,9,linear_trend_hybrid,1959,1936,2836,0.0,True
test,B,9,profile_A_control,1959,1937,2839,0.0,True
test,B,9,profile_B_control,1959,1937,2839,0.0,True
test,B,9,mixed_profile_candidate,1959,1937,2839,0.0,True
test,B,9,linear_trend_only,1959,1937,2839,0.0,True
test,B,9,linear_trend_hybrid,1959,1937,2839,0.0,True
validation,A,10,profile_A_control,6542,6502,2435,0.0,True
validation,A,10,profile_B_control,6542,6502,2435,0.0,True
validation,A,10,mixed_profile_candidate,6542,6502,2435,0.0,True
validation,A,10,linear_trend_only,6542,6502,2435,0.0,True
validation,A,10,linear_trend_hybrid,6542,6502,2435,0.0,True
validation,B,10,profile_A_control,6542,6512,2403,0.0,True
validation,B,10,profile_B_control,6542,6512,2403,0.0,True
validation,B,10,mixed_profile_candidate,6542,6512,2403,0.0,True
validation,B,10,linear_trend_only,6542,6512,2403,0.0,True
validation,B,10,linear_trend_hybrid,6542,6512,2403,0.0,True
test,A,10,profile_A_control,1958,1935,2836,0.0,True
test,A,10,profile_B_control,1958,1935,2836,0.0,True
test,A,10,mixed_profile_candidate,1958,1935,2836,0.0,True
test,A,10,linear_trend_only,1958,1935,2836,0.0,True
test,A,10,linear_trend_hybrid,1958,1935,2836,0.0,True
test,B,10,profile_A_control,1958,1936,2839,0.0,True
test,B,10,profile_B_control,1958,1936,2839,0.0,True
test,B,10,mixed_profile_candidate,1958,1936,2839,0.0,True
test,B,10,linear_trend_only,1958,1936,2839,0.0,True
test,B,10,linear_trend_hybrid,1958,1936,2839,0.0,True
validation,A,11,profile_A_control,6541,6501,2430,0.0,True
validation,A,11,profile_B_control,6541,6501,2430,0.0,True
validation,A,11,mixed_profile_candidate,6541,6501,2430,0.0,True
validation,A,11,linear_trend_only,6541,6501,2430,0.0,True
validation,A,11,linear_trend_hybrid,6541,6501,2430,0.0,True
validation,B,11,profile_A_control,6541,6511,2398,0.0,True
validation,B,11,profile_B_control,6541,6511,2398,0.0,True
validation,B,11,mixed_profile_candidate,6541,6511,2398,0.0,True
validation,B,11,linear_trend_only,6541,6511,2398,0.0,True
validation,B,11,linear_trend_hybrid,6541,6511,2398,0.0,True
test,A,11,profile_A_control,1957,1934,2836,0.0,True
test,A,11,profile_B_control,1957,1934,2836,0.0,True
test,A,11,mixed_profile_candidate,1957,1934,2836,0.0,True
test,A,11,linear_trend_only,1957,1934,2836,0.0,True
test,A,11,linear_trend_hybrid,1957,1934,2836,0.0,True
test,B,11,profile_A_control,1957,1935,2839,0.0,True
test,B,11,profile_B_control,1957,1935,2839,0.0,True
test,B,11,mixed_profile_candidate,1957,1935,2839,0.0,True
test,B,11,linear_trend_only,1957,1935,2839,0.0,True
test,B,11,linear_trend_hybrid,1957,1935,2839,0.0,True
validation,A,12,profile_A_control,6540,6500,2425,0.0,True
validation,A,12,profile_B_control,6540,6500,2425,0.0,True
validation,A,12,mixed_profile_candidate,6540,6500,2425,0.0,True
validation,A,12,linear_trend_only,6540,6500,2425,0.0,True
validation,A,12,linear_trend_hybrid,6540,6500,2425,0.0,True
validation,B,12,profile_A_control,6540,6510,2393,0.0,True
validation,B,12,profile_B_control,6540,6510,2393,0.0,True
validation,B,12,mixed_profile_candidate,6540,6510,2393,0.0,True
validation,B,12,linear_trend_only,6540,6510,2393,0.0,True
validation,B,12,linear_trend_hybrid,6540,6510,2393,0.0,True
test,A,12,profile_A_control,1956,1933,2836,0.0,True
test,A,12,profile_B_control,1956,1933,2836,0.0,True
test,A,12,mixed_profile_candidate,1956,1933,2836,0.0,True
test,A,12,linear_trend_only,1956,1933,2836,0.0,True
test,A,12,linear_trend_hybrid,1956,1933,2836,0.0,True
test,B,12,profile_A_control,1956,1934,2839,0.0,True
test,B,12,profile_B_control,1956,1934,2839,0.0,True
test,B,12,mixed_profile_candidate,1956,1934,2839,0.0,True
test,B,12,linear_trend_only,1956,1934,2839,0.0,True
test,B,12,linear_trend_hybrid,1956,1934,2839,0.0,True
