phase,profile,horizon_h,subset,family,reference,observed_targets,pairs,failures,old_hits,new_hits,delta_hits,old_mae_m,new_mae_m,old_max_m,new_max_m
test,A,8,all,linear_trend_hybrid,profile_A_control,1937,1923,14,1627,1609,-18,0.30666637100702215,0.30866415112537826,5.604734107449106,5.596733140622106
test,A,8,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,121,87,-34,0.7751780529783651,0.9306736196338696,5.45787612304345,7.491231646929507
test,A,8,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,133,87,-46,0.755319244918544,0.9306736196338696,5.604734107449106,7.491231646929507
test,A,8,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,121,141,20,0.7751780529783651,0.6010282539388198,5.45787612304345,5.596733140622106
test,A,8,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,133,141,8,0.755319244918544,0.6010282539388198,5.604734107449106,5.596733140622106
test,A,9,all,linear_trend_only,mixed_profile_candidate,1936,1921,15,1505,1118,-387,0.3855620418678308,0.536060010277933,6.118445629477499,8.353094084907724
test,A,9,all,linear_trend_only,profile_A_control,1936,1921,15,1508,1118,-390,0.37776859764541687,0.536060010277933,6.290140102551524,8.353094084907724
test,A,9,all,linear_trend_hybrid,mixed_profile_candidate,1936,1921,15,1505,1500,-5,0.3855620418678308,0.36335213530933397,6.118445629477499,6.205871188459708
test,A,9,all,linear_trend_hybrid,profile_A_control,1936,1921,15,1508,1500,-8,0.37776859764541687,0.36335213530933397,6.290140102551524,6.205871188459708
test,A,9,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,113,69,-44,0.9356992478883963,1.1220232484190218,6.118445629477499,8.353094084907724
test,A,9,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,110,69,-41,0.9219381059929672,1.1220232484190218,6.290140102551524,8.353094084907724
test,A,9,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,113,124,11,0.9356992478883963,0.7277559171541834,6.118445629477499,6.205871188459708
test,A,9,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,110,124,14,0.9219381059929672,0.7277559171541834,6.290140102551524,6.205871188459708
test,A,10,all,linear_trend_only,mixed_profile_candidate,1935,1919,16,1418,976,-442,0.425027421975662,0.6350692914525478,6.339306509605971,9.109944167282086
test,A,10,all,linear_trend_only,profile_A_control,1935,1919,16,1428,976,-452,0.4209481888845981,0.6350692914525478,6.511789742894907,9.109944167282086
test,A,10,all,linear_trend_hybrid,mixed_profile_candidate,1935,1919,16,1418,1355,-63,0.425027421975662,0.4355963232278381,6.339306509605971,7.469394109179905
test,A,10,all,linear_trend_hybrid,profile_A_control,1935,1919,16,1428,1355,-73,0.4209481888845981,0.4355963232278381,6.511789742894907,7.469394109179905
test,A,10,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,90,57,-33,1.05730422497696,1.3480443930170463,6.339306509605971,9.109944167282086
test,A,10,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,88,57,-31,1.0271418171782014,1.3480443930170463,6.511789742894907,9.109944167282086
test,A,10,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,90,103,13,1.05730422497696,0.904255447688861,6.339306509605971,7.469394109179905
test,A,10,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,88,103,15,1.0271418171782014,0.904255447688861,6.511789742894907,7.469394109179905
test,A,11,all,linear_trend_only,mixed_profile_candidate,1934,1917,17,1348,873,-475,0.4688840541893353,0.7293349573503664,7.15943769248484,9.867372413312232
test,A,11,all,linear_trend_only,profile_A_control,1934,1917,17,1336,873,-463,0.46483961851243744,0.7293349573503664,7.1933341782238,9.867372413312232
test,A,11,all,linear_trend_hybrid,mixed_profile_candidate,1934,1917,17,1348,1249,-99,0.4688840541893353,0.4773792910097351,7.15943769248484,8.18067765348578
test,A,11,all,linear_trend_hybrid,profile_A_control,1934,1917,17,1336,1249,-87,0.46483961851243744,0.4773792910097351,7.1933341782238,8.18067765348578
test,A,11,level_ge_7m,linear_trend_only,mixed_profile_candidate,237,236,1,82,52,-30,1.2117416688285163,1.5806124055920243,7.15943769248484,9.867372413312232
test,A,11,level_ge_7m,linear_trend_only,profile_A_control,237,236,1,88,52,-36,1.167452400439356,1.5806124055920243,7.1933341782238,9.867372413312232
test,A,11,level_ge_7m,linear_trend_hybrid,mixed_profile_candidate,237,236,1,82,92,10,1.2117416688285163,1.0231391716791303,7.15943769248484,8.18067765348578
test,A,11,level_ge_7m,linear_trend_hybrid,profile_A_control,237,236,1,88,92,4,1.167452400439356,1.0231391716791303,7.1933341782238,8.18067765348578
