phase,profile,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,A,2,full_schedule,all,profile_A_control,1966,23,1943,1936,7,1915,0.9891528925619835,0.9855892949047864,0.06470988559156808,0.0039223171572363566,0.3688797265165805,2.430986906354253
test,A,2,full_schedule,all,profile_B_control,1966,23,1943,1936,7,1865,0.9633264462809917,0.9598558929490478,0.11406009111190221,0.01252278220881248,0.6898452617630729,2.3364175247165386
test,A,2,full_schedule,all,mixed_profile_candidate,1966,23,1943,1936,7,1895,0.9788223140495868,0.975295934122491,0.0875271938439811,0.011391082081633634,0.5088748763256037,2.35798379080882
test,A,2,full_schedule,all,linear_trend_only,1966,23,1943,1936,7,1891,0.9767561983471075,0.9732372619660319,0.0802045557182539,0.003707373030409271,0.5256828881239709,1.3287239150663588
test,A,2,full_schedule,all,linear_trend_hybrid,1966,23,1943,1936,7,1901,0.9819214876033058,0.9783839423571796,0.08557207636592938,0.010747412734260884,0.48313259660113356,1.1029253811259956
test,A,2,full_schedule,level_ge_7m,profile_A_control,1966,23,237,236,1,225,0.9533898305084746,0.9493670886075949,0.1420297534699279,-0.01521221496331502,0.6927020057861919,2.430986906354253
test,A,2,full_schedule,level_ge_7m,profile_B_control,1966,23,237,236,1,226,0.9576271186440678,0.9535864978902954,0.13583696487566047,-0.020765015388159645,0.7101871283579573,2.3364175247165386
test,A,2,full_schedule,level_ge_7m,mixed_profile_candidate,1966,23,237,236,1,225,0.9533898305084746,0.9493670886075949,0.13368154358694637,-0.016494687570648987,0.7447002771129736,2.35798379080882
test,A,2,full_schedule,level_ge_7m,linear_trend_only,1966,23,237,236,1,229,0.9703389830508474,0.9662447257383966,0.11144793215390529,0.03206927201385113,0.5160007587638237,1.3287239150663588
test,A,2,full_schedule,level_ge_7m,linear_trend_hybrid,1966,23,237,236,1,228,0.9661016949152542,0.9620253164556962,0.10867535554257916,-0.004538606951212155,0.6316154308625884,1.1029253811259956
test,A,2,complete24,all,profile_A_control,1352,4,1348,1348,0,1344,0.9970326409495549,0.9970326409495549,0.05291251719277879,0.005210753638610464,0.2678823640126271,0.6439704232183767
test,A,2,complete24,all,profile_B_control,1352,4,1348,1348,0,1314,0.9747774480712166,0.9747774480712166,0.10562542625149562,0.013599392780654565,0.5244956615891607,1.189884159398604
test,A,2,complete24,all,mixed_profile_candidate,1352,4,1348,1348,0,1326,0.983679525222552,0.983679525222552,0.0816756776076114,0.012725536496433798,0.41502423933591587,0.9929772418768914
test,A,2,complete24,all,linear_trend_only,1352,4,1348,1348,0,1334,0.9896142433234422,0.9896142433234422,0.06751094336109646,0.0029100444493738815,0.38596629066676397,0.7696709515714024
test,A,2,complete24,all,linear_trend_hybrid,1352,4,1348,1348,0,1329,0.9859050445103857,0.9859050445103857,0.08844959365184986,0.010209906260154375,0.442166382193428,1.0027194386550413
test,A,2,complete24,level_ge_7m,profile_A_control,1352,4,143,143,0,142,0.993006993006993,0.993006993006993,0.09258772384609314,0.00046605102477010745,0.40353061655940614,0.5105362240356985
test,A,2,complete24,level_ge_7m,profile_B_control,1352,4,143,143,0,142,0.993006993006993,0.993006993006993,0.09340529719708594,0.0018082555762108032,0.4370129997258335,0.5901278640543755
test,A,2,complete24,level_ge_7m,mixed_profile_candidate,1352,4,143,143,0,142,0.993006993006993,0.993006993006993,0.08185628634492033,-0.0026010805416226013,0.3904999810928229,0.5127623059546487
test,A,2,complete24,level_ge_7m,linear_trend_only,1352,4,143,143,0,142,0.993006993006993,0.993006993006993,0.0898236937694571,0.024123365897629027,0.3295598713517553,0.5015552943400765
test,A,2,complete24,level_ge_7m,linear_trend_hybrid,1352,4,143,143,0,142,0.993006993006993,0.993006993006993,0.0954173784248843,-0.0028571515025372233,0.4647481826247284,0.5155101092680141
test,A,2,missing24,all,profile_A_control,614,19,595,588,7,571,0.9710884353741497,0.9596638655462185,0.09175555328130948,0.0009685546115011541,0.5988592895886679,2.430986906354253
test,A,2,missing24,all,profile_B_control,614,19,595,588,7,551,0.9370748299319728,0.9260504201680673,0.1333967037510656,0.010054634163160905,0.9528656726090782,2.3364175247165386
test,A,2,missing24,all,mixed_profile_candidate,614,19,595,588,7,569,0.967687074829932,0.9563025210084034,0.10094189433144085,0.008331822640901286,0.5849392272179951,2.35798379080882
test,A,2,missing24,all,linear_trend_only,614,19,595,588,7,557,0.9472789115646258,0.9361344537815126,0.10930487792479852,0.005535262362442782,0.726398659344992,1.3287239150663588
test,A,2,missing24,all,linear_trend_hybrid,614,19,595,588,7,572,0.9727891156462585,0.9613445378151261,0.0789753190505879,0.011979655467416616,0.5695804973189786,1.1029253811259956
test,A,2,missing24,level_ge_7m,profile_A_control,614,19,94,93,1,83,0.8924731182795699,0.8829787234042553,0.2180535194506631,-0.039319656213811505,1.8158908988349143,2.430986906354253
test,A,2,missing24,level_ge_7m,profile_B_control,614,19,94,93,1,84,0.9032258064516129,0.8936170212765957,0.20108135711260836,-0.055474453537675494,1.669041187228837,2.3364175247165386
test,A,2,missing24,level_ge_7m,mixed_profile_candidate,614,19,94,93,1,83,0.8924731182795699,0.8829787234042553,0.21336984235694337,-0.037857975798076655,1.6788703707329549,2.35798379080882
test,A,2,missing24,level_ge_7m,linear_trend_only,614,19,94,93,1,87,0.9354838709677419,0.925531914893617,0.14469810515364825,0.04428717066567651,0.8640970067163796,1.3287239150663588
test,A,2,missing24,level_ge_7m,linear_trend_hybrid,614,19,94,93,1,86,0.9247311827956989,0.9148936170212766,0.1290612773472067,-0.007124070705626297,0.818193241286154,1.1029253811259956
test,A,3,full_schedule,all,profile_A_control,1965,23,1942,1933,9,1896,0.9808587687532333,0.976313079299691,0.08858410963828463,-0.006493224276664247,0.4833709219661626,3.8502978392165037
test,A,3,full_schedule,all,profile_B_control,1965,23,1942,1933,9,1851,0.9575788929125711,0.9531410916580845,0.1347115076083067,0.0013764610817187943,0.7157064412809331,3.591469992707828
test,A,3,full_schedule,all,mixed_profile_candidate,1965,23,1942,1933,9,1869,0.966890843248836,0.962409886714727,0.11088536147545171,0.004151087743485489,0.6587297068125985,3.5417724438313964
test,A,3,full_schedule,all,linear_trend_only,1965,23,1942,1933,9,1866,0.9653388515261252,0.96086508753862,0.11138512621226969,0.007033330383333155,0.6099482893254877,2.097196714472455
test,A,3,full_schedule,all,linear_trend_hybrid,1965,23,1942,1933,9,1883,0.9741334712881531,0.9696189495365602,0.10754173650608881,0.0064756050413504965,0.5353186960230248,1.7044724619281792
test,A,3,full_schedule,level_ge_7m,profile_A_control,1965,23,237,236,1,210,0.8898305084745762,0.8860759493670886,0.2532196871530062,-0.059558642560117205,1.6407855388564219,3.8502978392165037
test,A,3,full_schedule,level_ge_7m,profile_B_control,1965,23,237,236,1,211,0.8940677966101694,0.890295358649789,0.22939160313662513,-0.049539724936621565,1.4559494306676029,3.591469992707828
test,A,3,full_schedule,level_ge_7m,mixed_profile_candidate,1965,23,237,236,1,211,0.8940677966101694,0.890295358649789,0.23103349561199366,-0.04770049302095064,1.4343554446068412,3.5417724438313964
