time,rain_observed_partial_mm,rain_coverage,rain_completed_mm,soil_fraction_pet3,incremental_flow_m3_s
2026-09-19T18:00:00-03:00,0.2959389671361171,1.0,0.2959389671361171,0.17788117572352205,24.33556611955794
2026-09-19T19:00:00-03:00,0.7048513302033831,1.0,0.7048513302033831,0.19332444022003517,24.402901664781727
2026-09-19T20:00:00-03:00,1.1206572769953325,0.935054773082942,1.2613719353156247,0.22267466419739096,24.538720180765846
2026-09-19T21:00:00-03:00,2.935602503912431,1.0,2.935602503912431,0.29406416843875677,24.814067231593363
2026-09-19T22:00:00-03:00,5.795547730829355,1.0,5.795547730829355,0.4367778650889748,25.446734828315826
2026-09-19T23:00:00-03:00,7.068317683881042,1.0,7.068317683881042,0.6092391208915849,26.80319071221321
2026-09-20T00:00:00-03:00,6.365007824726057,1.0,6.365007824726057,0.7608858778246674,29.067414831425076
2026-09-20T01:00:00-03:00,0.8030516431924682,1.0,0.8030516431924682,0.7705343208358973,32.007406704870945
2026-09-20T02:00:00-03:00,0.15109546165878118,1.0,0.15109546165878118,0.7637044180554644,34.915037235273985
2026-09-20T03:00:00-03:00,0.07934272300467392,1.0,0.07934272300467392,0.7551704878329417,37.6620187331734
2026-09-20T04:00:00-03:00,0.0,1.0,0.0,0.7447644186577024,40.21156210387168
2026-09-20T05:00:00-03:00,0.0,1.0,0.0,0.7345017426333138,42.5477151617303
2026-09-20T06:00:00-03:00,0.046870109546123265,1.0,0.046870109546123265,0.7255572594340649,44.6776794110217
2026-09-20T07:00:00-03:00,0.014162754303586492,1.0,0.014162754303586492,0.7159149623054015,46.61924659159382
2026-09-20T08:00:00-03:00,0.0,0.9640062597809077,0.0011997913406364099,0.7060799691018226,48.38510421474315
2026-09-20T09:00:00-03:00,0.0,0.9640062597809077,0.0035993740219092294,0.6964408185351464,49.99172716086813
2026-09-20T10:00:00-03:00,0.03411580594679962,0.8990610328638499,0.03748043818467129,0.6877863129939311,51.45801068088773
2026-09-20T11:00:00-03:00,0.062128325508601936,0.9640062597809077,0.0705268648930568,0.6800823442023537,52.80535072661512
2026-09-20T12:00:00-03:00,0.03505477308292765,0.9640062597809077,0.04945226917056457,0.6719548756381011,54.05189763186575
2026-09-20T13:00:00-03:00,0.008607198748045775,1.0,0.008607198748045775,0.6629120572594392,55.20695209624825
2026-09-20T14:00:00-03:00,0.0,1.0,0.0,0.6537772872491101,56.27630642580831
2026-09-20T15:00:00-03:00,0.0,1.0,0.0,0.6447683921904096,57.268031280391384
2026-09-20T16:00:00-03:00,0.0,1.0,0.0,0.6358836375565321,58.189857662342725
2026-09-20T17:00:00-03:00,0.0,1.0,0.0,0.6271213127220373,59.048314094128685
2026-09-20T18:00:00-03:00,0.0,1.0,0.0,0.6184797306334956,59.848844920806044
2026-09-20T19:00:00-03:00,0.0,1.0,0.0,0.6099572274846712,60.59594766051399
2026-09-20T20:00:00-03:00,0.0,1.0,0.0,0.601552162396181,61.293313858822046
2026-09-20T21:00:00-03:00,0.0,1.0,0.0,0.5932629170995689,61.94396385980873
2026-09-20T22:00:00-03:00,0.0,1.0,0.0,0.5850878956257317,62.55037002788794
2026-09-20T23:00:00-03:00,0.0,1.0,0.0,0.5770255239976398,63.11456574627367
2026-09-21T00:00:00-03:00,0.0,1.0,0.0,0.5690742499272918,63.63823935664232
2026-09-21T01:00:00-03:00,0.0,1.0,0.0,0.5612325425168443,64.12281336760813
2026-09-21T02:00:00-03:00,0.0,1.0,0.0,0.5534988919638612,64.56950995068127
2026-09-21T03:00:00-03:00,0.0,0.9945226917057902,0.0003651538862806521,0.5458810247592587,64.97941081956043
2026-09-21T04:00:00-03:00,0.010172143974951624,1.0,0.010172143974951624,0.5386156739529983,65.35370376076168
2026-09-21T05:00:00-03:00,0.09014084507044304,1.0,0.09014084507044304,0.5334692708920409,65.69580273164853
2026-09-21T06:00:00-03:00,3.0178403755868652,1.0,3.0178403755868652,0.6022481745109113,66.07230558298164
2026-09-21T07:00:00-03:00,19.573082942096974,0.9640062597809077,19.69546165884189,0.9917011638224814,76.13991509346133
2026-09-21T08:00:00-03:00,25.215962441314524,0.9640062597809077,25.332342201356255,0.9863345945343867,149.72537789279772
2026-09-21T09:00:00-03:00,27.71189358372461,0.9640062597809077,27.80787689097552,0.9864085445789731,312.44841073963914
