pet_mm_day,weather,correction_tau_h,lead_h,time,forecast_m,flow_m3_s,incremental_flow_m3_s,routed_upstream_flow_m3_s,rain_mm,soil_fraction,flow_correction_m3_s
1.0,icon,2.0,9,2026-09-22T02:00:00-03:00,22.96358126395245,12511.770598375435,1449.7555569891633,11062.297327379256,0.0,0.9162331002043355,-0.2822859929840932
1.0,icon,2.0,10,2026-09-22T03:00:00-03:00,23.720953036584426,13198.162793871355,1333.6669113395908,11864.667097641317,0.0,0.9059842622755054,-0.17121510955227787
1.0,icon,2.0,11,2026-09-22T04:00:00-03:00,24.345990759025774,13774.910932650644,1220.7977724215177,12554.217007442476,0.0,0.8958500662198715,-0.1038472133495139
1.0,icon,2.0,12,2026-09-22T05:00:00-03:00,24.903975439771003,14297.559174919206,1112.7804349193186,13184.841726518709,0.0,0.8858292296716488,-0.06298651882219926
1.0,icon,6.0,1,2026-09-21T18:00:00-03:00,14.150902474805187,5599.399408177084,2078.437646802482,3544.340619247052,1.7,0.9889378977538612,-23.37885787245012
1.0,icon,6.0,2,2026-09-21T19:00:00-03:00,15.331955169411911,6403.664233441664,2075.878472900345,4347.575536479162,0.5,0.9889378977538612,-19.78977593784409
1.0,icon,6.0,3,2026-09-21T20:00:00-03:00,16.526549514987515,7257.622166022523,2039.6526458663118,5234.7212038272755,0.1,0.9802072682648705,-16.751683671065035
1.0,icon,6.0,4,2026-09-21T21:00:00-03:00,17.671164439088834,8112.8758375677335,1976.0762447049497,6150.979586951488,0.0,0.9692428254534645,-14.179994088705065
1.0,icon,6.0,5,2026-09-21T22:00:00-03:00,18.83475690880814,9018.404610189715,1891.475272551571,7138.932443493289,0.0,0.9584010291578074,-12.003105855145774
1.0,icon,6.0,6,2026-09-21T23:00:00-03:00,19.96813273333032,9934.501798036505,1791.7331132816464,8152.929094503166,0.0,0.947680507473455,-10.160409748308425
1.0,icon,6.0,7,2026-09-22T00:00:00-03:00,21.09694601539251,10879.536324080462,1682.0497332631771,9206.08719198663,0.0,0.9370799038418676,-8.600601169343525
