phase,horizon_h,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,original_response_min_m,original_response_max_m,added_response_min_m,added_response_max_m,combined_response_min_m,combined_response_max_m,earliest_added_origin,latest_added_target,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,6,4354,738,5092,180,227,41,-1.7400000000000002,5.41,-1.1700000000000017,7.390000000000001,-1.7400000000000002,7.390000000000001,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,6,10826,738,11564,180,255,41,-1.7400000000000002,5.41,-1.1700000000000017,7.390000000000001,-1.7400000000000002,7.390000000000001,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,7,4353,737,5090,180,227,41,-2.0,6.09,-1.2400000000000002,7.82,-2.0,7.82,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,7,10824,737,11561,180,255,41,-2.0,6.09,-1.2400000000000002,7.82,-2.0,7.82,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,8,4352,736,5088,180,227,41,-2.26,6.73,-1.37,8.2,-2.26,8.2,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,8,10822,736,11558,180,255,41,-2.26,6.73,-1.37,8.2,-2.26,8.2,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,9,4351,735,5086,180,227,41,-2.5299999999999994,7.119999999999999,-1.4900000000000002,8.530000000000001,-2.5299999999999994,8.530000000000001,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,9,10821,735,11556,180,255,41,-2.5299999999999994,7.119999999999999,-1.4900000000000002,8.530000000000001,-2.5299999999999994,8.530000000000001,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,10,4350,734,5084,180,227,41,-2.789999999999999,7.469999999999999,-1.5899999999999999,8.830000000000002,-2.789999999999999,8.830000000000002,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,10,10818,734,11552,180,255,41,-2.789999999999999,7.469999999999999,-1.5899999999999999,8.830000000000002,-2.789999999999999,8.830000000000002,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,11,4349,733,5082,180,227,41,-3.0199999999999996,7.789999999999999,-1.67,9.13,-3.0199999999999996,9.13,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,11,10817,733,11550,180,255,41,-3.0199999999999996,7.789999999999999,-1.67,9.13,-3.0199999999999996,9.13,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,12,4348,732,5080,180,227,41,-3.26,8.09,-1.7599999999999998,9.35,-3.26,9.35,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,12,10814,732,11546,180,255,41,-3.26,8.09,-1.7599999999999998,9.35,-3.26,9.35,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
