origin,target_time,nominal_lead_h,baseline_m,candidate_m,anchor_h_m,anchor_q_m3_s,anchor_offset_m,past_reconstructed_q_m3_s,origin_reconstructed_q_m3_s,residual_anchor_m3_s,decayed_residual_m3_s,julho77_routed_m3_s,julho97_routed_m3_s,carreiro_routed_m3_s,local_q_m3_s,baseline_total_q_m3_s,candidate_total_q_m3_s
2026-07-02T21:00:00-03:00,2026-07-03T09:00:00-03:00,12,8.34433523590516,8.306793438670358,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,37.6629594456983,2110.0903124328324,2091.517652262137,337.4579223450569,80.17874830358716,2565.3899425271748,2546.817282356479
2026-07-22T08:00:00-03:00,2026-07-22T09:00:00-03:00,1,17.597731481962395,17.596713711672084,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,304.77492135288946,6627.992412637591,6627.225374570597,25.39228377557367,900.1030982089824,7858.262715975036,7857.495677908042
2026-07-22T08:00:00-03:00,2026-07-22T10:00:00-03:00,2,17.590294711711255,17.59525901060224,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,257.98640113019513,6736.5331991663425,6740.273923054284,25.40690887080277,832.7321645632799,7852.658673730621,7856.399397618562
2026-07-22T08:00:00-03:00,2026-07-22T11:00:00-03:00,3,17.994060832233032,18.01663287208845,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,218.38077382700948,6691.959138360227,6709.218826589391,481.446206142286,767.2949902912985,8159.081108620821,8176.340796849985
2026-07-22T08:00:00-03:00,2026-07-22T12:00:00-03:00,4,17.230285345608635,17.278168257188728,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,184.85533411203403,6315.80191784694,6351.441853857181,377.8206343682815,704.6899693205402,7583.167855647796,7618.807791658037
2026-07-22T08:00:00-03:00,2026-07-22T13:00:00-03:00,5,16.560982047026123,16.643061798310946,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,156.47666207438533,6058.024677584147,6117.643434405606,231.48704669030246,645.6018664570943,7091.590252805929,7151.209009627388
2026-07-22T08:00:00-03:00,2026-07-22T14:00:00-03:00,6,15.705817244711383,15.83174251149624,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,132.45463481785143,5666.1615119568905,5754.682085233946,92.59401712637997,590.4445122421638,6481.6546761432855,6570.175249420341
2026-07-22T08:00:00-03:00,2026-07-22T15:00:00-03:00,7,14.946530484899142,15.134297244498606,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,112.12042775037128,5265.0987955516775,5393.170774286281,40.857888571231655,539.4385687728573,5957.515680646137,6085.587659380741
2026-07-22T08:00:00-03:00,2026-07-22T16:00:00-03:00,8,14.088086376912106,14.343410815097418,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,94.90789307760774,4707.023200770297,4875.0036721618535,90.55691146288329,492.6244050608182,5385.1124103716065,5553.092881763163
2026-07-22T08:00:00-03:00,2026-07-22T17:00:00-03:00,9,13.046633276221867,13.38289813725913,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,80.33779703806736,4061.1210772339136,4272.210834953544,128.80363374233502,449.94275129191305,4720.205259306229,4931.295017025859
2026-07-22T08:00:00-03:00,2026-07-22T18:00:00-03:00,10,11.49927793647823,11.94453079361658,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,68.00447701069534,3307.207239958032,3565.840009291649,7.789467046881927,411.3379767804107,3794.3391607960198,4052.971930129637
2026-07-22T08:00:00-03:00,2026-07-22T19:00:00-03:00,11,10.34373156465276,10.92636896644776,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,57.5645470002975,2711.460069672002,3029.0422887871837,7.794830160441947,376.6513580231339,3153.4708048558755,3471.053023971057
2026-07-22T08:00:00-03:00,2026-07-22T20:00:00-03:00,12,9.08426395480817,9.82809187647301,17.0,7412.64,0.5299930855621326,6634.00340830794,7171.694865587111,375.3679987326814,48.72733703735866,2104.7670650062737,2479.9399019849857,7.802669121441646,345.57159950768414,2506.8686706727585,2882.04150765147
2026-07-22T09:00:00-03:00,2026-07-22T10:00:00-03:00,1,18.01632976601764,18.01696665851806,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,304.23288975109926,6992.343150995365,6992.829857114861,25.40690887080277,832.3736881751337,8154.356637792402,8154.843343911896
2026-07-22T09:00:00-03:00,2026-07-22T11:00:00-03:00,2,18.43867413990102,18.44802126699231,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,257.5275812849665,6973.7348170225305,6980.984314506015,481.446206142286,766.7814191682365,8479.49002361802,8486.739521101505
2026-07-22T09:00:00-03:00,2026-07-22T12:00:00-03:00,3,17.871596207009908,17.901656924358328,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,217.9923912130063,6736.979314601518,6759.846303516128,385.03387373524197,704.0299923778832,8044.0355719276495,8066.902560842259
2026-07-22T09:00:00-03:00,2026-07-22T13:00:00-03:00,4,17.166730582885805,17.225121722518676,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,184.5265753270151,6448.353877662658,6491.676705400289,237.17530962628808,644.8071059270003,7514.862868542962,7558.185696280593
2026-07-22T09:00:00-03:00,2026-07-22T14:00:00-03:00,5,16.42464130382911,16.520563526297938,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,156.19837377096957,6130.675880243376,6199.9277779465465,96.05766003706812,589.5276691330545,6972.459583184468,7041.711480887639
2026-07-22T09:00:00-03:00,2026-07-22T15:00:00-03:00,6,15.669221368057793,15.811642650209283,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,132.21906885475917,5723.294213775019,5823.181057413983,42.17937923567803,538.4133052025177,6436.105967067974,6535.992810706938
2026-07-22T09:00:00-03:00,2026-07-22T16:00:00-03:00,7,14.875038363573307,15.07349329701077,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,111.92102546760742,5195.779679704468,5330.597414447182,90.55691146288329,491.5061978500424,5889.763814485002,6024.581549227715
2026-07-22T09:00:00-03:00,2026-07-22T17:00:00-03:00,8,13.82719114440825,14.087293366002763,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,94.73910268934667,4524.8082246438,4693.708132520135,128.80363374233502,448.7454697997006,5197.096430875183,5365.996338751518
2026-07-22T09:00:00-03:00,2026-07-22T18:00:00-03:00,9,12.406666289833186,12.747264179052072,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,80.19491905906717,3812.9253968825215,4019.711456103684,7.789467046881927,410.0712331350623,4310.981016123533,4517.7670753446955
2026-07-22T09:00:00-03:00,2026-07-22T19:00:00-03:00,10,11.24069620871342,11.688370883744435,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,67.88353341258238,3180.0178494285333,3435.9098623725645,7.794830160441947,375.3251875837601,3631.0214005853177,3886.913413529349
2026-07-22T09:00:00-03:00,2026-07-22T20:00:00-03:00,11,10.069712036368179,10.678485214186788,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,57.46217045475236,2583.6800866270005,2909.544494569746,7.802669121441646,344.19681604444435,2993.141742247639,3319.0061501903842
2026-07-22T09:00:00-03:00,2026-07-22T21:00:00-03:00,12,8.751684352869809,9.466539116503812,17.7,7913.97,0.5584437519011338,7171.64720625522,7661.810371518904,374.7004197970173,48.64067716249727,1959.072707475285,2310.0371107935625,7.802669121441644,316.40545109888086,2331.921504858105,2682.8859081763826
2026-07-22T11:00:00-03:00,2026-07-22T12:00:00-03:00,1,19.160696413184535,19.16213482302712,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-98.35232280235927,8029.490984029733,8030.632557222902,385.03387373524197,703.3715144656614,9019.544049428278,9020.685622621446
2026-07-22T11:00:00-03:00,2026-07-22T13:00:00-03:00,2,19.772014480524728,19.771349209671538,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-83.25344385273957,8704.535559311815,8703.997021140342,244.37441647097785,643.908629523918,9509.565161453971,9509.026623282498
2026-07-22T11:00:00-03:00,2026-07-22T14:00:00-03:00,3,20.41780597221653,20.405864823368912,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-70.47251875555088,9410.834512756157,9400.972013167138,108.93388510195985,588.4058811469545,10037.701760249522,10027.839260660503
2026-07-22T11:00:00-03:00,2026-07-22T15:00:00-03:00,4,21.242218295587662,21.213587523950608,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-59.65369923358485,10185.283256036633,10161.045843854314,64.62260310325591,537.0892203998395,10727.341380306145,10703.103968123825
2026-07-22T11:00:00-03:00,2026-07-22T16:00:00-03:00,5,21.943917919827715,21.89092318201078,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-50.495766223350806,10724.851048909683,10679.078433281189,163.39941017603132,490.0047224986058,11327.75941536097,11281.986799732476
2026-07-22T11:00:00-03:00,2026-07-22T17:00:00-03:00,6,22.60660652670227,22.521225195679005,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-42.7437432924152,11222.917810194906,11147.8152804545,278.7126720985528,447.090019600498,11905.976758601542,11830.874228861137
2026-07-22T11:00:00-03:00,2026-07-22T18:00:00-03:00,7,23.045091188035887,22.915001383780844,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-36.18179755044524,11653.809546338183,11538.063184775303,268.56416253633483,408.2797975456293,12294.471708869702,12178.725347306821
2026-07-22T11:00:00-03:00,2026-07-22T19:00:00-03:00,8,23.720344913970436,23.546299240928278,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-30.627230400143876,12184.876380245929,12027.279782006357,374.17214135378055,373.4160770053703,12901.837368204935,12744.240769965363
2026-07-22T11:00:00-03:00,2026-07-22T20:00:00-03:00,9,24.39667360276884,24.183476381456423,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-25.92539081773604,12731.004875752702,12534.620536073375,473.8389751745498,342.18890527285976,13521.107365382375,13324.723025703048
2026-07-22T11:00:00-03:00,2026-07-22T21:00:00-03:00,10,24.91500759200787,24.661786128954102,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-21.945369537860493,13168.542162441661,12932.312902038188,542.1283822499189,314.31606731184706,14003.041242465568,13766.811982062094
2026-07-22T11:00:00-03:00,2026-07-22T22:00:00-03:00,11,25.212477938219866,24.909888451014574,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-18.57635425977009,13425.504697570454,13141.2855612451,586.0023200503064,289.5391808123938,14282.469844173382,13998.250707848028
2026-07-22T11:00:00-03:00,2026-07-22T23:00:00-03:00,12,25.49415895814758,25.11558801074092,18.68,8641.09,0.5921154435798996,8118.911680669058,8976.660167834494,-121.13304604313453,-15.724544395989293,13690.74136472579,13333.000793702733,606.3632370679063,267.58968424039034,14548.969741638099,14191.22917061504
2026-08-13T09:00:00-03:00,2026-08-13T10:00:00-03:00,1,8.784942320149979,8.781949722054389,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,40.600404408467995,1582.5874247986314,1581.0752723690055,669.0908654065263,413.00158136090437,2705.28027597453,2703.768123544904
2026-08-13T09:00:00-03:00,2026-08-13T11:00:00-03:00,2,8.99206319561982,8.986170968489711,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,34.36750035493649,1675.033014067429,1672.013008383804,651.32965548204,449.975250817948,2810.7054207223537,2807.6854150387285
2026-08-13T09:00:00-03:00,2026-08-13T12:00:00-03:00,3,9.170371340349437,9.1632170155046,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,29.09146098062543,1756.1641198067946,1752.45286234402,633.3308555943988,484.0831763675741,2902.669612749393,2898.9583552866184
2026-08-13T09:00:00-03:00,2026-08-13T13:00:00-03:00,4,9.333462701049843,9.327226280078824,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,24.62539007046781,1832.7367028636384,1829.4662664144387,619.0753691524801,511.3161969582885,2987.753659044875,2984.4832225956748
2026-08-13T09:00:00-03:00,2026-08-13T14:00:00-03:00,5,9.459925585037022,9.454440407842553,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,20.844942662953788,1897.6676489819545,1894.767222631395,605.7927149115519,530.0557394971081,3054.361046053568,3051.4606197030084
2026-08-13T09:00:00-03:00,2026-08-13T15:00:00-03:00,6,9.539445347007076,9.533123041917767,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,17.644863020583074,1946.0872555635597,1942.727038577213,592.9689127014177,539.8239857564523,3096.5250170420127,3093.164800055666
2026-08-13T09:00:00-03:00,2026-08-13T16:00:00-03:00,7,9.59583564978569,9.587000600863696,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,14.936054085121773,1990.0429060998806,1985.330556100493,580.4993809295104,541.0777750758327,3126.5561161903456,3121.843766190958
2026-08-13T09:00:00-03:00,2026-08-13T17:00:00-03:00,8,9.618648907294737,9.603688901198908,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,12.643096825033378,2020.6078945118168,2012.6185960759976,570.662998324655,534.8223497339732,3138.7363393954784,3130.747040959659
2026-08-13T09:00:00-03:00,2026-08-13T18:00:00-03:00,9,9.61709749690493,9.59156781825096,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,10.702150408413301,2040.0363627700679,2026.40834940226,564.8279600104406,522.3409904529086,3137.9074636418304,3124.279450274022
2026-08-13T09:00:00-03:00,2026-08-13T19:00:00-03:00,10,9.624351456528412,9.583280339090098,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,9.059174737752482,2059.5038453638767,2037.5803736176706,568.2438856413382,504.97685337223845,3141.783759115206,3119.8602873689997
2026-08-13T09:00:00-03:00,2026-08-13T20:00:00-03:00,11,9.663025512177912,9.600836639252224,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,7.668425858098197,2080.481524771704,2047.225945546312,590.3196536929007,484.01064945410366,3162.4802537768064,3129.2246745514144
2026-08-13T09:00:00-03:00,2026-08-13T21:00:00-03:00,12,9.728695686048907,9.640612779360989,8.44,2533.08,-0.1675365824617998,2349.290769225576,2527.670519647047,50.00441795832057,6.49118234755875,2084.71491164003,2037.4544359720849,645.9339196696839,460.6002931157541,3197.7403067730265,3150.4798311050813
