observed_cluster_id,nominal_lead_h,first_exceedance_at,complete_observed_cluster,independence_certified,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
a801ac814e2dfee4fc14bea5,10,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,119,16,0.8814814814814815,16,0.13445378151260504,1.8587617579862106,0.171784615654286,3.613524354841087,7.070138065703895,8.405707625670848
a801ac814e2dfee4fc14bea5,10,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,119,16,0.8814814814814815,14,0.11764705882352941,1.7865088814689873,0.2905073625898122,3.7286525218207407,6.578719435476133,7.189303791286582
a801ac814e2dfee4fc14bea5,11,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,120,15,0.8888888888888888,12,0.1,2.047201576912563,0.09755447635438888,4.07872135059025,7.480275583321177,9.391440266156348
a801ac814e2dfee4fc14bea5,11,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,120,15,0.8888888888888888,15,0.125,1.9601973296093793,0.22153673636581192,3.900833143412393,7.162044187343505,8.086268435347241
a801ac814e2dfee4fc14bea5,12,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,121,14,0.8962962962962963,9,0.0743801652892562,2.2534363853055486,0.0074360936088133725,4.570705554303489,7.861926110172894,10.418506922843463
a801ac814e2dfee4fc14bea5,12,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,121,14,0.8962962962962963,11,0.09090909090909091,2.1630103601533235,0.13614361640691636,4.600573608548668,7.794617723910746,9.038315647130192
f803fdacd0779dfe9e87b834,1,2026-08-13T08:30:00+00:00,False,False,reference,level_ge_7m,49,35,14,0.7142857142857143,35,1.0,0.19896991061757757,0.13913172073229343,0.32471321172416234,0.35940228269052216,0.3989253938939443
f803fdacd0779dfe9e87b834,1,2026-08-13T08:30:00+00:00,False,False,julho_levels,level_ge_7m,49,35,14,0.7142857142857143,35,1.0,0.1985451793939601,0.13822661821854937,0.32809336582331455,0.361434083346411,0.3996595539689354
f803fdacd0779dfe9e87b834,2,2026-08-13T08:30:00+00:00,False,False,reference,level_ge_7m,49,35,14,0.7142857142857143,33,0.9428571428571428,0.3292786443879909,0.22937368798208488,0.4903205684889287,0.5710207988470708,0.6338541071290784
f803fdacd0779dfe9e87b834,2,2026-08-13T08:30:00+00:00,False,False,julho_levels,level_ge_7m,49,35,14,0.7142857142857143,31,0.8857142857142857,0.3275075753015138,0.22552101950333336,0.49394406108001726,0.5743486728602796,0.6364265648470795
