id,rede,nome,subbacia,registros_hoje,ultima_leitura,atraso_min,chuva_campo20,acumulado_campo21,nivel_campo45,codigo_usa_fonte_ANA_na_previsao_12h,telemetria_SIGMA_direta_na_previsao_12h,fonte
7329,cemaden,CEMADEN - Caxias do Sul - G2-Santa Fé (810 m),Alto Antas,52,2026-09-21T14:10:00-03:00,18.6,3.0,175.8,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/7329.txt
7330,cemaden,CEMADEN - Caxias do Sul - G2-Forqueta (768 m),Alto Antas,16,2026-09-21T14:10:00-03:00,18.6,-999.9,0.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/7330.txt
7331,cemaden,CEMADEN - Caxias do Sul - G2-Parque dos Pinheiros (836 m),Alto Antas,15,2026-09-21T14:10:00-03:00,18.6,-999.9,0.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/7331.txt
7379,cemaden,CEMADEN - Vacaria - Vila São João (975 m),Alto Antas,22,2026-09-21T14:10:00-03:00,18.6,21.6,46.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/7379.txt
8928,cemaden,CEMADEN - Serafina Corrêa - Centro (527 m),Carreiro,32,2026-09-21T13:50:00-03:00,38.6,0.6,103.6,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/8928.txt
16911,cemaden,CEMADEN - Pinto Bandeira - G2-431454801A (579 m),Baixo Antas,16,2026-09-21T14:00:00-03:00,28.6,0.2,0.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16911.txt
16912,cemaden,CEMADEN - Flores da Cunha - G2-430820102A (744 m),Alto Antas,45,2026-09-21T14:10:00-03:00,18.6,2.4,134.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16912.txt
16913,cemaden,CEMADEN - Flores da Cunha - G2-430820103A (717 m),Alto Antas,48,2026-09-21T14:20:00-03:00,8.6,3.8,165.6,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16913.txt
16914,cemaden,CEMADEN - São Francisco de Paula - G2-Escola D. Pedro I (867 m),Alto Antas,49,2026-09-21T14:10:00-03:00,18.6,7.2,69.4,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16914.txt
16917,cemaden,CEMADEN - Bento Gonçalves - G2-Caminhos de Pedra - São pedro (513 m),Baixo Antas,50,2026-09-21T14:10:00-03:00,18.6,2.4,143.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16917.txt
16918,cemaden,CEMADEN - Pinto Bandeira - G2-431454802A (641 m),Baixo Antas,14,2026-09-21T14:10:00-03:00,18.6,-999.9,0.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16918.txt
16920,cemaden,CEMADEN - Flores da Cunha - G2-430820101A (721 m),Alto Antas,44,2026-09-21T14:10:00-03:00,18.6,5.0,113.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16920.txt
16921,cemaden,CEMADEN - Antônio Prado - G2-430080202A (683 m),Alto Antas,19,2026-09-21T14:10:00-03:00,18.6,0.2,0.6,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16921.txt
16922,cemaden,CEMADEN - Antônio Prado - G2-430080203A (685 m),Alto Antas,16,2026-09-21T14:10:00-03:00,18.6,-999.9,0.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16922.txt
16926,cemaden,CEMADEN - Bento Gonçalves - G2-Vale dos Vinhedos (539 m),Baixo Antas,17,2026-09-21T14:10:00-03:00,18.6,-999.9,0.2,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16926.txt
16927,cemaden,CEMADEN - Santa Tereza - G2-431725101A (244 m),Baixo Antas,51,2026-09-21T14:10:00-03:00,18.6,4.6,170.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16927.txt
16929,cemaden,CEMADEN - Antônio Prado - G2-430080201A (688 m),Prata-Turvo,15,2026-09-21T14:10:00-03:00,18.6,-999.9,0.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16929.txt
16930,cemaden,CEMADEN - Veranópolis - G2-432280602A (664 m),Prata-Turvo,41,2026-09-21T14:10:00-03:00,18.6,2.0,115.4,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/16930.txt
