profile,rank,origin,column,raw_value,used_value,was_imputed,standardized_value,coefficient,contribution_m
B,2,2026-07-21T16:00:00-03:00,20,,0.0,True,-0.005073061043986007,-5.294902941472621e-05,2.6861365844071675e-07
B,2,2026-07-21T16:00:00-03:00,21,,0.0,True,-0.009763710217543872,0.031238719231095568,-0.000305005802139632
B,2,2026-07-21T16:00:00-03:00,22,,0.0,True,-0.01775308850082245,0.03539958328833386,-0.0006284519350100265
B,2,2026-07-21T16:00:00-03:00,23,,0.0,True,-0.029944769217097735,0.09703942481229254,-0.0029058231809640078
B,3,2026-07-21T15:00:00-03:00,1,-0.13999999999999968,-0.13999999999999968,False,-1.1005562340824107,0.07719236934618576,-0.08495454330753671
B,3,2026-07-21T15:00:00-03:00,2,-0.1200000000000001,-0.1200000000000001,False,-0.966735018493382,0.05239486419477468,-0.05065195000629374
B,3,2026-07-21T15:00:00-03:00,3,-0.07499999999999996,-0.07499999999999996,False,-0.6179393199439775,-0.0034696245692844557,0.0021440174468045524
B,3,2026-07-21T15:00:00-03:00,4,-0.012500000000000067,-0.012500000000000067,False,-0.10999865479265493,0.003811875610124216,-0.0004193011893505945
B,3,2026-07-21T15:00:00-03:00,5,0.012500000000000011,0.012500000000000011,False,0.0991358111232729,-0.13607811146029936,-0.013490213955739913
B,3,2026-07-21T15:00:00-03:00,7,0.1999999999999993,0.1999999999999993,False,1.0893750934336286,0.24789498697762669,0.27005062460048024
B,3,2026-07-21T15:00:00-03:00,8,0.20000000000000018,0.20000000000000018,False,1.1342039571243812,0.07882655413734942,0.08940538962906097
B,3,2026-07-21T15:00:00-03:00,9,0.15500000000000003,0.15500000000000003,False,0.942161783370703,0.10951919630053016,0.1031848012998336
B,3,2026-07-21T15:00:00-03:00,10,0.03249999999999997,0.03249999999999997,False,0.18600724264988644,0.09441145001467899,0.01756121349180802
B,3,2026-07-21T15:00:00-03:00,11,-0.09375,-0.09375,False,-0.9662398967588478,-0.0005336874731809111,0.0005156701289878139
B,3,2026-07-21T15:00:00-03:00,13,-0.14000000000000057,-0.14000000000000057,False,-1.091943803298482,0.13497545400505548,-0.1473856105982196
B,3,2026-07-21T15:00:00-03:00,14,-0.15000000000000036,-0.15000000000000036,False,-1.182045290270272,0.08444942396260254,-0.09982304386103179
B,3,2026-07-21T15:00:00-03:00,15,-0.17000000000000015,-0.17000000000000015,False,-1.3917002111854535,0.055103598546028476,-0.07668768973358628
B,3,2026-07-21T15:00:00-03:00,16,-0.12750000000000006,-0.12750000000000006,False,-1.1851811644027925,0.06209143612933185,-0.07358960057120315
B,3,2026-07-21T15:00:00-03:00,17,-0.06,-0.06,False,-0.7021799163559196,-0.052476468223512235,0.03684792206783989
B,3,2026-07-21T15:00:00-03:00,19,,0.0,True,0.003112666402545016,0.04572707920683501,0.00014233314313363013
B,3,2026-07-21T15:00:00-03:00,20,,0.0,True,-0.005073061043986007,-5.294902941472621e-05,2.6861365844071675e-07
B,3,2026-07-21T15:00:00-03:00,21,,0.0,True,-0.009763710217543872,0.031238719231095568,-0.000305005802139632
B,3,2026-07-21T15:00:00-03:00,22,,0.0,True,-0.01775308850082245,0.03539958328833386,-0.0006284519350100265
B,3,2026-07-21T15:00:00-03:00,23,,0.0,True,-0.029944769217097735,0.09703942481229254,-0.0029058231809640078
