pet_mm_day,weather,correction_tau_h,lead_h,time,forecast_m,flow_m3_s,incremental_flow_m3_s,routed_upstream_flow_m3_s,rain_mm,soil_fraction,flow_correction_m3_s
3.0,gfs,2.0,1,2026-09-21T16:00:00-03:00,11.04369076007031,3878.3844010304288,1916.2815139009786,2301.0546175767035,0.3,0.9794520333492778,-338.9517304472534
3.0,gfs,2.0,2,2026-09-21T17:00:00-03:00,12.283769783817888,4620.136626491156,1994.273354383816,2831.447888786251,1.0,0.9860985557405171,-205.5846166789113
3.0,gfs,2.0,3,2026-09-21T18:00:00-03:00,13.441718047997995,5355.786476510843,2026.4738743220537,3454.005975369818,1.0,0.9860042210948219,-124.69337318102893
3.0,gfs,2.0,4,2026-09-21T19:00:00-03:00,14.443622310320189,6024.628851372082,2019.3198077429006,4080.9393975264643,0.8,0.9860055599943026,-75.63035389728306
3.0,gfs,2.0,5,2026-09-21T20:00:00-03:00,15.247132740122186,6582.075336587967,1979.3524864643339,4648.594978567252,0.3,0.9794520516517048,-45.872128443619026
3.0,gfs,2.0,6,2026-09-21T21:00:00-03:00,15.900050275267187,7048.531276671754,1913.2991081956725,5163.055020803413,0.2,0.970545881602657,-27.82285232733091
3.0,gfs,2.0,7,2026-09-21T22:00:00-03:00,16.41000805027289,7421.119621098169,1827.5842509934337,5610.410783081918,0.2,0.9617901534969718,-16.875412977183192
3.0,gfs,2.0,8,2026-09-21T23:00:00-03:00,16.859101667617175,7755.160799058328,1728.004395721679,6037.391858702624,0.1,0.9506585511861603,-10.235455365974058
3.0,gfs,2.0,9,2026-09-22T00:00:00-03:00,17.24474104626065,8046.381313719876,1619.5678211546588,6433.0216100608,0.0,0.9371657752163924,-6.208117495583458
3.0,gfs,2.0,10,2026-09-22T01:00:00-03:00,17.528634179710313,8263.328513495744,1506.4804201434863,6760.613506952426,0.1,0.9263990620551646,-3.765413600169777
3.0,gfs,2.0,11,2026-09-22T02:00:00-03:00,17.697351519326748,8393.282370745408,1392.173095201072,7003.393114339337,0.1,0.9157900387867859,-2.283838795001897
3.0,gfs,2.0,12,2026-09-22T03:00:00-03:00,17.897596964578067,8548.504844339584,1279.3297779126701,7270.560284677924,0.0,0.9027921545166897,-1.3852182510098063
3.0,gfs,6.0,1,2026-09-21T16:00:00-03:00,10.738161907849673,3703.1813374320022,1916.2815139009786,2301.0546175767035,0.3,0.9794520333492778,-514.1547940456799
