phase,horizon_h,target_date,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,2,2026-07-29,24,24,0,24,0,22,0,2,0,22,24,0.25988584820445754,0.20134463324119692,-1.404989159118255,0,0,2,0
test,2,2026-07-30,24,24,0,24,0,24,0,0,0,24,24,0.05321320898933616,0.049195012379522986,-0.09643671863551617,0,0,0,0
test,2,2026-07-31,19,19,0,19,0,19,0,0,0,19,19,0.04321566083415456,0.04077704276576979,-0.046333743299310726,0,0,0,0
test,2,2026-08-13,18,18,0,18,0,18,0,0,0,18,18,0.10429771994872336,0.1053908791398413,0.019676865440122704,0,0,0,0
test,2,2026-08-14,24,24,0,24,0,24,0,0,0,24,24,0.0476779882392984,0.045289319663871765,-0.0573280458102392,0,0,0,0
test,2,2026-08-15,7,7,0,7,0,7,0,0,0,7,7,0.05429922936238515,0.03646014201666376,-0.12487361142004971,0,0,0,0
test,2,2026-08-31,18,18,0,18,0,18,0,0,0,18,18,0.05427305960084963,0.05268258448276722,-0.02862855212548343,0,0,0,0
test,3,2026-07-02,3,3,0,3,0,3,0,0,0,3,3,0.15445618483837334,0.37933080091256627,0.6746238482225788,0,0,0,0
test,3,2026-07-03,24,24,0,24,0,24,0,0,0,24,24,0.08445495333618576,0.10034555627867485,0.38137447061973795,0,0,0,0
test,3,2026-07-04,8,8,0,8,0,8,0,0,0,8,8,0.09413101728679052,0.08773034081704112,-0.0512054117579952,0,0,0,0
test,3,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,2.4502701970603016,2.1193924986769654,-0.6617553967666723,2,2,0,0
test,3,2026-07-22,23,23,0,22,1,11,0,2,9,11,13,0.7573561958904748,0.6486220936474046,-2.3921502493475453,10,8,1,1
test,3,2026-07-23,24,24,0,24,0,18,0,1,5,18,19,0.3591132741074428,0.308310522602917,-1.2192660361086194,0,0,6,5
test,3,2026-07-24,12,12,0,12,0,12,0,0,0,12,12,0.05552903261628517,0.0378873580850975,-0.21170009437425197,0,0,0,0
test,3,2026-07-28,7,7,0,7,0,4,0,3,0,4,7,0.37614397960705037,0.27455245994842453,-0.7111406376103808,3,0,0,0
test,3,2026-07-29,24,24,0,24,0,16,0,3,5,16,19,0.34034935233629365,0.2943521054022607,-1.10393392641679,2,2,6,3
test,3,2026-07-30,24,24,0,24,0,24,0,0,0,24,24,0.10122440501410046,0.09230368312852207,-0.21409732525388137,0,0,0,0
test,3,2026-07-31,19,19,0,19,0,19,0,0,0,19,19,0.09260653907378445,0.07774804522660439,-0.28231138309642123,0,0,0,0
test,3,2026-08-13,18,18,0,18,0,18,0,0,0,18,18,0.13294955779453144,0.14023192959572028,0.13108269242139947,0,0,0,0
test,3,2026-08-14,24,24,0,24,0,24,0,0,0,24,24,0.07952604763892261,0.0686406353499605,-0.26124989493509077,0,0,0,0
test,3,2026-08-15,7,7,0,7,0,7,0,0,0,7,7,0.08808031794324427,0.06659358249598389,-0.15040714813082268,0,0,0,0
