phase,horizon_h,group,recent_rows,june_rows,recent_weight,june_weight,june_weight_fraction,recent_mean_delta,june_mean_delta,recent_max_delta,june_max_delta
test,2,all,10837,166,11273,346,0.029778810568895774,-0.00045699916951185955,0.08409638554216875,2.09,3.24
test,2,target_ge7,255,126,569,300,0.34522439585730724,0.04172549019607841,0.029126984126984216,2.09,3.24
test,2,target_ge9,137,79,431,251,0.3680351906158358,0.042189781021897715,0.050759493670886155,2.09,3.24
test,2,abs_delta_ge1,81,11,263,47,0.15161290322580645,1.2908641975308641,1.8545454545454545,2.09,3.24
test,3,all,10834,165,11510,383,0.0322038173715631,-0.0007875669189588359,0.12321212121212131,3.0200000000000005,4.3
test,3,target_ge7,255,126,611,334,0.35343915343915344,0.07956862745098037,0.05404761904761914,3.0200000000000005,4.3
test,3,target_ge9,137,79,457,285,0.38409703504043125,0.09204379562043785,0.09898734177215197,3.0200000000000005,4.3
test,3,abs_delta_ge1,201,30,649,138,0.17534942820838628,1.3416915422885571,1.3246666666666669,3.0200000000000005,4.3
test,4,all,10830,164,11762,408,0.03352506162695152,-0.0008921975992613132,0.1626829268292684,3.8600000000000003,5.22
test,4,target_ge7,255,126,677,356,0.34462729912875123,0.12427450980392153,0.08253968253968264,3.8600000000000003,5.22
test,4,target_ge9,137,79,507,307,0.37714987714987713,0.15715328467153275,0.1577215189873418,3.8600000000000003,5.22
test,4,abs_delta_ge1,329,43,1083,199,0.15522620904836193,1.2383586626139815,0.9972093023255815,3.8600000000000003,5.22
test,5,all,10828,163,12152,423,0.03363817097415507,-0.0009200683413372745,0.2026993865030675,4.6899999999999995,6.02
test,5,target_ge7,255,126,723,366,0.33608815426997246,0.17431372549019603,0.11452380952380961,4.6899999999999995,6.02
test,5,target_ge9,137,79,543,317,0.3686046511627907,0.23832116788321156,0.22354430379746848,4.6899999999999995,6.02
test,5,abs_delta_ge1,525,51,1707,233,0.12010309278350516,0.9058666666666667,1.0258823529411767,4.6899999999999995,6.02
test,6,all,10826,162,12558,430,0.03310748383122883,-0.000843571032699061,0.24382716049382724,5.41,6.8100000000000005
test,6,target_ge7,255,126,773,374,0.3260680034873583,0.2294117647058823,0.14992063492063504,5.41,6.8100000000000005
test,6,target_ge9,137,79,577,325,0.360310421286031,0.3313138686131386,0.2963291139240507,5.41,6.8100000000000005
test,6,abs_delta_ge1,729,55,2353,253,0.09708365310821182,0.7008504801097393,1.086545454545455,5.41,6.8100000000000005
test,7,all,10824,161,12870,433,0.03254904908667218,-0.0007208518107908365,0.28590062111801245,6.09,7.359999999999999
test,7,target_ge7,255,126,807,378,0.3189873417721519,0.29058823529411765,0.1877777777777779,6.09,7.359999999999999
test,7,target_ge9,137,79,585,329,0.3599562363238512,0.4337226277372262,0.3749367088607595,6.09,7.359999999999999
test,7,abs_delta_ge1,886,57,2832,263,0.08497576736672052,0.5920767494356658,1.1740350877192982,6.09,7.359999999999999
