phase,horizon_h,subset,axis,stratum,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,4,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,4,all,transition,missing_forecast,10,10,0,0,10,0,0,0,0,0,0,,,0,0,0,0,0
test,4,level_ge_7m,total,all,237,237,0,236,1,187,2,11,36,189,198,0.3477376475215351,0.3153005637095231,-7.655151779634832,22,21,25,17
test,4,level_ge_7m,target_level,7to9,120,120,0,120,0,116,1,2,1,117,118,0.17957612365561737,0.1637669796514498,-1.8970972805001116,2,1,1,1
test,4,level_ge_7m,target_level,atleast9,117,117,0,116,1,71,1,9,35,72,80,0.5216978446242085,0.47205944376959885,-5.758054499134721,20,20,24,16
test,4,level_ge_7m,known_trend,rising,76,76,0,76,0,43,2,5,26,45,48,0.6052193468088817,0.5825092671955668,-1.725966050611933,19,19,12,9
test,4,level_ge_7m,known_trend,stable,74,74,0,74,0,69,0,2,3,69,71,0.19645022500255385,0.16111565324141466,-2.6147583103242997,3,2,2,1
test,4,level_ge_7m,known_trend,falling,85,85,0,85,0,74,0,4,7,74,78,0.24987569269823218,0.21246916257956613,-3.17955506008661,0,0,11,7
test,4,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.29266392806854924,0.1577915694565597,-0.13487235861198954,0,0,0,0
test,4,level_ge_7m,upstream,missing,96,96,0,95,1,67,1,5,22,68,72,0.5257014066688507,0.4659877242325371,-5.672799831449767,15,14,12,9
test,4,level_ge_7m,upstream,complete,141,141,0,141,0,120,1,6,14,121,126,0.22783298710313113,0.21377375342805968,-1.982351948185065,7,7,13,8
test,4,level_ge_7m,transition,both_hit,187,187,0,187,0,187,0,0,0,187,187,0.16159285036906063,0.14677742987020798,-2.770483633285446,0,0,0,0
test,4,level_ge_7m,transition,hit_to_miss,2,2,0,2,0,0,2,0,0,2,0,0.36930306484480147,0.5768864952043185,0.41516686071903397,0,1,0,1
test,4,level_ge_7m,transition,both_miss,36,36,0,36,0,0,0,0,36,0,0,1.2480487848217292,1.1498479687304386,-3.5352293792864584,20,20,16,16
test,4,level_ge_7m,transition,miss_to_hit,11,11,0,11,0,0,0,11,0,0,11,0.5618054011632806,0.4013867077285568,-1.764605627781962,2,0,9,0
test,4,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,5,all,total,all,1963,1940,23,1929,11,1824,13,19,73,1837,1843,0.15065775972061035,0.1503012468059139,-0.6877134124494844,49,54,43,32
test,5,all,target_level,below7,1703,1703,0,1693,10,1658,5,8,22,1663,1666,0.1089997612152703,0.10982548313031754,1.397947202175002,19,22,11,5
test,5,all,target_level,7to9,120,120,0,120,0,106,4,4,6,110,110,0.2383033412995772,0.2288635122733313,-1.1327794831495117,8,7,2,3
test,5,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,5,all,target_level,atleast9,117,117,0,116,1,60,4,7,45,64,67,0.6679812224797893,0.659766729967074,-0.9528811314749746,22,25,30,24
test,5,all,known_trend,stable,1129,1123,6,1123,0,1096,3,9,15,1099,1105,0.10769844770299648,0.10797550918351076,0.31114004261754147,14,14,10,4
test,5,all,known_trend,falling,469,465,4,465,0,433,1,7,24,434,440,0.16602022740965908,0.16894885487081374,1.361811769436906,13,12,18,13
test,5,all,known_trend,rising,337,336,1,336,0,290,9,3,34,299,293,0.2724961168574486,0.2659424766154971,-2.2020231212957326,22,28,15,15
test,5,all,known_trend,unknown,28,16,12,5,11,5,0,0,0,5,5,0.18307214419962675,0.15134372355798692,-0.15864210320819927,0,0,0,0
test,5,all,upstream,missing,604,586,18,577,9,530,2,6,39,532,536,0.20602436344584069,0.19964275343602444,-3.682188975663977,25,23,20,18
test,5,all,upstream,complete,1359,1354,5,1352,2,1294,11,13,34,1305,1307,0.1270286692254492,0.12924351801480904,2.9944755632144933,24,31,23,14
test,5,all,transition,both_hit,1824,1824,0,1824,0,1824,0,0,0,1824,1824,0.1059343103405808,0.10633799993941342,0.7363298282707,0,0,0,0
test,5,all,transition,both_miss,73,73,0,73,0,0,0,0,73,0,0,1.1159193611659395,1.1002709928391605,-1.1423308878548557,44,44,29,29
test,5,all,transition,hit_to_miss,13,13,0,13,0,0,13,0,0,13,0,0.39906000031351785,0.6089819813155267,2.728985753026115,0,10,0,3
test,5,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,5,all,transition,missing_forecast,11,11,0,0,11,0,0,0,0,0,0,,,0,0,0,0,0
test,5,all,transition,miss_to_hit,19,19,0,19,0,0,0,19,0,0,19,0.5655127931920381,0.4070549981451201,-3.0106981058914433,5,0,14,0
test,5,level_ge_7m,total,all,237,237,0,236,1,166,8,11,51,174,177,0.44950094391357975,0.4406633989363573,-2.0856606146244863,30,32,32,27
test,5,level_ge_7m,target_level,7to9,120,120,0,120,0,106,4,4,6,110,110,0.2383033412995772,0.2288635122733313,-1.1327794831495117,8,7,2,3
test,5,level_ge_7m,target_level,atleast9,117,117,0,116,1,60,4,7,45,64,67,0.6679812224797893,0.659766729967074,-0.9528811314749746,22,25,30,24
test,5,level_ge_7m,known_trend,rising,79,79,0,79,0,37,7,3,32,44,40,0.7321587682482451,0.7495887686512924,1.3769700318407443,20,25,15,14
test,5,level_ge_7m,known_trend,stable,74,74,0,74,0,64,1,3,6,65,67,0.2869202084456492,0.27935979446718723,-0.5594706344061882,7,5,2,2
test,5,level_ge_7m,known_trend,falling,82,82,0,82,0,64,0,5,13,64,69,0.32402757453293046,0.29040077096526457,-2.7573978925485987,3,2,15,11
