phase,profile,horizon_h,subset,carreiro_availability,pairs,gained,lost,net_hits
validation,A,3,level_ge_7m,fully_missing,0,0,0,0
validation,A,4,all,complete,6143,9,5,4
validation,A,4,all,partial,52,0,0,0
validation,A,4,all,fully_missing,279,3,1,2
validation,A,4,level_ge_7m,complete,28,1,0,1
validation,A,4,level_ge_7m,partial,0,0,0,0
validation,A,4,level_ge_7m,fully_missing,0,0,0,0
validation,A,5,all,complete,6143,6,13,-7
validation,A,5,all,partial,52,0,0,0
validation,A,5,all,fully_missing,278,3,3,0
validation,A,5,level_ge_7m,complete,28,1,2,-1
validation,A,5,level_ge_7m,partial,0,0,0,0
validation,A,5,level_ge_7m,fully_missing,0,0,0,0
validation,A,6,all,complete,6143,21,12,9
validation,A,6,all,partial,52,0,2,-2
validation,A,6,all,fully_missing,277,4,6,-2
validation,A,6,level_ge_7m,complete,28,3,4,-1
validation,A,6,level_ge_7m,partial,0,0,0,0
validation,A,6,level_ge_7m,fully_missing,0,0,0,0
validation,A,7,all,complete,6143,30,28,2
validation,A,7,all,partial,52,0,1,-1
validation,A,7,all,fully_missing,276,3,0,3
validation,A,7,level_ge_7m,complete,28,3,5,-2
validation,A,7,level_ge_7m,partial,0,0,0,0
validation,A,7,level_ge_7m,fully_missing,0,0,0,0
validation,A,8,all,complete,6143,52,31,21
validation,A,8,all,partial,52,1,0,1
validation,A,8,all,fully_missing,275,6,2,4
validation,A,8,level_ge_7m,complete,28,2,3,-1
validation,A,8,level_ge_7m,partial,0,0,0,0
validation,A,8,level_ge_7m,fully_missing,0,0,0,0
validation,A,9,all,complete,6144,48,59,-11
validation,A,9,all,partial,52,2,0,2
validation,A,9,all,fully_missing,274,3,4,-1
validation,A,9,level_ge_7m,complete,28,3,0,3
validation,A,9,level_ge_7m,partial,0,0,0,0
validation,A,9,level_ge_7m,fully_missing,0,0,0,0
validation,A,10,all,complete,6143,87,100,-13
validation,A,10,all,partial,52,2,1,1
validation,A,10,all,fully_missing,273,4,3,1
validation,A,10,level_ge_7m,complete,28,4,1,3
validation,A,10,level_ge_7m,partial,0,0,0,0
validation,A,10,level_ge_7m,fully_missing,0,0,0,0
validation,A,11,all,complete,6144,91,83,8
validation,A,11,all,partial,52,4,0,4
validation,A,11,all,fully_missing,272,2,6,-4
validation,A,11,level_ge_7m,complete,28,3,2,1
validation,A,11,level_ge_7m,partial,0,0,0,0
validation,A,11,level_ge_7m,fully_missing,0,0,0,0
validation,A,12,all,complete,6143,102,90,12
validation,A,12,all,partial,52,2,2,0
validation,A,12,all,fully_missing,271,10,3,7
validation,A,12,level_ge_7m,complete,28,2,0,2
validation,A,12,level_ge_7m,partial,0,0,0,0
validation,A,12,level_ge_7m,fully_missing,0,0,0,0
validation,B,1,all,complete,6158,0,0,0
validation,B,1,all,partial,50,0,0,0
validation,B,1,all,fully_missing,280,0,0,0
validation,B,1,level_ge_7m,complete,28,0,0,0
validation,B,1,level_ge_7m,partial,0,0,0,0
validation,B,1,level_ge_7m,fully_missing,0,0,0,0
validation,B,2,all,complete,6156,1,1,0
validation,B,2,all,partial,51,0,1,-1
validation,B,2,all,fully_missing,280,1,0,1
validation,B,2,level_ge_7m,complete,28,0,0,0
validation,B,2,level_ge_7m,partial,0,0,0,0
validation,B,2,level_ge_7m,fully_missing,0,0,0,0
validation,B,3,all,complete,6157,2,6,-4
validation,B,3,all,partial,52,1,1,0
validation,B,3,all,fully_missing,278,2,3,-1
validation,B,3,level_ge_7m,complete,28,0,0,0
validation,B,3,level_ge_7m,partial,0,0,0,0
validation,B,3,level_ge_7m,fully_missing,0,0,0,0
validation,B,4,all,complete,6154,6,8,-2
validation,B,4,all,partial,52,0,0,0
validation,B,4,all,fully_missing,278,3,0,3
validation,B,4,level_ge_7m,complete,28,1,1,0
validation,B,4,level_ge_7m,partial,0,0,0,0
validation,B,4,level_ge_7m,fully_missing,0,0,0,0
validation,B,5,all,complete,6154,6,13,-7
validation,B,5,all,partial,52,0,1,-1
validation,B,5,all,fully_missing,277,2,4,-2
validation,B,5,level_ge_7m,complete,28,1,2,-1
validation,B,5,level_ge_7m,partial,0,0,0,0
validation,B,5,level_ge_7m,fully_missing,0,0,0,0
validation,B,6,all,complete,6154,28,11,17
validation,B,6,all,partial,52,0,1,-1
validation,B,6,all,fully_missing,276,3,4,-1
validation,B,6,level_ge_7m,complete,28,4,1,3
validation,B,6,level_ge_7m,partial,0,0,0,0
validation,B,6,level_ge_7m,fully_missing,0,0,0,0
validation,B,7,all,complete,6154,30,27,3
validation,B,7,all,partial,52,1,2,-1
validation,B,7,all,fully_missing,275,6,2,4
validation,B,7,level_ge_7m,complete,28,4,4,0
validation,B,7,level_ge_7m,partial,0,0,0,0
validation,B,7,level_ge_7m,fully_missing,0,0,0,0
validation,B,8,all,complete,6154,61,48,13
validation,B,8,all,partial,52,2,0,2
validation,B,8,all,fully_missing,274,6,7,-1
validation,B,8,level_ge_7m,complete,28,1,2,-1
validation,B,8,level_ge_7m,partial,0,0,0,0
validation,B,8,level_ge_7m,fully_missing,0,0,0,0
validation,B,9,all,complete,6154,55,63,-8
validation,B,9,all,partial,52,2,0,2
validation,B,9,all,fully_missing,273,4,5,-1
validation,B,9,level_ge_7m,complete,28,1,1,0
validation,B,9,level_ge_7m,partial,0,0,0,0
validation,B,9,level_ge_7m,fully_missing,0,0,0,0
validation,B,10,all,complete,6154,77,124,-47
validation,B,10,all,partial,52,0,2,-2
validation,B,10,all,fully_missing,272,4,5,-1
validation,B,10,level_ge_7m,complete,28,1,1,0
validation,B,10,level_ge_7m,partial,0,0,0,0
validation,B,10,level_ge_7m,fully_missing,0,0,0,0
validation,B,11,all,complete,6154,88,98,-10
validation,B,11,all,partial,52,5,0,5
validation,B,11,all,fully_missing,271,4,3,1
validation,B,11,level_ge_7m,complete,28,2,1,1
validation,B,11,level_ge_7m,partial,0,0,0,0
validation,B,11,level_ge_7m,fully_missing,0,0,0,0
validation,B,12,all,complete,6154,100,105,-5
validation,B,12,all,partial,52,4,0,4
validation,B,12,all,fully_missing,270,9,3,6
validation,B,12,level_ge_7m,complete,28,2,0,2
validation,B,12,level_ge_7m,partial,0,0,0,0
validation,B,12,level_ge_7m,fully_missing,0,0,0,0
