phase,profile,horizon_h,subset,family,carreiro_availability,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,2,level_ge_7m,profile_B_control,partial,16,0,16,16,0,16,1.3100671777944468,0.08187919861215293,0.025221063887284234,0.19164084114459357
test,A,2,level_ge_7m,profile_B_control,fully_missing,96,18,78,77,1,68,17.390499033678132,0.22585063680101472,-0.07224235326234245,2.3364175247165386
test,A,2,level_ge_7m,mixed_profile_candidate,complete,148,5,143,143,0,142,11.705448947323607,0.08185628634492033,-0.0026010805416226013,0.5127623059546487
test,A,2,level_ge_7m,mixed_profile_candidate,partial,16,0,16,16,0,16,1.3840241966934261,0.08650151229333913,0.02953957679818131,0.21903570587192256
test,A,2,level_ge_7m,mixed_profile_candidate,fully_missing,96,18,78,77,1,67,18.459371142502313,0.2397320927597703,-0.05186266205184454,2.35798379080882
test,A,2,level_ge_7m,carreiro_missing_exposure,complete,148,5,143,143,0,141,11.910314303124279,0.08328891121065929,0.00770668525837409,0.5992656129539125
test,A,2,level_ge_7m,carreiro_missing_exposure,partial,16,0,16,16,0,16,1.395489530209125,0.08721809563807031,0.030895575367181294,0.2323114400044215
test,A,2,level_ge_7m,carreiro_missing_exposure,fully_missing,96,18,78,77,1,67,17.730820698860562,0.23027039868650082,-0.010709718720554703,2.1504689423766576
test,A,3,all,profile_A_control,complete,1405,5,1400,1395,5,1383,98.92473167167942,0.07091378614457307,-0.0002805213231670755,0.9541938231108986
test,A,3,all,profile_A_control,partial,16,0,16,16,0,16,1.871482270790933,0.11696764192443332,0.0831595448292205,0.34839090611624
test,A,3,all,profile_A_control,fully_missing,544,18,526,522,4,497,70.43686998833381,0.13493653254470078,-0.02584411493915986,3.8502978392165037
test,A,3,all,profile_B_control,complete,1405,5,1400,1395,5,1360,169.06046474558872,0.12119029730866575,0.006969525038510736,1.1076891363066506
test,A,3,all,profile_B_control,partial,16,0,16,16,0,16,1.5729462317306098,0.09830913948316311,0.04144225163355464,0.2750420705625025
test,A,3,all,profile_B_control,fully_missing,544,18,526,522,4,475,89.76393322953754,0.17196155791099146,-0.014798590390607123,3.591469992707828
