phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,exposed_hits,hits_delta,reference_mae_m,exposed_mae_m,mae_m_delta,reference_bias_m,exposed_bias_m,bias_m_delta,reference_p98_abs_m,exposed_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,exposed_max_abs_m,max_abs_m_delta
test,A,3,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unmasked,237,236,1,211,210,-1,0.23103349561199366,0.23675695187114063,0.0057234562591469695,-0.04770049302095064,-0.04982927998263291,-0.002128786961682269,1.4343554446068412,1.4355551322137787,0.0011996876069375606,3.5417724438313964,3.569719370791849,0.027946926960452423
test,A,3,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,210,210,0,0.2532196871530062,0.23675695187114063,-0.016462735281865565,-0.059558642560117205,-0.04982927998263291,0.009729362577484295,1.6407855388564219,1.4355551322137787,-0.20523040664264314,3.8502978392165037,3.569719370791849,-0.28057846842465484
test,A,3,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,211,210,-1,0.22939160313662513,0.23675695187114063,0.007365348734515498,-0.049539724936621565,-0.04982927998263291,-0.0002895550460113444,1.4559494306676029,1.4355551322137787,-0.020394298453824122,3.591469992707828,3.569719370791849,-0.021750621915979096
test,A,3,complete24,all,mixed_profile_candidate,primary_unmasked,1346,1346,0,1321,1323,2,0.09353934393409843,0.09391579015265115,0.0003764462185527201,0.005249048832444129,0.006164257484325209,0.0009152086518810793,0.40826632419709485,0.4308563632940211,0.02259003909692625,1.0753632970139049,0.9779057633980326,-0.09745753361587228
test,A,3,complete24,all,profile_A_control,matching_profile,1346,1346,0,1337,1323,-14,0.06676184143982879,0.09391579015265115,0.027153948712822368,0.0008533600840207653,0.006164257484325209,0.005310897400304443,0.3472407943730499,0.4308563632940211,0.08361556892097122,0.9541938231108986,0.9779057633980326,0.02371194028713397
test,A,3,complete24,all,profile_B_control,cross_profile,1346,1346,0,1315,1323,8,0.11894199675714617,0.09391579015265115,-0.02502620660449502,0.007555344036208855,0.006164257484325209,-0.0013910865518836461,0.5225955024622742,0.4308563632940211,-0.09173913916825305,1.1076891363066506,0.9779057633980326,-0.12978337290861797
test,A,3,complete24,level_ge_7m,mixed_profile_candidate,primary_unmasked,142,142,0,135,136,1,0.1444212101017265,0.1482109232283653,0.003789713126638783,-0.010512252389214603,-0.0050168022786740585,0.005495450110540544,0.6473228658122127,0.6128407434437287,-0.034482122368483914,0.8009367996348562,0.7626473749297329,-0.03828942470512331
test,A,3,complete24,level_ge_7m,profile_A_control,matching_profile,142,142,0,136,136,0,0.15419241973272838,0.1482109232283653,-0.005981496504363082,-0.009339708535082389,-0.0050168022786740585,0.00432290625640833,0.7465230322859905,0.6128407434437287,-0.13368228884226174,0.9541938231108986,0.7626473749297329,-0.19154644818116573
test,A,3,complete24,level_ge_7m,profile_B_control,cross_profile,142,142,0,136,136,0,0.1476928718663916,0.1482109232283653,0.0005180513619736926,-0.003641382097772714,-0.0050168022786740585,-0.0013754201809013447,0.6821020741011882,0.6128407434437287,-0.06926133065745943,0.7451468353396038,0.7626473749297329,0.017500539590129094
test,A,3,missing24,all,mixed_profile_candidate,primary_unmasked,596,587,9,548,544,-4,0.15066004565034355,0.14838774298487364,-0.0022723026654699052,0.0016334461323469335,-0.0018029552649328766,-0.00343640139727981,0.9082153699331775,0.8314174570808529,-0.07679791285232462,3.5417724438313964,3.569719370791849,0.027946926960452423
test,A,3,missing24,all,profile_A_control,matching_profile,596,587,9,559,544,-15,0.13862290520067225,0.14838774298487364,0.009764837784201397,-0.0233390548549982,-0.0018029552649328766,0.021536099590065323,0.8135732498407686,0.8314174570808529,0.017844207240084287,3.8502978392165037,3.569719370791849,-0.28057846842465484
test,A,3,missing24,all,profile_B_control,cross_profile,596,587,9,536,544,8,0.17087123777127447,0.14838774298487364,-0.022483494786400826,-0.01279181226878141,-0.0018029552649328766,0.010988857003848534,0.9869612549858086,0.8314174570808529,-0.15554379790495565,3.591469992707828,3.569719370791849,-0.021750621915979096
test,A,3,missing24,level_ge_7m,mixed_profile_candidate,primary_unmasked,95,94,1,76,74,-2,0.36187333117005677,0.3705179738634183,0.008644642693361515,-0.10387847354974337,-0.11752472502478348,-0.013646251475040103,2.9191550411005736,2.891441273725384,-0.02771376737518949,3.5417724438313964,3.569719370791849,0.027946926960452423
test,A,3,missing24,level_ge_7m,profile_A_control,matching_profile,95,94,1,74,74,0,0.4028140698517237,0.3705179738634183,-0.03229609598830541,-0.1354212875766592,-0.11752472502478348,0.017896562551875717,3.183904606204276,2.891441273725384,-0.2924633324788921,3.8502978392165037,3.569719370791849,-0.28057846842465484
test,A,3,missing24,level_ge_7m,profile_B_control,cross_profile,95,94,1,75,74,-1,0.3528088354810204,0.3705179738634183,0.017709138382397904,-0.11887551943786133,-0.11752472502478348,0.001350794413077852,2.935300043269788,2.891441273725384,-0.04385876954440393,3.591469992707828,3.569719370791849,-0.021750621915979096
test,A,4,full_schedule,all,mixed_profile_candidate,primary_unmasked,1941,1931,10,1864,1865,1,0.13045457157932483,0.13004110638346672,-0.00041346519585810926,-0.006074819548535502,-0.004223074693779384,0.001851744854756118,0.6623708958096728,0.670808543471561,0.008437647661888259,4.7455033562984505,4.495891280183935,-0.24961207611451552
test,A,4,full_schedule,all,profile_A_control,matching_profile,1941,1931,10,1878,1865,-13,0.11497979365427792,0.13004110638346672,0.0150613127291888,-0.0066789439994183655,-0.004223074693779384,0.0024558693056389814,0.6314555948257827,0.670808543471561,0.03935294864577832,4.579107233006882,4.495891280183935,-0.0832159528229468
test,A,4,full_schedule,all,profile_B_control,cross_profile,1941,1931,10,1857,1865,8,0.14274974733421603,0.13004110638346672,-0.012708640950749306,-0.008595849826159976,-0.004223074693779384,0.004372775132380592,0.6845921962755657,0.670808543471561,-0.01378365280400462,4.745916441945315,4.495891280183935,-0.25002516176138023
test,A,4,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unmasked,237,236,1,199,198,-1,0.36092812417098286,0.36372773966969496,0.0027996154987121047,-0.10023364114723851,-0.08473508043809146,0.015498560709147055,2.3151663431946967,2.061143989380546,-0.25402235381415084,4.7455033562984505,4.495891280183935,-0.24961207611451552
test,A,4,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,199,198,-1,0.34447883082737046,0.36372773966969496,0.019248908842324497,-0.0846524882924419,-0.08473508043809146,-8.25921456495543e-05,2.1717562253460576,2.061143989380546,-0.11061223596551173,4.579107233006882,4.495891280183935,-0.0832159528229468
test,A,4,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,201,198,-3,0.35548726889395527,0.36372773966969496,0.008240470775739694,-0.10532369205205049,-0.08473508043809146,0.02058861161395903,2.333211396248645,2.061143989380546,-0.27206740686809905,4.745916441945315,4.495891280183935,-0.25002516176138023
test,A,4,complete24,all,mixed_profile_candidate,primary_unmasked,1345,1345,0,1319,1320,1,0.10483660663078839,0.10658638886754315,0.00174978223675476,0.003973479744191185,0.0029076890436923936,-0.001065790700498791,0.4957601626034169,0.48780848576879604,-0.007951676834620836,1.1275417261449672,1.3416352072626214,0.21409348111765425
test,A,4,complete24,all,profile_A_control,matching_profile,1345,1345,0,1327,1320,-7,0.08960267220847443,0.10658638886754315,0.016983716659068726,0.0048495547602637355,0.0029076890436923936,-0.0019418657165713418,0.43281041448884344,0.48780848576879604,0.0549980712799526,1.0126687812034216,1.3416352072626214,0.3289664260591998
test,A,4,complete24,all,profile_B_control,cross_profile,1345,1345,0,1319,1320,1,0.1189519069614705,0.10658638886754315,-0.012365518093927344,-0.00036699678096311207,0.0029076890436923936,0.0032746858246555056,0.4960147081108131,0.48780848576879604,-0.008206222342017067,1.11492535080016,1.3416352072626214,0.22670985646246145
test,A,4,complete24,level_ge_7m,mixed_profile_candidate,primary_unmasked,141,141,0,127,126,-1,0.21817461329975182,0.23746850187314228,0.019293888573390455,-0.005596108087970437,-0.01176643221078176,-0.006170324122811323,0.9707681531764454,1.081185535061373,0.11041738188492767,1.1275417261449672,1.3416352072626214,0.21409348111765425
