phase,profile,horizon_h,subset,partition,category,pairs,gained,lost,both_hit,both_miss,net_hits
test,A,10,level_ge_7m,known_trend,stable,73,0,0,36,37,0
test,A,10,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,A,10,level_ge_7m,future_response,rising,98,0,0,26,72,0
test,A,10,level_ge_7m,future_response,falling,109,0,0,52,57,0
test,A,10,level_ge_7m,future_response,stable,29,0,0,12,17,0
test,A,10,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,A,11,all,known_trend,rising,335,0,0,217,118,0
test,A,11,all,known_trend,falling,459,0,0,321,138,0
test,A,11,all,known_trend,stable,1118,0,0,807,311,0
test,A,11,all,known_trend,unknown,5,0,0,3,2,0
test,A,11,all,future_response,rising,575,0,0,393,182,0
test,A,11,all,future_response,falling,788,0,0,570,218,0
test,A,11,all,future_response,stable,554,0,0,385,169,0
test,A,11,all,future_response,unknown,0,0,0,0,0,0
test,A,11,level_ge_7m,known_trend,rising,95,0,0,25,70,0
test,A,11,level_ge_7m,known_trend,falling,67,0,0,28,39,0
test,A,11,level_ge_7m,known_trend,stable,73,0,0,29,44,0
test,A,11,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,A,11,level_ge_7m,future_response,rising,100,0,0,23,77,0
test,A,11,level_ge_7m,future_response,falling,111,0,0,47,64,0
test,A,11,level_ge_7m,future_response,stable,25,0,0,12,13,0
test,A,11,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,A,12,all,known_trend,rising,334,0,0,211,123,0
test,A,12,all,known_trend,falling,459,0,0,319,140,0
test,A,12,all,known_trend,stable,1117,0,0,772,345,0
test,A,12,all,known_trend,unknown,5,0,0,2,3,0
test,A,12,all,future_response,rising,583,0,0,401,182,0
test,A,12,all,future_response,falling,790,0,0,551,239,0
test,A,12,all,future_response,stable,542,0,0,352,190,0
test,A,12,all,future_response,unknown,0,0,0,0,0,0
test,A,12,level_ge_7m,known_trend,rising,96,0,0,27,69,0
test,A,12,level_ge_7m,known_trend,falling,66,0,0,23,43,0
test,A,12,level_ge_7m,known_trend,stable,73,0,0,25,48,0
test,A,12,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,A,12,level_ge_7m,future_response,rising,105,0,0,26,79,0
test,A,12,level_ge_7m,future_response,falling,110,0,0,37,73,0
test,A,12,level_ge_7m,future_response,stable,21,0,0,12,9,0
test,A,12,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,1,all,known_trend,rising,342,0,0,335,7,0
test,B,1,all,known_trend,falling,466,0,0,466,0,0
test,B,1,all,known_trend,stable,1128,0,0,1126,2,0
test,B,1,all,known_trend,unknown,4,0,0,4,0,0
test,B,1,all,future_response,rising,126,0,0,118,8,0
test,B,1,all,future_response,falling,21,0,0,20,1,0
test,B,1,all,future_response,stable,1793,0,0,1793,0,0
test,B,1,all,future_response,unknown,0,0,0,0,0,0
test,B,1,level_ge_7m,known_trend,rising,68,0,0,62,6,0
test,B,1,level_ge_7m,known_trend,falling,88,0,0,88,0,0
test,B,1,level_ge_7m,known_trend,stable,79,0,0,79,0,0
test,B,1,level_ge_7m,known_trend,unknown,1,0,0,1,0,0
test,B,1,level_ge_7m,future_response,rising,28,0,0,23,5,0
test,B,1,level_ge_7m,future_response,falling,21,0,0,20,1,0
test,B,1,level_ge_7m,future_response,stable,187,0,0,187,0,0
test,B,1,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,2,all,known_trend,rising,340,0,0,327,13,0
test,B,2,all,known_trend,falling,465,1,0,459,5,1
test,B,2,all,known_trend,stable,1128,0,0,1125,3,0
test,B,2,all,known_trend,unknown,4,0,0,4,0,0
test,B,2,all,future_response,rising,239,0,0,225,14,0
test,B,2,all,future_response,falling,151,1,0,145,5,1
test,B,2,all,future_response,stable,1547,0,0,1545,2,0
test,B,2,all,future_response,unknown,0,0,0,0,0,0
test,B,2,level_ge_7m,known_trend,rising,72,0,0,63,9,0
test,B,2,level_ge_7m,known_trend,falling,88,1,0,83,4,1
test,B,2,level_ge_7m,known_trend,stable,75,0,0,75,0,0
test,B,2,level_ge_7m,known_trend,unknown,1,0,0,1,0,0
test,B,2,level_ge_7m,future_response,rising,45,0,0,38,7,0
test,B,2,level_ge_7m,future_response,falling,52,1,0,46,5,1
test,B,2,level_ge_7m,future_response,stable,139,0,0,138,1,0
test,B,2,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,B,3,all,known_trend,rising,339,0,1,308,30,-1
test,B,3,all,known_trend,falling,465,2,0,450,13,2
test,B,3,all,known_trend,stable,1126,0,1,1117,8,-1
test,B,3,all,known_trend,unknown,4,0,0,4,0,0
test,B,3,all,future_response,rising,312,0,1,275,36,-1
test,B,3,all,future_response,falling,289,0,0,281,8,0
test,B,3,all,future_response,stable,1333,2,1,1323,7,1
test,B,3,all,future_response,unknown,0,0,0,0,0,0
test,B,3,level_ge_7m,known_trend,rising,76,0,1,49,26,-1
test,B,3,level_ge_7m,known_trend,falling,88,0,0,81,7,0
test,B,3,level_ge_7m,known_trend,stable,71,0,1,70,0,-1
test,B,3,level_ge_7m,known_trend,unknown,1,0,0,1,0,0
test,B,3,level_ge_7m,future_response,rising,55,0,1,30,24,-1
