phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,3,level_ge_7m,full_schedule,rain108_augmented,6549,28,28,0,28,1.0,1.0,0.18790577601736613,0.08905608050044776,0.405472391863708,0.42028925796775773
validation,3,level_ge_7m,complete24,observed_control,5912,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16960676474370254,0.0480847892416398,0.5556545652840782,0.6140799441250824
validation,3,level_ge_7m,complete24,augmented,5912,28,28,0,25,0.8928571428571429,0.8928571428571429,0.20403266818776372,0.11297069730980801,0.5821260406297245,0.5932292719987533
validation,3,level_ge_7m,complete24,core_original,5912,28,28,0,24,0.8571428571428571,0.8571428571428571,0.21344794759956157,0.08358062133262248,0.5789384330759704,0.6036826012244667
validation,3,level_ge_7m,complete24,core_augmented,5912,28,28,0,27,0.9642857142857143,0.9642857142857143,0.19104831910612788,0.08570414595577251,0.4386813461486111,0.5030409911690628
validation,3,level_ge_7m,complete24,levels45_original,5912,28,28,0,28,1.0,1.0,0.12987920650615734,0.05262594939147421,0.3742765701026477,0.4355718196940259
validation,3,level_ge_7m,complete24,levels45_augmented,5912,28,28,0,28,1.0,1.0,0.17334437183866683,0.1244908652881305,0.45094175292138783,0.4668114195746167
validation,3,level_ge_7m,complete24,rain108_original,5912,28,28,0,24,0.8571428571428571,0.8571428571428571,0.24068052060702896,0.0730689222027864,0.6134986564444408,0.6369586233543423
validation,3,level_ge_7m,complete24,rain108_augmented,5912,28,28,0,28,1.0,1.0,0.18790577601736613,0.08905608050044776,0.405472391863708,0.42028925796775773
validation,3,level_ge_7m,missing24,observed_control,637,0,0,0,0,,,,,,
validation,3,level_ge_7m,missing24,augmented,637,0,0,0,0,,,,,,
validation,3,level_ge_7m,missing24,core_original,637,0,0,0,0,,,,,,
validation,3,level_ge_7m,missing24,core_augmented,637,0,0,0,0,,,,,,
validation,3,level_ge_7m,missing24,levels45_original,637,0,0,0,0,,,,,,
validation,3,level_ge_7m,missing24,levels45_augmented,637,0,0,0,0,,,,,,
validation,3,level_ge_7m,missing24,rain108_original,637,0,0,0,0,,,,,,
validation,3,level_ge_7m,missing24,rain108_augmented,637,0,0,0,0,,,,,,
validation,4,all,full_schedule,observed_control,6548,6514,6474,40,6431,0.9933580475749151,0.987258213079521,0.06104765754702062,0.014452144778230811,0.34029778549374,1.8219056508267162
validation,4,all,full_schedule,augmented,6548,6514,6474,40,6422,0.9919678714859438,0.9858765735339269,0.06460021350541198,0.01297491866258204,0.3418325363905667,1.9774722690030497
validation,4,all,full_schedule,core_original,6548,6514,6474,40,6390,0.9870250231696015,0.9809640773718146,0.07722668579070899,0.014068416278705387,0.39434131191166755,1.976073013525717
validation,4,all,full_schedule,core_augmented,6548,6514,6474,40,6397,0.9881062712388013,0.9820386859072766,0.07926482434953443,0.016105370254526942,0.3807651152680253,2.0162809417036867
validation,4,all,full_schedule,levels45_original,6548,6514,6474,40,6416,0.9910410874266296,0.9849554805035309,0.06184313964660674,0.01802758053372012,0.36328555062221496,1.1147413306357663
validation,4,all,full_schedule,levels45_augmented,6548,6514,6474,40,6439,0.9945937596540007,0.9884863371200491,0.054811218678942585,0.007082690767993647,0.302348580679195,1.192914293699296
validation,4,all,full_schedule,rain108_original,6548,6514,6474,40,6387,0.9865616311399444,0.9805035308566166,0.08486799171850488,0.015739743089489642,0.409512566769881,1.9652643666687286
validation,4,all,full_schedule,rain108_augmented,6548,6514,6474,40,6380,0.9854803830707445,0.9794289223211544,0.08870397112656554,0.016703402927872844,0.43469910060203765,2.0484072426567206
validation,4,all,complete24,observed_control,5912,5880,5880,0,5859,0.9964285714285714,0.9964285714285714,0.051990217427198344,0.007082108235585423,0.26578377883297893,1.8219056508267162
validation,4,all,complete24,augmented,5912,5880,5880,0,5847,0.9943877551020408,0.9943877551020408,0.05949354745557847,0.010342529781566055,0.3011087774072683,1.9774722690030497
validation,4,all,complete24,core_original,5912,5880,5880,0,5835,0.9923469387755102,0.9923469387755102,0.07001324571351036,0.014064382249483554,0.341611730811196,1.426620815918298
validation,4,all,complete24,core_augmented,5912,5880,5880,0,5844,0.9938775510204082,0.9938775510204082,0.0723390650859519,0.015714737818780213,0.33620087901326956,1.2939664246486942
validation,4,all,complete24,levels45_original,5912,5880,5880,0,5862,0.996938775510204,0.996938775510204,0.04847279667600561,0.004864112637866831,0.2554422393054972,1.1147413306357663
validation,4,all,complete24,levels45_augmented,5912,5880,5880,0,5864,0.9972789115646259,0.9972789115646259,0.04836158733199441,0.003742381376820521,0.24630108350624189,1.192914293699296
validation,4,all,complete24,rain108_original,5912,5880,5880,0,5832,0.9918367346938776,0.9918367346938776,0.07743704427254158,0.015396948022047307,0.3593385682239699,1.821474065227667
validation,4,all,complete24,rain108_augmented,5912,5880,5880,0,5827,0.9909863945578231,0.9909863945578231,0.08200305956951676,0.016829146606951933,0.37692590778114443,2.0484072426567206
validation,4,all,missing24,observed_control,636,634,594,40,572,0.9629629629629629,0.9022082018927445,0.15070716580384713,0.08740806206906392,0.5385478587692857,0.7748820108780885
validation,4,all,missing24,augmented,636,634,594,40,575,0.968013468013468,0.9069400630914827,0.11515104915022856,0.03903290960597256,0.5959542327257723,1.2069532064086455
validation,4,all,missing24,core_original,636,634,594,40,555,0.9343434343434344,0.8753943217665615,0.1486324562518671,0.014108349093224545,0.9030075144320642,1.976073013525717
validation,4,all,missing24,core_augmented,636,634,594,40,553,0.930976430976431,0.8722397476340694,0.1478228453425735,0.019972236790201606,0.8354739428926188,2.0162809417036867
