phase,horizon_h,family,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,weight_sum,response_min_m,response_max_m,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,6,levels45_augmented,4354,493,4847,45,227,51,5899,-1.7400000000000002,9.900000000000002,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,6,rain108_original,4354,0,4354,108,227,0,5334,-1.7400000000000002,5.41,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,6,rain108_augmented,4354,493,4847,108,227,51,5899,-1.7400000000000002,9.900000000000002,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,6,levels45_original,10826,0,10826,45,255,0,12558,-1.7400000000000002,5.41,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,6,levels45_augmented,10826,493,11319,45,255,51,13123,-1.7400000000000002,9.900000000000002,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,6,rain108_original,10826,0,10826,108,255,0,12558,-1.7400000000000002,5.41,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,6,rain108_augmented,10826,493,11319,108,255,51,13123,-1.7400000000000002,9.900000000000002,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,7,levels45_original,4353,0,4353,45,227,0,5481,-2.0,6.09,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,7,levels45_augmented,4353,491,4844,45,227,50,6054,-2.0,10.47,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,7,rain108_original,4353,0,4353,108,227,0,5481,-2.0,6.09,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,7,rain108_augmented,4353,491,4844,108,227,50,6054,-2.0,10.47,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,7,levels45_original,10824,0,10824,45,255,0,12870,-2.0,6.09,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,7,levels45_augmented,10824,491,11315,45,255,50,13443,-2.0,10.47,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,7,rain108_original,10824,0,10824,108,255,0,12870,-2.0,6.09,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,7,rain108_augmented,10824,491,11315,108,255,50,13443,-2.0,10.47,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,8,levels45_original,4352,0,4352,45,227,0,5612,-2.26,6.73,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,8,levels45_augmented,4352,489,4841,45,227,49,6197,-2.26,11.040000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,8,rain108_original,4352,0,4352,108,227,0,5612,-2.26,6.73,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,8,rain108_augmented,4352,489,4841,108,227,49,6197,-2.26,11.040000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,8,levels45_original,10822,0,10822,45,255,0,13128,-2.26,6.73,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,8,levels45_augmented,10822,489,11311,45,255,49,13713,-2.26,11.040000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,8,rain108_original,10822,0,10822,108,255,0,13128,-2.26,6.73,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,8,rain108_augmented,10822,489,11311,108,255,49,13713,-2.26,11.040000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,9,levels45_original,4351,0,4351,45,227,0,5731,-2.5299999999999994,7.119999999999999,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,9,levels45_augmented,4351,487,4838,45,227,48,6338,-2.5299999999999994,11.57,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,9,rain108_original,4351,0,4351,108,227,0,5731,-2.5299999999999994,7.119999999999999,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,9,rain108_augmented,4351,487,4838,108,227,48,6338,-2.5299999999999994,11.57,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,9,levels45_original,10821,0,10821,45,255,0,13363,-2.5299999999999994,7.119999999999999,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,9,levels45_augmented,10821,487,11308,45,255,48,13970,-2.5299999999999994,11.57,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,9,rain108_original,10821,0,10821,108,255,0,13363,-2.5299999999999994,7.119999999999999,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,9,rain108_augmented,10821,487,11308,108,255,48,13970,-2.5299999999999994,11.57,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,10,levels45_original,4350,0,4350,45,227,0,5836,-2.789999999999999,7.469999999999999,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,10,levels45_augmented,4350,485,4835,45,227,47,6453,-2.789999999999999,12.030000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,10,rain108_original,4350,0,4350,108,227,0,5836,-2.789999999999999,7.469999999999999,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,10,rain108_augmented,4350,485,4835,108,227,47,6453,-2.789999999999999,12.030000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,10,levels45_original,10818,0,10818,45,255,0,13556,-2.789999999999999,7.469999999999999,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,10,levels45_augmented,10818,485,11303,45,255,47,14173,-2.789999999999999,12.030000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,10,rain108_original,10818,0,10818,108,255,0,13556,-2.789999999999999,7.469999999999999,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,10,rain108_augmented,10818,485,11303,108,255,47,14173,-2.789999999999999,12.030000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,11,levels45_original,4349,0,4349,45,227,0,5927,-3.0199999999999996,7.789999999999999,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,11,levels45_augmented,4349,483,4832,45,227,46,6560,-3.0199999999999996,12.350000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,11,rain108_original,4349,0,4349,108,227,0,5927,-3.0199999999999996,7.789999999999999,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,11,rain108_augmented,4349,483,4832,108,227,46,6560,-3.0199999999999996,12.350000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,11,levels45_original,10817,0,10817,45,255,0,13701,-3.0199999999999996,7.789999999999999,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,11,levels45_augmented,10817,483,11300,45,255,46,14334,-3.0199999999999996,12.350000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,11,rain108_original,10817,0,10817,108,255,0,13701,-3.0199999999999996,7.789999999999999,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,11,rain108_augmented,10817,483,11300,108,255,46,14334,-3.0199999999999996,12.350000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,12,levels45_original,4348,0,4348,45,227,0,6004,-3.26,8.09,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,12,levels45_augmented,4348,481,4829,45,227,45,6667,-3.26,12.59,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,12,rain108_original,4348,0,4348,108,227,0,6004,-3.26,8.09,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,12,rain108_augmented,4348,481,4829,108,227,45,6667,-3.26,12.59,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,12,levels45_original,10814,0,10814,45,255,0,13812,-3.26,8.09,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,12,levels45_augmented,10814,481,11295,45,255,45,14475,-3.26,12.59,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,12,rain108_original,10814,0,10814,108,255,0,13812,-3.26,8.09,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,12,rain108_augmented,10814,481,11295,108,255,45,14475,-3.26,12.59,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
