phase,horizon_h,contrast,reference,candidate,reference_hits,candidate_hits,change_hits,reference_mae_m,candidate_mae_m,change_mae_m,reference_bias_m,candidate_bias_m,change_bias_m,reference_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,reference_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,2,year45,levels45_original,levels45_augmented,28,28,0,0.12234732698524661,0.11056382663499568,-0.011783500350250928,0.049522276592879076,0.028326444818807132,-0.021195831774071944,0.348978425942503,0.24850510946861235,-0.10047331647389066,0.3730528497303691,0.2495112788530296,-0.12354157087733952
validation,2,year108,rain108_original,rain108_augmented,28,28,0,0.14439986725613368,0.13272357456987888,-0.011676292686254808,0.039521696197819055,-0.009178007530976862,-0.048699703728795916,0.34931354674523113,0.2951791856562927,-0.05413436108893843,0.3788205288450879,0.3525808463182276,-0.026239682526860264
validation,2,rain_with_aux_original,levels45_original,observed_control,28,28,0,0.12234732698524661,0.11897886238198042,-0.0033684646032661886,0.049522276592879076,0.02382246183854456,-0.025699814754334516,0.348978425942503,0.3544459802504053,0.0054675543079023,0.3730528497303691,0.36191043129735867,-0.011142418433010448
validation,2,rain_with_aux_augmented,levels45_augmented,augmented,28,28,0,0.11056382663499568,0.12951907349574096,0.018955246860745276,0.028326444818807132,0.011678629413639983,-0.01664781540516715,0.24850510946861235,0.3835144772981856,0.13500936782957326,0.2495112788530296,0.44768831489714067,0.19817703604411108
validation,2,rain_without_aux_original,core_original,rain108_original,27,28,1,0.16316878136293617,0.14439986725613368,-0.01876891410680248,0.012259775734056693,0.039521696197819055,0.027261920463762364,0.5455550975367626,0.34931354674523113,-0.19624155079153144,0.6144893711934012,0.3788205288450879,-0.2356688423483133
validation,2,rain_without_aux_augmented,core_augmented,rain108_augmented,28,28,0,0.12438253781048954,0.13272357456987888,0.00834103675938934,0.0269201152959549,-0.009178007530976862,-0.03609812282693176,0.35380923567686295,0.2951791856562927,-0.05863005002057026,0.3905449828425498,0.3525808463182276,-0.03796413652432218
validation,2,aux_with_rain_original,rain108_original,observed_control,28,28,0,0.14439986725613368,0.11897886238198042,-0.02542100487415326,0.039521696197819055,0.02382246183854456,-0.015699234359274495,0.34931354674523113,0.3544459802504053,0.005132433505174172,0.3788205288450879,0.36191043129735867,-0.016910097547729208
validation,2,aux_with_rain_augmented,rain108_augmented,augmented,28,28,0,0.13272357456987888,0.12951907349574096,-0.0032045010741379165,-0.009178007530976862,0.011678629413639983,0.020856636944616844,0.2951791856562927,0.3835144772981856,0.08833529164189291,0.3525808463182276,0.44768831489714067,0.09510746857891306
validation,2,aux_without_rain_original,core_original,levels45_original,27,28,1,0.16316878136293617,0.12234732698524661,-0.04082145437768955,0.012259775734056693,0.049522276592879076,0.037262500858822385,0.5455550975367626,0.348978425942503,-0.19657667159425957,0.6144893711934012,0.3730528497303691,-0.24143652146303207
validation,2,aux_without_rain_augmented,core_augmented,levels45_augmented,28,28,0,0.12438253781048954,0.11056382663499568,-0.013818711175493853,0.0269201152959549,0.028326444818807132,0.0014063295228522316,0.35380923567686295,0.24850510946861235,-0.10530412620825061,0.3905449828425498,0.2495112788530296,-0.1410337039895202
validation,3,year120,observed_control,augmented,26,25,-1,0.16960676474370254,0.20403266818776372,0.034425903444061184,0.0480847892416398,0.11297069730980801,0.06488590806816821,0.5556545652840782,0.5821260406297245,0.02647147534564631,0.6140799441250824,0.5932292719987533,-0.020850672126329073
validation,3,year33,core_original,core_augmented,24,27,3,0.21344794759956157,0.19104831910612788,-0.022399628493433688,0.08358062133262248,0.08570414595577251,0.002123524623150033,0.5789384330759704,0.4386813461486111,-0.14025708692735928,0.6036826012244667,0.5030409911690628,-0.10064161005540395
