phase,horizon_h,interaction,left,right,difference_of_effects_hits,difference_of_effects_mae_m,difference_of_effects_max_abs_m
test,1,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,1,0.0036721422045788016,-0.11572121481193332
test,1,rain_aux_original,rain_without_aux_original,rain_with_aux_original,0,0.0011795554998677987,-0.025318188461953106
test,1,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,-3,0.012579830103559966,0.014459274812473666
test,2,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-10,0.05094635936836145,-0.4815910358352635
test,2,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-7,0.050509839832474646,-0.37625290319520754
test,2,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-9,0.014526661170443683,-0.3649574076587605
test,2,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-6,0.01409014163455688,-0.2596192750187045
test,2,rain_aux_original,rain_without_aux_original,rain_with_aux_original,10,-0.013676668680829174,0.06817010064674722
test,2,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,7,-0.01324014914494237,-0.03716803199330876
test,3,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,8,0.009898853922546053,-0.08659363949781174
test,3,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-6,0.01914833876833502,0.14816820223390792
test,3,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,1,0.010973693384232153,-0.1145407283417832
test,3,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-13,0.02022317823002112,0.12022111338993646
test,3,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-2,-0.009589261744008815,0.08660357339269176
test,3,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,12,-0.018838746589797783,-0.1481582683390279
test,4,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,6,-0.02356047522559268,-0.28345508665788355
test,4,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,1,0.004468460400129104,-0.08303288297103784
test,4,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-1,-0.0024979648621181183,0.07240506191237284
test,4,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-6,0.025530970763603666,0.27282726559921855
test,4,rain_aux_original,rain_without_aux_original,rain_with_aux_original,-6,-0.016457179709234993,0.010771896698374306
test,4,rain_aux_augmented,rain_without_aux_augmented,rain_with_aux_augmented,-1,-0.04448611533495678,-0.1896503069884714
test,5,rain_year_with_aux,rain_with_aux_original,rain_with_aux_augmented,-1,0.036928544053664025,0.38992557738372646
test,5,rain_year_without_aux,rain_without_aux_original,rain_without_aux_augmented,-2,-0.015892870730966624,-0.3578004705756408
test,5,aux_year_with_rain,aux_with_rain_original,aux_with_rain_augmented,-5,0.046340944095423,0.48937312181207826
test,5,aux_year_without_rain,aux_without_rain_original,aux_without_rain_augmented,-6,-0.006480470689207651,-0.258352926147289
