role,period,horizon_h,population,subset,family,observed_targets,pairs,failures,raw_hits,normalized_hits,hits_delta,raw_mae_m,normalized_mae_m,mae_m_delta,raw_bias_m,normalized_bias_m,bias_m_delta,raw_p98_abs_m,normalized_p98_abs_m,p98_abs_m_delta,raw_max_abs_m,normalized_max_abs_m,max_abs_m_delta
original_2025_2026,validation,2,complete24,all,original,5885,5885,0,5878,5878,0,0.0297706209205942,0.02977685695747634,6.236036882139445e-06,0.002997507842193795,0.0033117087766044535,0.0003142009344106584,0.14641257146592979,0.14342027519566514,-0.0029922962702646494,1.3024086910998092,1.292327796985405,-0.01008089411440416
original_2025_2026,validation,2,complete24,all,plus2020,5885,5885,0,5881,5880,-1,0.031023679524707307,0.03068683555376738,-0.000336843970939929,-0.00023419724859867776,-0.00014796778251145788,8.622946608721988e-05,0.14844840373455798,0.1481814457580338,-0.0002669579765241792,1.1583319428999328,1.1479719499803664,-0.010359992919566352
original_2025_2026,validation,2,complete24,level_ge_7m,original,28,28,0,28,28,0,0.11897886238198042,0.11874979650671791,-0.00022906587526251576,0.02382246183854456,0.025686494933103994,0.0018640330945594343,0.3544459802504053,0.3572941692548376,0.002848189004432289,0.36191043129735867,0.3662419889911206,0.004331557693761923
original_2025_2026,validation,2,complete24,level_ge_7m,plus2020,28,28,0,28,28,0,0.11696550238526024,0.11586171481890194,-0.0011037875663583024,0.0012352105638357028,0.004254800067946667,0.0030195895041109644,0.3594508607550828,0.3546644857667219,-0.004786374988360931,0.3728587788332991,0.37013404300181296,-0.002724735831486136
original_2025_2026,validation,2,missing24,all,original,631,592,39,588,590,2,0.05348829588393969,0.053210793984501924,-0.00027750189943776676,0.004145113268755961,0.006720681544251557,0.0025755682754955963,0.3307599152699826,0.33229069163497743,0.0015307763649948236,0.6502628363690341,0.6293176106514173,-0.02094522571761681
original_2025_2026,validation,2,missing24,all,plus2020,631,592,39,586,586,0,0.06944723020602755,0.06919860034348617,-0.00024862986254138575,-0.02001222223181292,-0.02096784951688343,-0.0009556272850705094,0.3253258566783537,0.3342924802684018,0.008966623590048128,1.2825089321551792,1.2903949832562718,0.007886051101092528
original_2025_2026,validation,2,missing24,level_ge_7m,original,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,2,missing24,level_ge_7m,plus2020,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,3,full_schedule,all,original,6515,6476,39,6444,6441,-3,0.04525957105840351,0.04548444641053118,0.00022487535212767362,0.007695788363354644,0.006589432937947058,-0.0011063554254075866,0.2640266271323174,0.26936418537984497,0.005337558247527574,1.537354044244438,1.576166597600027,0.038812553355588975
original_2025_2026,validation,3,full_schedule,all,plus2020,6515,6476,39,6435,6435,0,0.052479042402043756,0.052976333739717316,0.0004972913376735597,0.0005374707838122023,0.001707623622931398,0.0011701528391191958,0.26964836105171885,0.27224056531453,0.0025922042628111486,1.5437613425998904,1.4097378439307717,-0.13402349866911867
original_2025_2026,validation,3,full_schedule,level_ge_7m,original,28,28,0,26,26,0,0.16960676474370254,0.17053312448485594,0.0009263597411534041,0.0480847892416398,0.05278913967713853,0.00470435043549873,0.5556545652840782,0.5718399857851914,0.016185420501113157,0.6140799441250824,0.6316653597274993,0.017585415602416887
