horizon_h,subset,population,family,observed_targets,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
3,high,common,candidate,237,235,153,0.6510638297872341,0.4578688346789664,0.19459991897350262,1.0571619484759764,1.2903730168684469,2.7911014408745647
4,all,individual,reference,1941,1930,1569,0.8129533678756476,0.2995723727564162,0.019625429642427333,0.6660606934286432,1.2339447653547935,3.146640556692857
4,all,individual,candidate,1941,1930,1569,0.8129533678756476,0.29966437380809013,0.01949626805108363,0.665175476722143,1.2250803012334242,3.1739516226486284
4,all,common,reference,1941,1930,1569,0.8129533678756476,0.2995723727564162,0.019625429642427333,0.6660606934286432,1.2339447653547935,3.146640556692857
4,all,common,candidate,1941,1930,1569,0.8129533678756476,0.29966437380809013,0.01949626805108363,0.665175476722143,1.2250803012334242,3.1739516226486284
4,high,individual,reference,237,235,138,0.5872340425531914,0.5635638456977866,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
4,high,individual,candidate,237,235,138,0.5872340425531914,0.56500465910251,0.22918818386732548,1.3127289091232082,1.8803394903223931,3.1739516226486284
4,high,common,reference,237,235,138,0.5872340425531914,0.5635638456977866,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
4,high,common,candidate,237,235,138,0.5872340425531914,0.56500465910251,0.22918818386732548,1.3127289091232082,1.8803394903223931,3.1739516226486284
5,all,individual,reference,1940,1928,1519,0.7878630705394191,0.33217603391990747,0.02417924037647078,0.6984231882137162,1.4041430489720987,3.210054029360098
5,all,individual,candidate,1940,1928,1513,0.7847510373443983,0.3325866365441444,0.024021708568387985,0.6989031487864843,1.4015383566699717,3.2441410800847414
5,all,common,reference,1940,1928,1519,0.7878630705394191,0.33217603391990747,0.02417924037647078,0.6984231882137162,1.4041430489720987,3.210054029360098
5,all,common,candidate,1940,1928,1513,0.7847510373443983,0.3325866365441444,0.024021708568387985,0.6989031487864843,1.4015383566699717,3.2441410800847414
5,high,individual,reference,237,235,131,0.5574468085106383,0.6633782520447192,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
5,high,individual,candidate,237,235,128,0.5446808510638298,0.6658268285057396,0.2501597519118595,1.493462464600995,2.6837252542445755,3.2441410800847414
5,high,common,reference,237,235,131,0.5574468085106383,0.6633782520447192,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
5,high,common,candidate,237,235,128,0.5446808510638298,0.6658268285057396,0.2501597519118595,1.493462464600995,2.6837252542445755,3.2441410800847414
6,all,individual,reference,1939,1926,1458,0.7570093457943925,0.3640820566980719,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209
6,all,individual,candidate,1939,1926,1449,0.7523364485981309,0.36466074959698985,0.03276424987024221,0.7271340091326852,1.5257792767368388,4.174882639549711
6,all,common,reference,1939,1926,1458,0.7570093457943925,0.3640820566980719,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209
6,all,common,candidate,1939,1926,1449,0.7523364485981309,0.36466074959698985,0.03276424987024221,0.7271340091326852,1.5257792767368388,4.174882639549711
6,high,individual,reference,237,235,115,0.48936170212765956,0.7578530200612832,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
6,high,individual,candidate,237,235,114,0.4851063829787234,0.7606130489144375,0.2907316670003162,1.7163954534352053,3.032938932972899,4.174882639549711
6,high,common,reference,237,235,115,0.48936170212765956,0.7578530200612832,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
6,high,common,candidate,237,235,114,0.4851063829787234,0.7606130489144375,0.2907316670003162,1.7163954534352053,3.032938932972899,4.174882639549711
7,all,individual,reference,1938,1924,1403,0.7292099792099792,0.3982879939194406,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857
7,all,individual,candidate,1938,1924,1396,0.7255717255717256,0.39905980887664594,0.04077166234834485,0.7811284180571733,1.6512874897859384,4.8974675231259965
7,all,common,reference,1938,1924,1403,0.7292099792099792,0.3982879939194406,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857
7,all,common,candidate,1938,1924,1396,0.7255717255717256,0.39905980887664594,0.04077166234834485,0.7811284180571733,1.6512874897859384,4.8974675231259965
7,high,individual,reference,237,235,108,0.4595744680851064,0.8392207978107249,0.31202355904855916,1.8457393398682296,3.196858436638674,4.913469515100857
7,high,individual,candidate,237,235,105,0.44680851063829785,0.8430682617256717,0.3074694966617732,1.8415107728677569,3.2125276503821802,4.8974675231259965
7,high,common,reference,237,235,108,0.4595744680851064,0.8392207978107249,0.31202355904855916,1.8457393398682296,3.196858436638674,4.913469515100857
7,high,common,candidate,237,235,105,0.44680851063829785,0.8430682617256717,0.3074694966617732,1.8415107728677569,3.2125276503821802,4.8974675231259965
8,all,individual,reference,1937,1922,1324,0.6888657648283039,0.4321794697726589,0.04898294666960936,0.8510421647907126,1.7878753686603068,5.290344913970436
8,all,individual,candidate,1937,1922,1320,0.6867845993756504,0.4330974077193407,0.048666445500391,0.8539359411842601,1.7921039327358705,5.249907977479555
8,all,common,reference,1937,1922,1324,0.6888657648283039,0.4321794697726589,0.04898294666960936,0.8510421647907126,1.7878753686603068,5.290344913970436
8,all,common,candidate,1937,1922,1320,0.6867845993756504,0.4330974077193407,0.048666445500391,0.8539359411842601,1.7921039327358705,5.249907977479555
8,high,individual,reference,237,235,95,0.40425531914893614,0.921814234803545,0.31487374781112565,1.9641062787691015,3.9474171217206284,5.290344913970436
8,high,individual,candidate,237,235,95,0.40425531914893614,0.9262972027822113,0.30979615021148565,1.9606453571171674,3.967110136311488,5.249907977479555
8,high,common,reference,237,235,95,0.40425531914893614,0.921814234803545,0.31487374781112565,1.9641062787691015,3.9474171217206284,5.290344913970436
8,high,common,candidate,237,235,95,0.40425531914893614,0.9262972027822113,0.30979615021148565,1.9606453571171674,3.967110136311488,5.249907977479555
9,all,individual,reference,1936,1920,1281,0.6671875,0.4687230438096331,0.052348523595755876,0.9158260273911826,1.9023064949758315,6.286673602768847
