horizon_h,subset,component,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
9,all,anchor_curve_error_m,1919,1914,0.9973944762897342,0.0590130034538008,-0.00042244444973808955,0.11313552144407053,0.2580826856724968,0.8248871867430614
9,high,total_error_m,234,92,0.39316239316239315,1.0119747706676476,0.2984363225592411,2.098557128058702,4.557521415324678,6.286673602768847
9,high,flow_conversion_error_m,234,106,0.452991452991453,0.9114350487377549,0.26765510859256336,2.059912529623613,4.337387909439573,6.267946958081652
9,high,anchor_curve_error_m,234,229,0.9786324786324786,0.15590407449743227,0.03078121396667783,0.2703979560074077,0.4856646774164228,0.8248871867430614
10,all,total_error_m,1917,1241,0.6473656755346896,0.500080804946187,0.05629649325156833,0.9727686890487323,2.0308434827278465,7.189303791286582
10,all,flow_conversion_error_m,1917,1209,0.6306729264475743,0.501690154457974,0.056766241691035106,0.9842079143446583,1.8524851957560482,7.163552261438914
10,all,anchor_curve_error_m,1917,1910,0.9963484611371936,0.06217714668440016,-0.0004697484394667614,0.11796722413873983,0.2775574987369455,0.8543391566853726
10,high,total_error_m,234,88,0.37606837606837606,1.1297661358012352,0.2321462914490343,2.2792919482786647,5.234103694138602,7.189303791286582
10,high,flow_conversion_error_m,234,103,0.44017094017094016,1.02447055846776,0.19691858905687548,2.265734486511543,5.070351185959675,7.163552261438914
10,high,anchor_curve_error_m,234,227,0.9700854700854701,0.16987860823968431,0.035227702392158985,0.3020745952645202,0.5143319807532446,0.8543391566853726
11,all,total_error_m,1915,1214,0.6339425587467363,0.5297022205392351,0.059646676567351446,1.0360710349217777,2.1416761995516587,8.086268435347241
11,all,flow_conversion_error_m,1915,1187,0.6198433420365536,0.5305805266477541,0.06014026528583035,1.0336164751701158,2.0628645221422897,8.032066239160573
11,all,anchor_curve_error_m,1915,1907,0.995822454308094,0.06493361067235304,-0.000493588718478869,0.12346292327597358,0.29730797061279074,0.878965282296984
11,high,total_error_m,234,85,0.36324786324786323,1.2396239442802044,0.18305890575461625,2.41490408949286,5.660906074014564,8.086268435347241
11,high,flow_conversion_error_m,234,96,0.41025641025641024,1.13121832163331,0.1433741797135388,2.3771940325099963,5.449334547026146,8.032066239160573
11,high,anchor_curve_error_m,234,226,0.9658119658119658,0.18353599794126813,0.03968472604107769,0.329257393841429,0.5400673289644454,0.878965282296984
12,all,total_error_m,1913,1159,0.6058546785154209,0.5567647779652662,0.06254981764674876,1.1132304479176933,2.3635216172443383,9.038315647130192
12,all,flow_conversion_error_m,1913,1145,0.5985363303711448,0.5568972580684521,0.06305400191720635,1.0924395079358176,2.2420339986041475,9.034927156936984
12,all,anchor_curve_error_m,1913,1905,0.9958180867746994,0.06732676437872234,-0.0005041842704575958,0.13041796243269896,0.32283072002362107,0.8997365187738842
12,high,total_error_m,234,71,0.3034188034188034,1.3697087148747138,0.12369974789215067,2.8574574030907907,6.080506571953716,9.038315647130192
12,high,flow_conversion_error_m,234,81,0.34615384615384615,1.257479577062215,0.07968282641613315,2.7104629049457722,5.812953259796805,9.034927156936984
12,high,anchor_curve_error_m,234,226,0.9658119658119658,0.1966712589631125,0.04401692147601772,0.3550797121467059,0.5655256679625771,0.8997365187738842
