model,phase,lead_h_nominal,regime,n,hits,accuracy_percent,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m,invalid_pairs_in_model_horizon,goal_prospectively_verified
arvores,today,7.0,rising_at_least_015m_per_h,5,0,0.0,3.285198332253895,-3.285198332253895,3.8368039373821365,3.9485977071733034,3.976546149621095,0,False
arvores,today,7.0,falling_at_least_015m_per_h,0,0,,,,,,,0,False
arvores,today,8.0,all,7,0,0.0,2.8384292938265214,-2.8384292938265214,4.392110235274246,4.65380744492579,4.719231747338676,0,False
arvores,today,8.0,level_ge_7m,3,0,0.0,4.211699195737683,-4.211699195737683,4.6101912433172,4.69742364653438,4.719231747338676,0,False
arvores,today,8.0,rising_at_least_015m_per_h,5,0,0.0,3.5941899349913755,-3.5941899349913755,4.501150739295722,4.675615545730086,4.719231747338676,0,False
arvores,today,8.0,falling_at_least_015m_per_h,0,0,,,,,,,0,False
arvores,today,9.0,all,6,0,0.0,3.2583523449792673,-3.2583523449792673,4.600420288347372,4.881476362663916,4.951740381243051,0,False
arvores,today,9.0,level_ge_7m,3,0,0.0,4.299720326551672,-4.299720326551672,4.81121234408478,4.923634773811397,4.951740381243051,0,False
arvores,today,9.0,rising_at_least_015m_per_h,5,0,0.0,3.637329534979634,-3.637329534979634,4.670684306926509,4.895529166379743,4.951740381243051,0,False
arvores,today,9.0,falling_at_least_015m_per_h,0,0,,,,,,,0,False
arvores,today,10.0,all,5,0,0.0,3.576892510370702,-3.576892510370702,4.6173816221073105,4.886920487054433,4.954305203291214,0,False
arvores,today,10.0,level_ge_7m,3,0,0.0,4.223105324327548,-4.223105324327548,4.785843412699262,4.9206128451728235,4.954305203291214,0,False
arvores,today,10.0,rising_at_least_015m_per_h,5,0,0.0,3.576892510370702,-3.576892510370702,4.6173816221073105,4.886920487054433,4.954305203291214,0,False
arvores,today,10.0,falling_at_least_015m_per_h,0,0,,,,,,,0,False
arvores,today,11.0,all,4,0,0.0,3.817845382860675,-3.817845382860675,4.589974214213759,4.796138706034266,4.847679828989392,0,False
arvores,today,11.0,level_ge_7m,3,0,0.0,4.12520006133597,-4.12520006133597,4.675876085805637,4.813319080352641,4.847679828989392,0,False
arvores,today,11.0,rising_at_least_015m_per_h,4,0,0.0,3.817845382860675,-3.817845382860675,4.589974214213759,4.796138706034266,4.847679828989392,0,False
arvores,today,11.0,falling_at_least_015m_per_h,0,0,,,,,,,0,False
arvores,today,12.0,all,3,0,0.0,4.050475964238852,-4.050475964238852,4.549574104389186,4.664085015124181,4.69271274280793,0,False
arvores,today,12.0,level_ge_7m,3,0,0.0,4.050475964238852,-4.050475964238852,4.549574104389186,4.664085015124181,4.69271274280793,0,False
arvores,today,12.0,rising_at_least_015m_per_h,3,0,0.0,4.050475964238852,-4.050475964238852,4.549574104389186,4.664085015124181,4.69271274280793,0,False
arvores,today,12.0,falling_at_least_015m_per_h,0,0,,,,,,,0,False
arvores_previsao_chuva,test,1.0,all,1350,1350,100.0,0.029791323928759602,0.002058466601285711,0.0699061174727318,0.15647944256799237,0.44774013427252335,0,False
arvores_previsao_chuva,test,1.0,level_ge_7m,144,144,100.0,0.05463594345143696,0.00802028448620987,0.10810619811753014,0.2547371980066354,0.37706467716389014,0,False
arvores_previsao_chuva,test,1.0,rising_at_least_015m_per_h,212,212,100.0,0.072223369116816,-0.01033730930188971,0.15528809364721893,0.253967358914823,0.44774013427252335,0,False
arvores_previsao_chuva,test,1.0,falling_at_least_015m_per_h,240,240,100.0,0.030583971160587375,0.014808652150533909,0.058540734616946644,0.0981786543631493,0.14988820358428168,0,False
arvores_previsao_chuva,test,2.0,all,1348,1343,99.62908011869436,0.05301901621329195,0.006223109267251987,0.12219541985217787,0.2986283450002032,0.6299341379719694,0,False
arvores_previsao_chuva,test,2.0,level_ge_7m,143,142,99.3006993006993,0.09135530716119508,-0.001391679745739206,0.25045708185826776,0.4514353401970299,0.5017941799879377,0,False
