plant,time,field,earlier_m,later_m,delta_m,earlier_collected_at,later_collected_at
JIUHQJ,2026-09-20T09:00:00-03:00,val_nivelmontante,104.19,104.19,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T09:00:00-03:00,val_niveljusante,70.0,70.0,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T08:00:00-03:00,val_nivelmontante,104.0,104.0,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T08:00:00-03:00,val_niveljusante,70.91,70.91,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T07:00:00-03:00,val_nivelmontante,103.99,103.99,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T07:00:00-03:00,val_niveljusante,70.97,70.97,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T06:00:00-03:00,val_nivelmontante,104.0,104.0,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T06:00:00-03:00,val_niveljusante,70.97,70.97,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T05:00:00-03:00,val_nivelmontante,104.04,104.04,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T05:00:00-03:00,val_niveljusante,71.04,71.04,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T04:00:00-03:00,val_nivelmontante,104.06,104.06,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T04:00:00-03:00,val_niveljusante,71.03,71.03,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T03:00:00-03:00,val_nivelmontante,104.09,104.09,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T03:00:00-03:00,val_niveljusante,71.04,71.04,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T02:00:00-03:00,val_nivelmontante,104.12,104.12,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T02:00:00-03:00,val_niveljusante,71.05,71.05,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T01:00:00-03:00,val_nivelmontante,104.17,104.17,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T01:00:00-03:00,val_niveljusante,71.07,71.07,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T00:00:00-03:00,val_nivelmontante,104.21,104.21,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-20T00:00:00-03:00,val_niveljusante,71.13,71.13,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-19T23:00:00-03:00,val_nivelmontante,104.26,104.26,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-19T23:00:00-03:00,val_niveljusante,71.18,71.18,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-19T22:00:00-03:00,val_nivelmontante,104.31,104.31,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-19T22:00:00-03:00,val_niveljusante,71.21,71.21,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-19T21:00:00-03:00,val_nivelmontante,104.36,104.36,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHQJ,2026-09-19T21:00:00-03:00,val_niveljusante,71.25,71.25,0.0,2026-09-21T18:00:26.047397-03:00,2026-09-21T21:00:28.289587-03:00
JIUHMC,2026-09-21T17:00:00-03:00,val_nivelmontante,152.18,152.18,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T17:00:00-03:00,val_niveljusante,115.88,115.88,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T16:00:00-03:00,val_nivelmontante,152.1,152.1,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T16:00:00-03:00,val_niveljusante,115.2,115.2,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T15:00:00-03:00,val_nivelmontante,151.97,151.97,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T15:00:00-03:00,val_niveljusante,114.23,114.23,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T14:00:00-03:00,val_nivelmontante,151.5,151.5,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T14:00:00-03:00,val_niveljusante,113.16,113.16,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T13:00:00-03:00,val_nivelmontante,150.74,150.74,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T13:00:00-03:00,val_niveljusante,111.85,111.85,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T12:00:00-03:00,val_nivelmontante,149.96,149.96,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T12:00:00-03:00,val_niveljusante,112.19,112.19,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T11:00:00-03:00,val_nivelmontante,149.87,149.87,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T11:00:00-03:00,val_niveljusante,111.31,111.31,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T10:00:00-03:00,val_nivelmontante,150.16,150.16,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T10:00:00-03:00,val_niveljusante,108.88,108.88,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T09:00:00-03:00,val_nivelmontante,149.41,149.41,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T09:00:00-03:00,val_niveljusante,107.73,107.73,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T08:00:00-03:00,val_nivelmontante,148.79,148.79,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T08:00:00-03:00,val_niveljusante,106.79,106.79,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T07:00:00-03:00,val_nivelmontante,148.77,148.77,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T07:00:00-03:00,val_niveljusante,106.7,106.7,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T06:00:00-03:00,val_nivelmontante,148.76,148.76,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T06:00:00-03:00,val_niveljusante,106.7,106.7,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T05:00:00-03:00,val_nivelmontante,148.76,148.76,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T05:00:00-03:00,val_niveljusante,106.65,106.65,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T04:00:00-03:00,val_nivelmontante,148.76,148.76,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T04:00:00-03:00,val_niveljusante,106.62,106.62,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T03:00:00-03:00,val_nivelmontante,148.74,148.74,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T03:00:00-03:00,val_niveljusante,106.6,106.6,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T02:00:00-03:00,val_nivelmontante,148.74,148.74,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T02:00:00-03:00,val_niveljusante,106.6,106.6,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T01:00:00-03:00,val_nivelmontante,148.73,148.73,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
JIUHMC,2026-09-21T01:00:00-03:00,val_niveljusante,106.6,106.6,0.0,2026-09-21T18:00:26.244047-03:00,2026-09-21T21:00:28.332699-03:00
