phase,profile,horizon_h,family,subset,partition,category,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,observed_hit_fraction,sum_abs_error_m,sum_error_m,mae_m,bias_m,max_abs_m,under_by_more_than_0_5m,over_by_more_than_0_5m
test,A,1,profile_B_control,level_ge_7m,future_response,falling,7,0,7,7,0,6,0.8571428571428571,1.7510040058052052,1.7510040058052052,0.2501434294007436,0.2501434294007436,0.58702863265707,0,1
test,A,1,profile_B_control,level_ge_7m,future_response,stable,205,0,205,205,0,205,1.0,9.578125002748699,-1.1459028493878822,0.046722560989018044,-0.0055897699970140595,0.4303116973062888,0,0
test,A,1,profile_B_control,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,1,profile_B_control,level_ge_7m,training_response_support,below,5,0,5,5,0,4,0.8,1.525511440590039,1.525511440590039,0.30510228811800777,0.30510228811800777,0.58702863265707,0,1
test,A,1,profile_B_control,level_ge_7m,training_response_support,within,227,0,227,227,0,226,0.9955947136563876,13.518468814999547,1.0139071851250918,0.059552726057266726,0.0044665514763219906,0.7482704472415058,1,0
test,A,1,profile_B_control,level_ge_7m,training_response_support,above,4,0,4,4,0,1,0.25,3.2682779941971223,-3.2682779941971223,0.8170694985492806,-0.8170694985492806,1.1376505785463262,3,0
test,A,1,profile_B_control,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,1,mixed_profile_candidate,level_ge_7m,known_trend,rising,65,0,65,65,0,61,0.9384615384615385,10.174139394957773,1.2702298113843442,0.15652522146088882,0.01954199709822068,1.141419228155974,3,1
test,A,1,mixed_profile_candidate,level_ge_7m,known_trend,falling,91,3,88,88,0,88,1.0,5.0783922102746155,1.156078464954411,0.05770900238948427,0.013137255283572851,0.3726450067594218,0,0
test,A,1,mixed_profile_candidate,level_ge_7m,known_trend,stable,84,2,82,82,0,81,0.9878048780487805,2.740152338122064,-1.063054360424088,0.03341649192831785,-0.012964077566147416,0.6743964677331249,1,0
test,A,1,mixed_profile_candidate,level_ge_7m,known_trend,unknown,20,18,2,1,1,1,0.5,0.004371738564842076,-0.004371738564842076,0.004371738564842076,-0.004371738564842076,0.004371738564842076,0,0
test,A,1,mixed_profile_candidate,level_ge_7m,future_response,rising,24,0,24,24,0,20,0.8333333333333334,6.464058124065441,-2.225610302720873,0.2693357551693934,-0.0927337626133697,1.141419228155974,4,0
test,A,1,mixed_profile_candidate,level_ge_7m,future_response,falling,7,0,7,7,0,6,0.8571428571428571,2.162100477322012,2.162100477322012,0.3088714967602874,0.3088714967602874,0.6311255941412881,0,1
test,A,1,mixed_profile_candidate,level_ge_7m,future_response,stable,205,0,205,205,0,205,1.0,9.37089708053184,1.422392002748686,0.04571169307576507,0.006938497574383834,0.3813849950539048,0,0
test,A,1,mixed_profile_candidate,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,1,mixed_profile_candidate,level_ge_7m,training_response_support,below,6,0,6,6,0,5,0.8333333333333334,2.007207580492027,2.007207580492027,0.3345345967486712,0.3345345967486712,0.6311255941412881,0,1
test,A,1,mixed_profile_candidate,level_ge_7m,training_response_support,within,226,0,226,226,0,225,0.995575221238938,12.685059799528716,2.6564628987563497,0.05612858318375538,0.01175426061396615,0.6743964677331249,1,0
test,A,1,mixed_profile_candidate,level_ge_7m,training_response_support,above,4,0,4,4,0,1,0.25,3.3047883018985518,-3.3047883018985518,0.8261970754746379,-0.8261970754746379,1.141419228155974,3,0
test,A,1,mixed_profile_candidate,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,1,age_mixed_candidate,level_ge_7m,known_trend,rising,65,0,65,65,0,61,0.9384615384615385,10.278897456814757,0.6740003784640418,0.15813688395099626,0.01036923659175449,1.1694974274009189,3,1
test,A,1,age_mixed_candidate,level_ge_7m,known_trend,falling,91,3,88,88,0,88,1.0,5.425150177420183,2.247658128521379,0.06164943383432026,0.025541569642288396,0.387247074477191,0,0
test,A,1,age_mixed_candidate,level_ge_7m,known_trend,stable,84,2,82,82,0,81,0.9878048780487805,2.4802168002669527,-0.8386744840599887,0.030246546344718937,-0.010227737610487666,0.6717281477853376,1,0
test,A,1,age_mixed_candidate,level_ge_7m,known_trend,unknown,20,18,2,1,1,1,0.5,0.012151619538386171,0.012151619538386171,0.012151619538386171,0.012151619538386171,0.012151619538386171,0,0
test,A,1,age_mixed_candidate,level_ge_7m,future_response,rising,24,0,24,24,0,20,0.8333333333333334,6.743569930330246,-2.5105002529234692,0.2809820804304269,-0.10460417720514455,1.1694974274009189,4,0
test,A,1,age_mixed_candidate,level_ge_7m,future_response,falling,7,0,7,7,0,6,0.8571428571428571,2.2617571458615195,2.2617571458615195,0.3231081636945028,0.3231081636945028,0.6414190757841851,0,1
test,A,1,age_mixed_candidate,level_ge_7m,future_response,stable,205,0,205,205,0,205,1.0,9.191088977848514,2.343878749525768,0.04483458037974885,0.011433554875735453,0.37194065122076125,0,0
test,A,1,age_mixed_candidate,level_ge_7m,future_response,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,1,age_mixed_candidate,level_ge_7m,training_response_support,below,6,0,6,6,0,5,0.8333333333333334,2.0893051144556054,2.0893051144556054,0.34821751907593423,0.34821751907593423,0.6414190757841851,0,1
test,A,1,age_mixed_candidate,level_ge_7m,training_response_support,within,226,0,226,226,0,225,0.995575221238938,12.699811415937905,3.4131300516549805,0.05619385582273409,0.015102345361305223,0.6717281477853376,1,0
test,A,1,age_mixed_candidate,level_ge_7m,training_response_support,above,4,0,4,4,0,1,0.25,3.407299523646768,-3.407299523646768,0.851824880911692,-0.851824880911692,1.1694974274009189,3,0
test,A,1,age_mixed_candidate,level_ge_7m,training_response_support,unknown,24,23,1,0,1,0,0.0,0.0,0.0,,,,0,0
test,A,2,profile_A_control,all,known_trend,rising,338,0,338,338,0,326,0.9644970414201184,42.11042420490208,-21.090246426155353,0.12458705386065705,-0.062397178775607555,2.430986906354253,10,2
test,A,2,profile_A_control,all,known_trend,falling,469,4,465,465,0,461,0.9913978494623656,34.54458226537005,23.43807672825566,0.07428942422660227,0.050404466082270234,0.6439704232183767,0,4
test,A,2,profile_A_control,all,known_trend,stable,1131,3,1128,1128,0,1123,0.9955673758865248,48.25517428793693,5.007972927092169,0.04277940982973132,0.004439692311251923,0.7545024542619916,2,3
test,A,2,profile_A_control,all,known_trend,unknown,28,16,12,5,7,5,0.4166666666666667,0.3681577470667401,0.23780278721711046,0.07363154941334801,0.047560557443422094,0.22522117838088374,0,0
test,A,2,profile_A_control,all,future_response,rising,209,0,209,209,0,196,0.937799043062201,38.85426040777922,-19.204020648307665,0.1859055521903312,-0.09188526625984529,2.430986906354253,12,1
test,A,2,profile_A_control,all,future_response,falling,82,0,82,82,0,78,0.9512195121951219,8.67562394188285,8.217518853412978,0.1058002919741811,0.1002136445538168,0.6097200913433944,0,4
test,A,2,profile_A_control,all,future_response,stable,1645,0,1645,1645,0,1641,0.9975683890577508,77.74845415561373,18.580107811304273,0.047263497966938434,0.011294898365534514,0.714787136070745,0,4
test,A,2,profile_A_control,all,future_response,unknown,30,23,7,0,7,0,0.0,0.0,0.0,,,,0,0
test,A,2,profile_A_control,all,training_response_support,below,8,0,8,8,0,4,0.5,3.7824922737290922,3.7824922737290922,0.47281153421613653,0.47281153421613653,0.6097200913433944,0,4
test,A,2,profile_A_control,all,training_response_support,within,1921,0,1921,1921,0,1909,0.9937532535137948,112.29157156321457,13.015388411012633,0.05845474834107994,0.006775319318590647,0.7545024542619916,7,5
test,A,2,profile_A_control,all,training_response_support,above,7,0,7,7,0,2,0.2857142857142857,9.20427466833214,-9.20427466833214,1.3148963811903056,-1.3148963811903056,2.430986906354253,5,0
test,A,2,profile_A_control,all,training_response_support,unknown,30,23,7,0,7,0,0.0,0.0,0.0,,,,0,0
test,A,2,profile_B_control,all,known_trend,rising,338,0,338,338,0,324,0.9585798816568047,58.19997110215408,-33.4188485846371,0.17218926361584047,-0.09887233309064229,2.3364175247165386,12,2
test,A,2,profile_B_control,all,known_trend,falling,469,4,465,465,0,441,0.9483870967741935,66.82304547166868,52.36816443633562,0.1437054741326208,0.11261970846523789,1.2011523318069692,0,24
test,A,2,profile_B_control,all,known_trend,stable,1131,3,1128,1128,0,1095,0.9707446808510638,95.27047857851741,5.242742488182718,0.08445964412989132,0.004647821354771913,1.2385896276023336,0,33
test,A,2,profile_B_control,all,known_trend,unknown,28,16,12,5,7,5,0.4166666666666667,0.5268412403024949,0.05204801637972478,0.10536824806049898,0.010409603275944956,0.23735188577916055,0,0
test,A,2,profile_B_control,all,future_response,rising,209,0,209,209,0,186,0.8899521531100478,53.88047826723335,-15.254061517784905,0.25780133142216916,-0.0729859402764828,2.3364175247165386,12,11
test,A,2,profile_B_control,all,future_response,falling,82,0,82,82,0,79,0.9634146341463414,8.639627817494087,5.759993534419061,0.10536131484748887,0.07024382359047635,0.6840417119500408,0,3
test,A,2,profile_B_control,all,future_response,stable,1645,0,1645,1645,0,1600,0.9726443768996961,158.30023030791523,33.73817433962681,0.09623114304432537,0.02050952847393727,1.2385896276023336,0,45
test,A,2,profile_B_control,all,future_response,unknown,30,23,7,0,7,0,0.0,0.0,0.0,,,,0,0
test,A,2,profile_B_control,all,training_response_support,below,7,0,7,7,0,4,0.5714285714285714,3.3143014633905175,3.3143014633905175,0.4734716376272168,0.4734716376272168,0.6840417119500408,0,3
test,A,2,profile_B_control,all,training_response_support,within,1924,0,1924,1924,0,1861,0.9672557172557172,209.51538059342317,28.92045922869943,0.10889572795915965,0.015031423715540244,1.2385896276023336,7,56
test,A,2,profile_B_control,all,training_response_support,above,5,0,5,5,0,0,0.0,7.9906543358289825,-7.9906543358289825,1.5981308671657966,-1.5981308671657966,2.3364175247165386,5,0
test,A,2,profile_B_control,all,training_response_support,unknown,30,23,7,0,7,0,0.0,0.0,0.0,,,,0,0
test,A,2,mixed_profile_candidate,all,known_trend,rising,338,0,338,338,0,328,0.9704142011834319,46.42933464362911,-21.06869790743756,0.1373648953953524,-0.06233342576164959,2.35798379080882,8,2
test,A,2,mixed_profile_candidate,all,known_trend,falling,469,4,465,465,0,451,0.9698924731182795,49.892919796664444,35.279430309861596,0.10729660171325686,0.07586974260185289,0.9929772418768914,0,14
test,A,2,mixed_profile_candidate,all,known_trend,stable,1131,3,1128,1128,0,1111,0.9849290780141844,72.75122321327629,7.680920649937118,0.06449576525999672,0.00680932681732014,0.8408490098465762,0,17
test,A,2,mixed_profile_candidate,all,known_trend,unknown,28,16,12,5,7,5,0.4166666666666667,0.3791696283775501,0.16148185768155976,0.07583392567551002,0.03229637153631195,0.16683750274222442,0,0
test,A,2,mixed_profile_candidate,all,future_response,rising,209,0,209,209,0,198,0.9473684210526315,43.38275125466183,-11.367075568616999,0.20757297251034368,-0.054387921380942575,2.35798379080882,8,3
test,A,2,mixed_profile_candidate,all,future_response,falling,82,0,82,82,0,78,0.9512195121951219,8.790478388778496,6.792721325451989,0.10720095596071337,0.08283806494453645,0.7400761767872694,0,4
test,A,2,mixed_profile_candidate,all,future_response,stable,1645,0,1645,1645,0,1619,0.98419452887538,117.27941763850704,26.627489153207723,0.07129447880760306,0.016186923497390714,0.9929772418768914,0,26
test,A,2,mixed_profile_candidate,all,future_response,unknown,30,23,7,0,7,0,0.0,0.0,0.0,,,,0,0
test,A,2,mixed_profile_candidate,all,training_response_support,below,7,0,7,7,0,3,0.42857142857142855,3.639941007148666,3.639941007148666,0.5199915724498094,0.5199915724498094,0.7400761767872694,0,4
test,A,2,mixed_profile_candidate,all,training_response_support,within,1924,0,1924,1924,0,1892,0.9833679833679834,157.71867336673557,26.507226810957196,0.08197436245672327,0.013777144912139914,0.9929772418768914,3,29
test,A,2,mixed_profile_candidate,all,training_response_support,above,5,0,5,5,0,0,0.0,8.094032908063149,-8.094032908063149,1.6188065816126298,-1.6188065816126298,2.35798379080882,5,0
test,A,2,mixed_profile_candidate,all,training_response_support,unknown,30,23,7,0,7,0,0.0,0.0,0.0,,,,0,0
test,A,2,age_mixed_candidate,all,known_trend,rising,338,0,338,338,0,329,0.9733727810650887,42.207287162452126,-15.861996764331664,0.12487363065814239,-0.046928984509857,2.346097569851504,8,1
test,A,2,age_mixed_candidate,all,known_trend,falling,469,4,465,465,0,453,0.9741935483870968,42.21449217179429,31.374226913783758,0.09078385413289095,0.06747145572856722,0.8166591416371498,0,12
test,A,2,age_mixed_candidate,all,known_trend,stable,1131,3,1128,1128,0,1115,0.9884751773049646,56.03130772052248,9.95178620940005,0.04967314514230716,0.008822505504787278,0.8475726938837169,2,11
test,A,2,age_mixed_candidate,all,known_trend,unknown,28,16,12,5,7,5,0.4166666666666667,0.44537010359406404,0.23597455823348268,0.0890740207188128,0.047194911646696536,0.1728913804670822,0,0
test,A,2,age_mixed_candidate,all,future_response,rising,209,0,209,209,0,198,0.9473684210526315,39.31377175720281,-14.066586580084108,0.18810417108709476,-0.0673042420099718,2.346097569851504,10,1
test,A,2,age_mixed_candidate,all,future_response,falling,82,0,82,82,0,78,0.9512195121951219,9.989966057191953,9.469450181178878,0.12182885435599942,0.11548109977047412,0.759941248005088,0,4
test,A,2,age_mixed_candidate,all,future_response,stable,1645,0,1645,1645,0,1626,0.9884498480243161,91.5947193439682,30.297127315990856,0.0556806804522603,0.018417706575070428,0.8475726938837169,0,19
test,A,2,age_mixed_candidate,all,future_response,unknown,30,23,7,0,7,0,0.0,0.0,0.0,,,,0,0
test,A,2,age_mixed_candidate,all,training_response_support,below,7,0,7,7,0,3,0.42857142857142855,3.8029604333737836,3.8029604333737836,0.5432800619105406,0.5432800619105406,0.759941248005088,0,4
test,A,2,age_mixed_candidate,all,training_response_support,within,1924,0,1924,1924,0,1899,0.987006237006237,129.05008081814955,29.942446390551446,0.0670738465790798,0.015562602074091188,0.8475726938837169,5,20
test,A,2,age_mixed_candidate,all,training_response_support,above,5,0,5,5,0,0,0.0,8.045415906839606,-8.045415906839606,1.6090831813679212,-1.6090831813679212,2.346097569851504,5,0
