h,model,forecast_m,origin,time,validation_score,correction_m
4,integrado,10.887758059576916,2026-09-21T12:45:00-03:00,2026-09-21T16:45:00-03:00,0.15383660231136786,0.0
4,integrado_assimilado,11.270692354728505,2026-09-21T12:45:00-03:00,2026-09-21T16:45:00-03:00,0.15383660231136786,0.3829342951515888
4,barragens_chuva,10.156098138817503,2026-09-21T12:45:00-03:00,2026-09-21T16:45:00-03:00,0.14575807792881929,0.0
4,barragens_chuva_assimilado,10.567047911160735,2026-09-21T12:45:00-03:00,2026-09-21T16:45:00-03:00,0.14575807792881929,0.4109497723432319
5,nivel_montante,9.451305615025094,2026-09-21T12:45:00-03:00,2026-09-21T17:45:00-03:00,0.21026730668305652,0.0
5,nivel_montante_assimilado,10.900913607009324,2026-09-21T12:45:00-03:00,2026-09-21T17:45:00-03:00,0.21026730668305652,1.4496079919842295
5,nivel_barragens,9.728065303292855,2026-09-21T12:45:00-03:00,2026-09-21T17:45:00-03:00,0.20489830665170297,0.0
5,nivel_barragens_assimilado,11.19768906977474,2026-09-21T12:45:00-03:00,2026-09-21T17:45:00-03:00,0.20489830665170297,1.4696237664818845
5,integrado,11.106810999185289,2026-09-21T12:45:00-03:00,2026-09-21T17:45:00-03:00,0.16526791741389868,0.0
5,integrado_assimilado,12.274153266702747,2026-09-21T12:45:00-03:00,2026-09-21T17:45:00-03:00,0.16526791741389868,1.1673422675174578
5,barragens_chuva,10.477237952699985,2026-09-21T12:45:00-03:00,2026-09-21T17:45:00-03:00,0.16766802468064806,0.0
5,barragens_chuva_assimilado,11.654708735093234,2026-09-21T12:45:00-03:00,2026-09-21T17:45:00-03:00,0.16766802468064806,1.1774707823932484
6,nivel_montante,9.590800950550522,2026-09-21T12:45:00-03:00,2026-09-21T18:45:00-03:00,0.27629446755265596,0.0
6,nivel_montante_assimilado,11.185825058252869,2026-09-21T12:45:00-03:00,2026-09-21T18:45:00-03:00,0.27629446755265596,1.5950241077023473
6,nivel_barragens,10.182176888043692,2026-09-21T12:45:00-03:00,2026-09-21T18:45:00-03:00,0.2718907591206988,0.0
6,nivel_barragens_assimilado,11.780405683135783,2026-09-21T12:45:00-03:00,2026-09-21T18:45:00-03:00,0.2718907591206988,1.59822879509209
6,integrado,11.162509871308117,2026-09-21T12:45:00-03:00,2026-09-21T18:45:00-03:00,0.21924584788124402,0.0
6,integrado_assimilado,12.551237966964358,2026-09-21T12:45:00-03:00,2026-09-21T18:45:00-03:00,0.21924584788124402,1.38872809565624
6,barragens_chuva,11.032507674718346,2026-09-21T12:45:00-03:00,2026-09-21T18:45:00-03:00,0.22325986506831996,0.0
6,barragens_chuva_assimilado,12.441521140601411,2026-09-21T12:45:00-03:00,2026-09-21T18:45:00-03:00,0.22325986506831996,1.4090134658830653
