h,model,origin,time,forecast_m,raw_forecast_m,assimilation_m,gain,validation_score,lower_error_envelope_m,upper_error_envelope_m,historical_similar_n,recent_completed_n,historical_mae_m,historical_rising_mae_m,historical_high_mae_m
2,propagacao_distribuida,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,9.4278833670502,9.4278833670502,-0.0,0.0,0.27507864659530057,7.667933548787782,10.136863033365811,283,12,0.07157225869091272,0.23223975379828046,0.14224007794955384
2,propagacao_previsao_chuva,2026-09-21T13:00:00-03:00,2026-09-21T15:00:00-03:00,9.420270342309617,9.420270342309617,-0.0,0.0,0.2828747797459905,7.729434827396136,10.170258926494473,283,12,0.07224198993294971,0.2342283386736675,0.14165605939463663
3,nivel_montante,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,8.76707841147067,8.76707841147067,0.0,0.0,0.2627448999407011,8.46248943138162,10.602153252577018,294,11,0.09302166474331933,0.25217476344457934,0.19914675130099466
3,nivel_barragens,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,9.376297194424849,9.376297194424849,0.0,0.0,0.22010208845376666,9.04228588127852,11.180255286309823,306,11,0.09224755062177244,0.17746598602102287,0.18653724887406867
3,barragens_chuva,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,9.737557075882236,9.737557075882236,-0.0,0.0,0.31184782947780193,8.341231557981398,10.897012626509568,279,11,0.08566458880283584,0.24263324952411916,0.22062145581611073
3,integrado,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,9.885299156812309,9.885299156812309,-0.0,0.0,0.3093657935380448,8.47594301846186,11.043638464046754,275,11,0.08749019776301993,0.24122238020028036,0.21999981421071776
3,propagacao_distribuida,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,10.574831289549111,10.574831289549111,-0.0,0.0,0.30028536803027306,8.93284314561871,11.721913212326713,277,11,0.09945595659700819,0.18635888463167222,0.23812637446652413
3,propagacao_previsao_chuva,2026-09-21T13:00:00-03:00,2026-09-21T16:00:00-03:00,9.96115446812741,9.96115446812741,-0.0,0.0,0.30976401512121166,8.66487397227204,11.16759110155968,277,11,0.09068501519300731,0.2274167598447956,0.22819202144803577
4,nivel_montante,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,9.103942962109421,9.103942962109421,0.0,0.0,0.2793992840955579,8.739760176914018,11.383982600308075,281,10,0.11983328471033233,0.28100940686077525,0.26153339825573674
4,nivel_barragens,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,9.437542657484558,9.437542657484558,0.0,0.0,0.23306098125598324,9.044091796543894,11.793098526351114,283,10,0.11908172705857575,0.2612705539216107,0.28327789857516145
4,barragens_chuva,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,10.93645497707022,10.891498413846474,0.04495656322374527,0.5,0.33736460295139653,10.378779877945865,12.977869699192158,282,10,0.1279321512752216,0.29412530272051723,0.39492671341877417
4,integrado,2026-09-21T13:00:00-03:00,2026-09-21T17:00:00-03:00,10.932477925316446,10.932477925316446,0.0,0.0,0.3342365029682607,10.44089116757375,12.977919676832942,281,10,0.11097299239611629,0.24032648741373924,0.31461519200921656
