mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,model,h,validation_score,alpha,weighted,gain,train_n,validation_n,rapid_rise_n,rapid_rise_mae_m,high_water_n,high_water_mae_m
0.07157225869091272,0.10058123628437943,-0.026794888455182946,0.14478534186022138,0.5760159360877068,1362,propagacao_distribuida,2,0.27507864659530057,10.0,False,0.0,3765,6052,25,0.23223975379828046,72,0.14224007794955384
0.07224198993294971,0.10092787912790187,-0.027690799453037953,0.1454725863439712,0.5477912418861628,1362,propagacao_previsao_chuva,2,0.2828747797459905,10.0,False,0.0,3765,6052,25,0.2342283386736675,72,0.14165605939463663
0.09302166474331933,0.14306079149939388,-0.012318419085246557,0.21690166153122473,1.0702159300122531,1360,nivel_montante,3,0.2627448999407011,10.0,False,0.0,3762,6050,67,0.25217476344457934,71,0.19914675130099466
0.09224755062177244,0.13489752484712522,0.003066778543926918,0.20356568541135078,0.8938714262508398,1360,nivel_barragens,3,0.22010208845376666,10.0,True,0.0,3762,6050,67,0.17746598602102287,71,0.18653724887406867
0.08566458880283584,0.13344356248599074,-0.012215649279068218,0.18537708170053774,0.9488718697432965,1360,barragens_chuva,3,0.31184782947780193,100.0,False,0.0,3762,6050,67,0.24263324952411916,71,0.22062145581611073
0.08749019776301993,0.1348269261177365,-0.014529130020152345,0.19560318088621342,0.9952417753085232,1360,integrado,3,0.3093657935380448,100.0,False,0.0,3762,6050,67,0.24122238020028036,71,0.21999981421071776
0.09945595659700819,0.14015371558264736,-0.03868649062295416,0.19957747346175156,0.9719041465819664,1360,propagacao_distribuida,3,0.30028536803027306,10.0,False,0.0,3762,6050,67,0.18635888463167222,71,0.23812637446652413
0.09068501519300731,0.13567246674938374,-0.023366573790518087,0.19639267220169643,0.9862464012163006,1360,propagacao_previsao_chuva,3,0.30976401512121166,100.0,False,0.0,3762,6050,67,0.2274167598447956,71,0.22819202144803577
0.11983328471033233,0.1865735294173048,-0.013985254083392492,0.2459617168103696,1.5717854118276815,1359,nivel_montante,4,0.2793992840955579,10.0,False,0.0,3759,6048,108,0.28100940686077525,70,0.26153339825573674
0.11908172705857575,0.17449677752141637,-0.02553120295380653,0.24581900533950315,1.2005169190086278,1359,nivel_barragens,4,0.23306098125598324,10.0,False,0.0,3759,6048,108,0.2612705539216107,70,0.28327789857516145
0.1279321512752216,0.2090635492405146,-0.0119783012200316,0.2665256759777053,1.83823812820415,1359,barragens_chuva,4,0.33736460295139653,10.0,False,0.5,3759,6048,108,0.29412530272051723,70,0.39492671341877417
0.11097299239611629,0.17580809794082608,-0.02151257334668411,0.22056565928566593,1.4726017751507356,1359,integrado,4,0.3342365029682607,10.0,False,0.0,3759,6048,108,0.24032648741373924,70,0.31461519200921656
0.11615878554192123,0.1779455457386919,-0.03311550368064276,0.23379399451398164,1.481682999498993,1359,propagacao_distribuida,4,0.33203019623839664,10.0,False,0.0,3759,6048,108,0.23528724609115062,70,0.3200941621056436
0.11720513658951306,0.17820440568801094,-0.03529656800206249,0.2385789570196812,1.425890118633827,1359,propagacao_previsao_chuva,4,0.34685581490062933,10.0,False,0.0,3759,6048,108,0.23753292062138368,70,0.31906817271580534
0.15940580598713533,0.24998879674064606,-0.012392100680331091,0.3286828312080744,2.0855974888682756,1358,nivel_montante,5,0.3118206713450863,10.0,False,0.0,3757,6048,147,0.36609153391615945,70,0.363959248904006
0.14906163136121423,0.2281417686474015,-0.013055529210797456,0.32216922479733356,1.5646341685906187,1358,nivel_barragens,5,0.26420326113642306,10.0,False,0.0,3757,6048,147,0.3275571246857294,70,0.39412418681407235
0.15625611181642965,0.2597446088937857,-0.0058309291385448495,0.31532576450602806,2.4805325619296426,1358,barragens_chuva,5,0.3625520140576949,10.0,False,0.5,3757,6048,147,0.34934595357586085,70,0.4912747159463953
0.13654998616396813,0.22883527382616212,0.005286588279352567,0.28230111682223824,1.99279875478857,1358,integrado,5,0.3558910441865356,10.0,False,0.0,3757,6048,147,0.31330317645772043,70,0.42270598361061346
0.14177848862537168,0.23580876499968556,-0.0048971958347612185,0.2914811374671469,2.214562348260351,1358,propagacao_distribuida,5,0.35601577512873644,10.0,False,0.25,3757,6048,147,0.32266495099854237,70,0.3993144242658294
0.1416979688777976,0.23487112998784412,-0.007091629893911721,0.289841974258706,2.1308987733910065,1358,propagacao_previsao_chuva,5,0.3660376440473928,10.0,False,0.25,3757,6048,147,0.3262659940506668,70,0.3938898472450355
0.21484260988107237,0.33023787689415995,-0.010524373103265561,0.4716064397892773,2.7322319372716333,1357,nivel_montante,6,0.3467337542804483,10.0,False,0.0,3756,6048,172,0.45333234596167515,70,0.4980554676467954
0.19334262247400955,0.29361640010974893,0.009378760159599894,0.4376193974401099,1.7648962735092146,1357,nivel_barragens,6,0.3291198558727392,10.0,False,0.0,3756,6048,172,0.39357695276817983,70,0.5335701696948623
0.18330301375941233,0.2981742837587322,0.008363246116914639,0.4054999957861169,2.791600640260736,1357,barragens_chuva,6,0.4433373700401356,10.0,False,0.25,3756,6048,172,0.38486612290551037,70,0.5196317665828597
0.17845285463305177,0.29427141067845486,0.04563378015972894,0.39664730516877816,2.760801387726076,1357,integrado,6,0.39185459531458,10.0,False,0.0,3756,6048,172,0.3679346400185522,70,0.554974494695179
0.17958510389805343,0.2931190000534312,0.03684222345384594,0.4046830779125093,2.668840996449049,1357,propagacao_distribuida,6,0.4087508229519207,10.0,False,0.0,3756,6048,172,0.36295935744314567,70,0.5681328288502522
0.1779374582633863,0.29029326017307583,0.03341756818372581,0.3975831677642098,2.674656530642583,1357,propagacao_previsao_chuva,6,0.4139304824678566,10.0,False,0.0,3756,6048,172,0.36882485534759657,70,0.5474363905859316
