phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,9,level_ge_7m,full_schedule,native_control,6543,28,28,0,17,0.6071428571428571,0.6071428571428571,0.6095633629892163,0.45822141749499146,2.059747594337603,2.1405087524778477
validation,9,level_ge_7m,full_schedule,augmented,6543,28,28,0,9,0.32142857142857145,0.32142857142857145,0.936392368734251,0.7999616794588215,2.6755177490371995,2.7928309988350986
validation,9,level_ge_7m,complete24,native_control,5912,28,28,0,17,0.6071428571428571,0.6071428571428571,0.6095633629892163,0.45822141749499146,2.059747594337603,2.1405087524778477
validation,9,level_ge_7m,complete24,augmented,5912,28,28,0,9,0.32142857142857145,0.32142857142857145,0.936392368734251,0.7999616794588215,2.6755177490371995,2.7928309988350986
validation,9,level_ge_7m,missing24,native_control,631,0,0,0,0,,,,,,
validation,9,level_ge_7m,missing24,augmented,631,0,0,0,0,,,,,,
validation,10,all,full_schedule,native_control,6542,6508,6468,40,5604,0.8664192949907236,0.8610940381069453,0.2647682161240813,0.10887774402637874,1.0635666059005755,3.441071344514551
validation,10,all,full_schedule,augmented,6542,6508,6468,40,5520,0.8534322820037106,0.8481868469575906,0.33728957532513154,0.16278614630881028,3.259496707645425,4.525846771998609
validation,10,all,complete24,native_control,5912,5881,5881,0,5175,0.8799523890494814,0.8799523890494814,0.25411992278393764,0.10137152735858379,0.9922304166187986,3.441071344514551
validation,10,all,complete24,augmented,5912,5881,5881,0,5081,0.8639687128039449,0.8639687128039449,0.3321599660368634,0.1642585189530637,3.5202170913026603,4.525846771998609
validation,10,all,missing24,native_control,630,627,587,40,429,0.7308347529812607,0.6842105263157895,0.3714506916494385,0.1840805723454625,1.3276339108147426,2.5248999812959902
validation,10,all,missing24,augmented,630,627,587,40,439,0.747870528109029,0.7001594896331739,0.38868179376517475,0.14803482855607702,1.533973294623786,4.346717890709696
validation,10,level_ge_7m,full_schedule,native_control,6542,28,28,0,11,0.39285714285714285,0.39285714285714285,0.7637956998438623,0.659964362486402,1.639679570538911,1.6643311821088886
validation,10,level_ge_7m,full_schedule,augmented,6542,28,28,0,9,0.32142857142857145,0.32142857142857145,0.92121779864775,0.815957158402301,2.2856291010356595,2.376644669756846
validation,10,level_ge_7m,complete24,native_control,5912,28,28,0,11,0.39285714285714285,0.39285714285714285,0.7637956998438623,0.659964362486402,1.639679570538911,1.6643311821088886
validation,10,level_ge_7m,complete24,augmented,5912,28,28,0,9,0.32142857142857145,0.32142857142857145,0.92121779864775,0.815957158402301,2.2856291010356595,2.376644669756846
validation,10,level_ge_7m,missing24,native_control,630,0,0,0,0,,,,,,
validation,10,level_ge_7m,missing24,augmented,630,0,0,0,0,,,,,,
validation,11,all,full_schedule,native_control,6541,6507,6468,39,5352,0.8274582560296846,0.8224988473951129,0.3066261661079817,0.11491541569817183,1.241458802231562,3.9782715851312767
validation,11,all,full_schedule,augmented,6541,6507,6468,39,5436,0.8404452690166976,0.8354080221300139,0.3528640391096417,0.16115770730066972,3.2381675719425767,4.592638693581186
validation,11,all,complete24,native_control,5912,5882,5882,0,4941,0.8400204012240734,0.8400204012240734,0.2954192516113556,0.10516865267842282,1.1899902207773405,3.2312729809688054
validation,11,all,complete24,augmented,5912,5882,5882,0,5027,0.8546412784767086,0.8546412784767086,0.3469757916336411,0.16367889542945324,3.554432496043771,4.592638693581186
validation,11,all,missing24,native_control,629,625,586,39,411,0.7013651877133106,0.6576,0.41911604847855294,0.21274896532643794,1.5642171053056644,3.9782715851312767
validation,11,all,missing24,augmented,629,625,586,39,409,0.6979522184300341,0.6544,0.4119675743550943,0.13585117389878468,1.6798155288536873,4.077887550481652
validation,11,level_ge_7m,full_schedule,native_control,6541,28,28,0,9,0.32142857142857145,0.32142857142857145,0.913230549267538,0.6934932305653457,2.2734377675153006,2.3488613754696814
validation,11,level_ge_7m,full_schedule,augmented,6541,28,28,0,8,0.2857142857142857,0.2857142857142857,0.9076195437388803,0.8449124808956319,2.174546791831476,2.21866166889059
validation,11,level_ge_7m,complete24,native_control,5912,28,28,0,9,0.32142857142857145,0.32142857142857145,0.913230549267538,0.6934932305653457,2.2734377675153006,2.3488613754696814
validation,11,level_ge_7m,complete24,augmented,5912,28,28,0,8,0.2857142857142857,0.2857142857142857,0.9076195437388803,0.8449124808956319,2.174546791831476,2.21866166889059
validation,11,level_ge_7m,missing24,native_control,629,0,0,0,0,,,,,,
validation,11,level_ge_7m,missing24,augmented,629,0,0,0,0,,,,,,
validation,12,all,full_schedule,native_control,6540,6506,6466,40,5249,0.8117847200742344,0.8067937288656625,0.3268582657649666,0.11963700648451894,1.370846424054081,3.717391928882293
validation,12,all,full_schedule,augmented,6540,6506,6466,40,5215,0.8065264460253634,0.8015677835843836,0.3802446646276226,0.17383119453644266,3.2739814536520644,4.185498488175121
validation,12,all,complete24,native_control,5912,5879,5879,0,4843,0.8237795543459772,0.8237795543459772,0.3167512178798855,0.11510837400226699,1.2864206271699814,3.717391928882293
validation,12,all,complete24,augmented,5912,5879,5879,0,4823,0.8203776152406872,0.8203776152406872,0.37380685567544125,0.17624635406549397,3.3646889542434715,4.185498488175121
validation,12,all,missing24,native_control,628,627,587,40,406,0.6916524701873935,0.6475279106858054,0.4280837078712551,0.16499276519518222,1.7489608022094945,3.079960103438171
validation,12,all,missing24,augmented,628,627,587,40,392,0.6678023850085179,0.6251993620414673,0.4447214599084973,0.14964256954275865,1.8265004901480626,4.13747039256411
validation,12,level_ge_7m,full_schedule,native_control,6540,28,28,0,7,0.25,0.25,0.9084925009708122,0.637657899731453,2.572327723114171,2.619470094800553
validation,12,level_ge_7m,full_schedule,augmented,6540,28,28,0,11,0.39285714285714285,0.39285714285714285,0.8421427856464021,0.7269799371474708,2.1748508174117975,2.6933975093042157
validation,12,level_ge_7m,complete24,native_control,5912,28,28,0,7,0.25,0.25,0.9084925009708122,0.637657899731453,2.572327723114171,2.619470094800553
validation,12,level_ge_7m,complete24,augmented,5912,28,28,0,11,0.39285714285714285,0.39285714285714285,0.8421427856464021,0.7269799371474708,2.1748508174117975,2.6933975093042157
validation,12,level_ge_7m,missing24,native_control,628,0,0,0,0,,,,,,
validation,12,level_ge_7m,missing24,augmented,628,0,0,0,0,,,,,,
test,1,all,full_schedule,native_control,1967,1944,1939,5,1932,0.9963898916967509,0.9938271604938271,0.03417566632254777,-0.00037019778640203215,0.18807584936837288,1.284834339803509
test,1,all,full_schedule,augmented,1967,1944,1939,5,1934,0.997421351211965,0.9948559670781894,0.033498768403576636,0.002085652002370547,0.1896114395281401,1.0610535741969782
test,1,all,complete24,native_control,1353,1350,1350,0,1350,1.0,1.0,0.028796905814397884,0.0009979671407739552,0.16400253994252656,0.4615443702601105
test,1,all,complete24,augmented,1353,1350,1350,0,1350,1.0,1.0,0.02859363914440068,0.0027162865671471565,0.15422929463253648,0.3527421113204223
test,1,all,missing24,native_control,614,594,589,5,582,0.9881154499151104,0.9797979797979798,0.046503894991482136,-0.0035060596738172834,0.25484412471888784,1.284834339803509
test,1,all,missing24,augmented,614,594,589,5,584,0.9915110356536503,0.9831649831649831,0.04474142460032965,0.0006402247316601518,0.2766390401043599,1.0610535741969782
test,1,level_ge_7m,full_schedule,native_control,1967,237,236,1,230,0.9745762711864406,0.9704641350210971,0.07747194053705365,-0.006832008882132252,0.5787276663094516,1.284834339803509
test,1,level_ge_7m,full_schedule,augmented,1967,237,236,1,231,0.9788135593220338,0.9746835443037974,0.06735151255341046,0.002523324211898609,0.43689689792933867,1.0610535741969782
test,1,level_ge_7m,complete24,native_control,1353,144,144,0,144,1.0,1.0,0.050459349309773,0.0008971132753594377,0.22944491102812148,0.3603095106937886
test,1,level_ge_7m,complete24,augmented,1353,144,144,0,144,1.0,1.0,0.04175394881638968,0.0022736899110772308,0.18148273684902097,0.2192286551433824
