phase,horizon_h,subset,reference,candidate,delta_hits,delta_mae_m,delta_max_abs_m
validation,6,all,levels45_augmented,augmented,-62,0.016856057328464014,0.9511908582732804
validation,6,level_ge_7m,observed_control,augmented,-6,0.2725756897590448,1.0105037740379856
validation,6,level_ge_7m,core_original,core_augmented,2,-0.03728702014965618,0.2123442311545647
validation,6,level_ge_7m,levels45_original,levels45_augmented,2,0.012552414923625188,0.3567312194727208
validation,6,level_ge_7m,rain108_original,rain108_augmented,-3,0.17390889572317908,0.45827268599804327
validation,6,level_ge_7m,core_original,levels45_original,7,-0.1048265509015836,0.25531054975512735
validation,6,level_ge_7m,core_augmented,levels45_augmented,7,-0.054987115828302235,0.39969753807328345
validation,6,level_ge_7m,rain108_original,observed_control,4,-0.08682764459300657,-0.13493961726010362
validation,6,level_ge_7m,rain108_augmented,augmented,1,0.011839149442859132,0.41729147077983875
validation,6,level_ge_7m,core_original,rain108_original,2,-0.020485965198640488,0.42493233975654565
validation,6,level_ge_7m,core_augmented,rain108_augmented,-3,0.19070995067419477,0.6708607946000242
validation,6,level_ge_7m,levels45_original,observed_control,-1,-0.002487058890063454,0.03468217274131469
validation,6,level_ge_7m,levels45_augmented,augmented,-9,0.25753621594535614,0.6884547273065795
validation,7,all,observed_control,augmented,-52,0.01902100039697857,0.7284834201975263
validation,7,all,core_original,core_augmented,24,0.004277238120211857,0.10001345039877885
validation,7,all,levels45_original,levels45_augmented,53,-0.008867894293453998,-0.5617133648467885
validation,7,all,rain108_original,rain108_augmented,-83,0.02055036663560922,0.6085267831342263
validation,7,all,core_original,levels45_original,-72,0.006577038220582088,0.49882389783029835
validation,7,all,core_augmented,levels45_augmented,-43,-0.006568094193083768,-0.16290291741526897
validation,7,all,rain108_original,observed_control,-9,-0.006989661027129862,-0.0392111354330229
validation,7,all,rain108_augmented,augmented,22,-0.00851902726576051,0.08074550163027716
validation,7,all,core_original,rain108_original,-75,0.014180313129908556,0.43423276068651395
validation,7,all,core_augmented,rain108_augmented,-182,0.030453441645305918,0.9427460934219614
validation,7,all,levels45_original,observed_control,-12,0.0006136138821966064,-0.1038022725768073
validation,7,all,levels45_augmented,augmented,-117,0.028502508572629176,1.1863945124675075
validation,7,level_ge_7m,observed_control,augmented,-5,0.17503342808478434,0.8676375343642029
validation,7,level_ge_7m,core_original,core_augmented,-2,-0.06480383319931593,-0.5941229344030674
validation,7,level_ge_7m,levels45_original,levels45_augmented,2,-0.05511645387599884,-1.0730598755595775
validation,7,level_ge_7m,rain108_original,rain108_augmented,1,0.10375215392302273,1.052537590053749
validation,7,level_ge_7m,core_original,levels45_original,4,-0.1562037810356502,0.28905658483716934
validation,7,level_ge_7m,core_augmented,levels45_augmented,8,-0.1465164017123331,-0.18988035631934075
validation,7,level_ge_7m,rain108_original,observed_control,-1,0.058553969910952186,0.3368805480370778
validation,7,level_ge_7m,rain108_augmented,augmented,-7,0.1298352440727138,0.15198049234753164
validation,7,level_ge_7m,core_original,rain108_original,5,-0.23888262378702857,0.1456125093780134
validation,7,level_ge_7m,core_augmented,rain108_augmented,8,-0.07032663666468991,1.7922730338348298
validation,7,level_ge_7m,levels45_original,observed_control,0,-0.024124872840426193,0.19343647257792185
validation,7,level_ge_7m,levels45_augmented,augmented,-7,0.20602500912035698,2.134133882501702
validation,8,all,observed_control,augmented,-25,0.019674123692478063,1.162100251536856
validation,8,all,core_original,core_augmented,-28,0.0076138212753489865,-0.08757166852534803
validation,8,all,levels45_original,levels45_augmented,54,-0.012878769234154513,-0.6734468267614542
validation,8,all,rain108_original,rain108_augmented,-35,0.019245696178424698,0.35996906669193507
validation,8,all,core_original,levels45_original,-101,0.012741700201111428,0.23687145423414968
validation,8,all,core_augmented,levels45_augmented,-19,-0.007750890308392072,-0.34900370400195646
validation,8,all,rain108_original,observed_control,-16,-0.007483631517502559,-0.7164205371143932
validation,8,all,rain108_augmented,augmented,-6,-0.007055204003449195,0.08571064773052761
validation,8,all,core_original,rain108_original,-157,0.024553347219592403,0.5394149961514292
validation,8,all,core_augmented,rain108_augmented,-164,0.036185222122668115,0.9869557313687123
validation,8,all,levels45_original,observed_control,-72,0.004328015500978416,-0.41387699519711374
validation,8,all,levels45_augmented,augmented,-151,0.03688090842761099,1.4216700831011964
validation,8,level_ge_7m,observed_control,augmented,-9,0.3413296375756742,0.7459630200908913
validation,8,level_ge_7m,core_original,core_augmented,1,-0.03547215463274811,0.1533230047714227
validation,8,level_ge_7m,levels45_original,levels45_augmented,3,-0.13799964658394048,-1.0429253215202188
validation,8,level_ge_7m,rain108_original,rain108_augmented,-6,0.23364020321749512,1.00495631871728
validation,8,level_ge_7m,core_original,levels45_original,2,-0.011850700045681228,1.416319278430631
validation,8,level_ge_7m,core_augmented,levels45_augmented,4,-0.1143781919968736,0.22007095213898964
validation,8,level_ge_7m,rain108_original,observed_control,1,-0.036651743745472476,0.2967758558648397
validation,8,level_ge_7m,rain108_augmented,augmented,-2,0.0710376906127066,0.03778255723845092
validation,8,level_ge_7m,core_original,rain108_original,9,-0.15235082999512617,0.5181587632373867
validation,8,level_ge_7m,core_augmented,rain108_augmented,2,0.11676152785511706,1.3697920771832441
validation,8,level_ge_7m,levels45_original,observed_control,8,-0.17715187369491742,-0.6013846593284047
validation,8,level_ge_7m,levels45_augmented,augmented,-4,0.30217741046469726,1.1875036822827054
validation,9,all,observed_control,augmented,-58,0.026427658849428493,1.1985891687092507
validation,9,all,core_original,core_augmented,-42,0.004869277098449254,-0.019413725143013316
validation,9,all,levels45_original,levels45_augmented,35,-0.012928935606055042,-0.2528963816249301
validation,9,all,rain108_original,rain108_augmented,-112,0.032320661755708746,0.8093132395963001
validation,9,all,core_original,levels45_original,-137,0.015140813547796644,-0.02027107585334864
validation,9,all,core_augmented,levels45_augmented,-60,-0.0026573991567076516,-0.25375373233526544
validation,9,all,rain108_original,observed_control,-37,-0.0060236172399974475,-0.40646041079054385
validation,9,all,rain108_augmented,augmented,17,-0.011916620146277701,-0.017184481677593233
validation,9,all,core_original,rain108_original,-134,0.029634651419624153,0.4261471956221814
validation,9,all,core_augmented,rain108_augmented,-204,0.057086036076883645,1.2548741603614948
validation,9,all,levels45_original,observed_control,-34,0.008470220631830061,0.03995786068498619
validation,9,all,levels45_augmented,augmented,-127,0.047826815087313596,1.491443411019167
validation,9,level_ge_7m,observed_control,augmented,-9,0.4341253724322407,0.869049550794724
validation,9,level_ge_7m,core_original,core_augmented,0,-0.0026769088273902453,-0.20419281330564676
validation,9,level_ge_7m,levels45_original,levels45_augmented,5,-0.14647523528214046,-0.7993567194190412
validation,9,level_ge_7m,rain108_original,rain108_augmented,-7,0.44660295515046855,1.4096657061057911
validation,9,level_ge_7m,core_original,levels45_original,2,-0.08443018564134774,0.5647833326563862
validation,9,level_ge_7m,core_augmented,levels45_augmented,7,-0.22822851209609796,-0.030380573457008175
validation,9,level_ge_7m,rain108_original,observed_control,1,0.03713669364228045,0.636745953155625
validation,9,level_ge_7m,rain108_augmented,augmented,-1,0.024659110924052596,0.09612979784455788
validation,9,level_ge_7m,core_original,rain108_original,9,-0.1994994362833783,-0.49427629292119235
validation,9,level_ge_7m,core_augmented,rain108_augmented,2,0.2497804276944805,1.1195822264902455
validation,9,level_ge_7m,levels45_original,observed_control,8,-0.0779325569997501,-0.4223136724219536
validation,9,level_ge_7m,levels45_augmented,augmented,-6,0.502668050714631,1.2460925977918116
validation,10,all,observed_control,augmented,-44,0.024919925299877632,0.34685974569134803
validation,10,all,core_original,core_augmented,-120,0.01410809714286701,0.032002174675970885
validation,10,all,levels45_original,levels45_augmented,-1,0.0038938501752555643,0.23702734157662508
validation,10,all,rain108_original,rain108_augmented,-93,0.026629836982688226,0.24293155303837954
validation,10,all,core_original,levels45_original,-88,0.009447901004527387,-0.4370694979516965
validation,10,all,core_augmented,levels45_augmented,31,-0.0007663459630840586,-0.23204433105104227
validation,10,all,rain108_original,observed_control,43,-0.011379973750437533,-0.19190320807373595
validation,10,all,rain108_augmented,augmented,92,-0.013089885433248127,-0.08797501542076747
validation,10,all,core_original,rain108_original,-121,0.026217237154661427,-0.5148908421408134
validation,10,all,core_augmented,rain108_augmented,-94,0.03873897699448264,-0.3039614637784047
validation,10,all,levels45_original,observed_control,10,0.005389362399696507,-0.26972455226285286
validation,10,all,levels45_augmented,augmented,-33,0.026415437524318575,-0.1598921481481299
validation,10,level_ge_7m,observed_control,augmented,-5,0.4211998143053274,1.599030025224435
validation,10,level_ge_7m,core_original,core_augmented,0,0.08091541723917084,2.1625984599737764
validation,10,level_ge_7m,levels45_original,levels45_augmented,3,-0.13582689781116553,-0.7282032880278884
validation,10,level_ge_7m,rain108_original,rain108_augmented,-5,0.5033174562194901,1.7127479883731667
validation,10,level_ge_7m,core_original,levels45_original,-2,-0.006333911427595651,0.12340495881137237
validation,10,level_ge_7m,core_augmented,levels45_augmented,1,-0.22307622647793202,-2.7673967891902924
validation,10,level_ge_7m,rain108_original,observed_control,-4,0.18128659471265185,0.30669884958722626
validation,10,level_ge_7m,rain108_augmented,augmented,-4,0.09916895279848914,0.19298088643849454
validation,10,level_ge_7m,core_original,rain108_original,7,-0.2458413476544825,-0.5784721169973377
validation,10,level_ge_7m,core_augmented,rain108_augmented,2,0.17656069132583674,-1.0283225885979475
validation,10,level_ge_7m,levels45_original,observed_control,5,-0.05822084151423501,-0.3951782262214838
validation,10,level_ge_7m,levels45_augmented,augmented,-3,0.4988058706022579,1.9320550870308395
validation,11,all,observed_control,augmented,49,0.009795749169218937,-0.04482427609036366
validation,11,all,core_original,core_augmented,-27,0.005371528690832628,0.006377514580618637
validation,11,all,levels45_original,levels45_augmented,53,-0.0001564202762464606,0.5943433875475996
validation,11,all,rain108_original,rain108_augmented,-88,0.02207399829536144,0.46478784631884285
validation,11,all,core_original,levels45_original,-3,0.008586543837627025,-0.716489996217998
validation,11,all,core_augmented,levels45_augmented,77,0.003058594870547937,-0.12852412325101703
validation,11,all,rain108_original,observed_control,-43,0.002469044856644287,0.5811198413143757
validation,11,all,rain108_augmented,augmented,94,-0.009809204269498217,0.07150771890516916
validation,11,all,core_original,rain108_original,-11,0.01684841521308522,-1.1060341821570314
validation,11,all,core_augmented,rain108_augmented,-72,0.033550884817614035,-0.6476238504188072
validation,11,all,levels45_original,observed_control,-51,0.010730916232102483,0.19157565537534227
validation,11,all,levels45_augmented,augmented,-55,0.02068308567756788,-0.447592008262621
validation,11,level_ge_7m,observed_control,augmented,-4,0.32388456171420665,0.9796099851375839
validation,11,level_ge_7m,core_original,core_augmented,4,0.02047493035381287,-0.33167040441065154
validation,11,level_ge_7m,levels45_original,levels45_augmented,0,-0.11939951347657762,-0.057178497461626954
validation,11,level_ge_7m,rain108_original,rain108_augmented,-7,0.49348433810203607,1.2188284944685837
validation,11,level_ge_7m,core_original,levels45_original,0,0.09695484526056153,-0.28149653066198255
validation,11,level_ge_7m,core_augmented,levels45_augmented,-4,-0.042919598569828965,-0.007004623712957958
validation,11,level_ge_7m,rain108_original,observed_control,-3,0.2155177532407555,0.33373357640192225
validation,11,level_ge_7m,rain108_augmented,augmented,0,0.04591797685292609,0.0945150670709225
validation,11,level_ge_7m,core_original,rain108_original,7,-0.2676843157545036,-0.4882181614734087
validation,11,level_ge_7m,core_augmented,rain108_augmented,-4,0.20532509199371962,1.0622807374058265
validation,11,level_ge_7m,levels45_original,observed_control,4,-0.1491214077743096,0.1270119455904961
validation,11,level_ge_7m,levels45_augmented,augmented,0,0.2941626674164747,1.163800428189707
validation,12,all,observed_control,augmented,-2,0.008111294956126669,0.3173964555918296
validation,12,all,core_original,core_augmented,-107,0.013333429047938827,0.37280636352561825
validation,12,all,levels45_original,levels45_augmented,7,0.00046193285667661677,0.07480689283224429
validation,12,all,rain108_original,rain108_augmented,-19,0.009915335386517732,0.31504141645489137
validation,12,all,core_original,levels45_original,-31,0.010250416674843554,-0.43973108870616606
validation,12,all,core_augmented,levels45_augmented,83,-0.0026210795164186562,-0.73773055939954
validation,12,all,rain108_original,observed_control,71,-0.005739985814306403,0.062178854579965304
validation,12,all,rain108_augmented,augmented,88,-0.007544026244697466,0.06453389371690355
validation,12,all,core_original,rain108_original,-90,0.0214362184586383,-0.8984171076841303
validation,12,all,core_augmented,rain108_augmented,-2,0.018018124797217205,-0.9561820547548572
validation,12,all,levels45_original,observed_control,12,0.0054458159694883435,-0.39650716439799893
