delay_minutes,horizon_h,subset,population,family,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
15,6,level_ge_7m,individual,reference,235,117,0.4978723404255319,0.7848179087146162,0.261979884540913,1.740901469373758,3.2816327316812903,4.815243764623784
15,6,level_ge_7m,individual,julho_levels,235,115,0.48936170212765956,0.7578530200612832,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
15,6,level_ge_7m,common_three,reference,235,117,0.4978723404255319,0.7848179087146162,0.261979884540913,1.740901469373758,3.2816327316812903,4.815243764623784
15,6,level_ge_7m,common_three,julho_levels,235,115,0.48936170212765956,0.7578530200612832,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
30,6,level_ge_7m,individual,reference,235,116,0.49361702127659574,0.7962538474719459,0.2733997462048275,1.7747137759521034,3.2393693618939388,4.826047752561983
30,6,level_ge_7m,individual,julho_levels,235,115,0.48936170212765956,0.7699781078827467,0.3061292477436185,1.7471834263098482,2.9512923408722904,4.2014637996448325
30,6,level_ge_7m,common_three,reference,235,116,0.49361702127659574,0.7962538474719459,0.2733997462048275,1.7747137759521034,3.2393693618939388,4.826047752561983
30,6,level_ge_7m,common_three,julho_levels,235,115,0.48936170212765956,0.7699781078827467,0.3061292477436185,1.7471834263098482,2.9512923408722904,4.2014637996448325
45,6,level_ge_7m,individual,reference,235,114,0.4851063829787234,0.8047060042260784,0.2803346516917962,1.7823343444076665,3.193572083188314,4.844259482340506
45,6,level_ge_7m,individual,julho_levels,235,114,0.4851063829787234,0.7792603166276639,0.3130607449732522,1.7415806084449987,2.906140913343998,4.2193921087391875
45,6,level_ge_7m,common_three,reference,235,114,0.4851063829787234,0.8047060042260784,0.2803346516917962,1.7823343444076665,3.193572083188314,4.844259482340506
45,6,level_ge_7m,common_three,julho_levels,235,114,0.4851063829787234,0.7792603166276639,0.3130607449732522,1.7415806084449987,2.906140913343998,4.2193921087391875
15,7,all,individual,reference,1924,1427,0.7416839916839917,0.39208095485298133,-0.021214602096099943,0.7976868838394322,1.719587202715005,5.691324727293669
15,7,all,individual,julho_levels,1924,1403,0.7292099792099792,0.3982879939194406,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857
15,7,all,common_three,reference,1922,1425,0.7414151925078044,0.39220759920566806,-0.020955329328332106,0.7978458130097454,1.7203106813064075,5.691324727293669
15,7,all,common_three,julho_levels,1922,1401,0.7289281997918835,0.39847338631840695,0.04131235858643733,0.7797353070102753,1.6542457219818063,4.913469515100857
30,7,all,individual,reference,1925,1434,0.7449350649350649,0.39279134223253925,-0.021754811407995463,0.7929369993161804,1.7611909438148992,5.695734968649528
30,7,all,individual,julho_levels,1925,1408,0.7314285714285714,0.39903013543942845,0.04061295157320103,0.7805307999431594,1.6693178100576556,4.917967375782299
30,7,all,common_three,reference,1922,1431,0.7445369406867846,0.3928134153910746,-0.021197743259312417,0.7937493914835159,1.761944889378504,5.695734968649528
30,7,all,common_three,julho_levels,1922,1405,0.731009365244537,0.3992563339411672,0.041072980574603644,0.7806645316662748,1.6706072913440333,4.917967375782299
45,7,all,individual,reference,1925,1438,0.747012987012987,0.3927200275864929,-0.022235936766466256,0.79585257688825,1.7796146899942937,5.700519223262736
45,7,all,individual,julho_levels,1925,1408,0.7314285714285714,0.3991038482878564,0.04005845694280696,0.7767472158101052,1.701569653865675,4.922833760905043
45,7,all,common_three,reference,1922,1435,0.7466181061394381,0.3929398508413564,-0.021877481003400492,0.7959478620887539,1.780486708642801,5.700519223262736
45,7,all,common_three,julho_levels,1922,1405,0.731009365244537,0.39945237106690995,0.04039541122706876,0.7779457792817377,1.703155643744243,4.922833760905043
15,7,level_ge_7m,individual,reference,235,100,0.425531914893617,0.8787661242032603,0.26658239508619874,1.8802687585608597,3.462646246084388,5.691324727293669
15,7,level_ge_7m,individual,julho_levels,235,108,0.4595744680851064,0.8392207978107249,0.31202355904855916,1.8457393398682296,3.196858436638674,4.913469515100857
15,7,level_ge_7m,common_three,reference,235,100,0.425531914893617,0.8787661242032603,0.26658239508619874,1.8802687585608597,3.462646246084388,5.691324727293669
15,7,level_ge_7m,common_three,julho_levels,235,108,0.4595744680851064,0.8392207978107249,0.31202355904855916,1.8457393398682296,3.196858436638674,4.913469515100857
30,7,level_ge_7m,individual,reference,235,99,0.42127659574468085,0.8890993288874964,0.2767947531447442,1.9279573941693422,3.4256123931793447,5.695734968649528
30,7,level_ge_7m,individual,julho_levels,235,101,0.4297872340425532,0.8500986128079958,0.3222375449949347,1.8734999655715785,3.1796870064167653,4.917967375782299
30,7,level_ge_7m,common_three,reference,235,99,0.42127659574468085,0.8890993288874964,0.2767947531447442,1.9279573941693422,3.4256123931793447,5.695734968649528
30,7,level_ge_7m,common_three,julho_levels,235,101,0.4297872340425532,0.8500986128079958,0.3222375449949347,1.8734999655715785,3.1796870064167653,4.917967375782299
45,7,level_ge_7m,individual,reference,235,97,0.4127659574468085,0.8958180382910822,0.28259974812911526,1.907310581305174,3.3894029276366426,5.700519223262736
45,7,level_ge_7m,individual,julho_levels,235,99,0.42127659574468085,0.8576081948423856,0.3280275123001991,1.9092914578747884,3.1527950706185037,4.922833760905043
45,7,level_ge_7m,common_three,reference,235,97,0.4127659574468085,0.8958180382910822,0.28259974812911526,1.907310581305174,3.3894029276366426,5.700519223262736
45,7,level_ge_7m,common_three,julho_levels,235,99,0.42127659574468085,0.8576081948423856,0.3280275123001991,1.9092914578747884,3.1527950706185037,4.922833760905043
15,8,all,individual,reference,1922,1331,0.6925078043704475,0.43996520803380024,-0.027998295737261033,0.9218926958862674,1.882734014825637,6.120423180923719
15,8,all,individual,julho_levels,1922,1324,0.6888657648283039,0.4321794697726589,0.04898294666960936,0.8510421647907126,1.7878753686603068,5.290344913970436
15,8,all,common_three,reference,1920,1329,0.6921875,0.440237359879866,-0.0278521420499333,0.9220073839490746,1.8832462053829895,6.120423180923719
15,8,all,common_three,julho_levels,1920,1322,0.6885416666666667,0.43252789751985965,0.049135729772869334,0.8511424202348417,1.7879508791453564,5.290344913970436
30,8,all,individual,reference,1923,1342,0.6978679147165887,0.44033035433860707,-0.028804679651985354,0.917590720004234,1.9178489183884697,6.1302725927913855
30,8,all,individual,julho_levels,1923,1334,0.6937077483099324,0.43254485724252323,0.04832261309186675,0.8511026208473165,1.8068890870738186,5.339676299039137
30,8,all,common_three,reference,1920,1340,0.6979166666666666,0.4402179774518551,-0.028049293898535513,0.9188239467166238,1.9184746390115825,6.1302725927913855
30,8,all,common_three,julho_levels,1920,1331,0.6932291666666667,0.4326668965106117,0.04895192924617574,0.8511418750098814,1.808008083750112,5.339676299039137
45,8,all,individual,reference,1923,1346,0.6999479979199168,0.4397682432476104,-0.029260862419344048,0.9137397821794542,1.9211551697776343,6.1462091424357155
45,8,all,individual,julho_levels,1923,1340,0.6968278731149246,0.43203811116060353,0.04777628825142539,0.8501370398634821,1.8330407008277796,5.3624334098119455
45,8,all,common_three,reference,1920,1344,0.7,0.4398323891140831,-0.028704715258200723,0.9144873769352192,1.9217321391991282,6.1462091424357155
45,8,all,common_three,julho_levels,1920,1337,0.6963541666666667,0.43225635331090456,0.04830775610020573,0.8501705749325009,1.8343199146046525,5.3624334098119455
15,8,level_ge_7m,individual,reference,235,94,0.4,0.9681403229373936,0.25927051270555135,1.9969372076920755,4.050072565460604,6.120423180923719
15,8,level_ge_7m,individual,julho_levels,235,95,0.40425531914893614,0.921814234803545,0.31487374781112565,1.9641062787691015,3.9474171217206284,5.290344913970436
15,8,level_ge_7m,common_three,reference,235,94,0.4,0.9681403229373936,0.25927051270555135,1.9969372076920755,4.050072565460604,6.120423180923719
15,8,level_ge_7m,common_three,julho_levels,235,95,0.40425531914893614,0.921814234803545,0.31487374781112565,1.9641062787691015,3.9474171217206284,5.290344913970436
