origin,horizon_h,delay_minutes,recomputed_m,saved_m,difference_m,passed
2026-07-02T21:00:00-03:00,7,15,8.125319334554835,8.125319334554835,0.0,True
2026-07-02T21:00:00-03:00,7,30,8.115562370019639,8.115562370019639,0.0,True
2026-07-02T21:00:00-03:00,7,45,8.108612515562015,8.108612515562015,0.0,True
2026-07-02T21:00:00-03:00,8,15,8.207398359832215,8.207398359832215,0.0,True
2026-07-02T21:00:00-03:00,8,30,8.200149190673748,8.200149190673748,0.0,True
2026-07-02T21:00:00-03:00,8,45,8.195101051643402,8.195101051643402,0.0,True
2026-07-02T21:00:00-03:00,9,15,8.270044841956956,8.270044841956956,0.0,True
2026-07-02T21:00:00-03:00,9,30,8.264888672622206,8.264888672622206,0.0,True
2026-07-02T21:00:00-03:00,9,45,8.26142716878243,8.26142716878243,0.0,True
2026-07-02T21:00:00-03:00,10,15,8.308093110932646,8.308093110932646,0.0,True
2026-07-02T21:00:00-03:00,10,30,8.30468303485846,8.30468303485846,0.0,True
2026-07-02T21:00:00-03:00,10,45,8.302544824994992,8.302544824994992,0.0,True
2026-07-02T21:00:00-03:00,11,15,8.346140270911231,8.346140270911231,0.0,True
2026-07-02T21:00:00-03:00,11,30,8.344203856420595,8.344203856420595,0.0,True
2026-07-02T21:00:00-03:00,11,45,8.343182235411088,8.343182235411088,0.0,True
2026-07-02T21:00:00-03:00,12,15,8.34433523590516,8.34433523590516,0.0,True
2026-07-02T21:00:00-03:00,12,30,8.343623176868547,8.343623176868547,0.0,True
2026-07-02T21:00:00-03:00,12,45,8.343529069632076,8.343529069632076,0.0,True
2026-07-22T08:00:00-03:00,1,15,17.5977314819624,17.597731481962395,3.552713678800501e-15,True
2026-07-22T08:00:00-03:00,1,30,17.59688580454488,17.596885804544883,-3.552713678800501e-15,True
2026-07-22T08:00:00-03:00,1,45,17.595443190580234,17.595443190580234,0.0,True
2026-07-22T08:00:00-03:00,2,15,17.59029471171126,17.590294711711255,3.552713678800501e-15,True
2026-07-22T08:00:00-03:00,2,30,17.588503210964756,17.58850321096476,-3.552713678800501e-15,True
2026-07-22T08:00:00-03:00,2,45,17.586174019872658,17.586174019872658,0.0,True
2026-07-22T08:00:00-03:00,3,15,17.994060832233032,17.994060832233032,0.0,True
2026-07-22T08:00:00-03:00,3,30,17.99140429680509,17.99140429680509,0.0,True
2026-07-22T08:00:00-03:00,3,45,17.988264220721263,17.988264220721266,-3.552713678800501e-15,True
2026-07-22T08:00:00-03:00,4,15,17.230285345608635,17.230285345608635,0.0,True
2026-07-22T08:00:00-03:00,4,30,17.227062183799024,17.227062183799024,0.0,True
2026-07-22T08:00:00-03:00,4,45,17.223390890045543,17.223390890045543,0.0,True
2026-07-22T08:00:00-03:00,5,15,16.560982047026123,16.56098204702612,3.552713678800501e-15,True
2026-07-22T08:00:00-03:00,5,30,16.55725826589949,16.55725826589949,0.0,True
2026-07-22T08:00:00-03:00,5,45,16.55311762849461,16.55311762849461,0.0,True
2026-07-22T08:00:00-03:00,6,15,15.70581724471139,15.705817244711383,7.105427357601002e-15,True
2026-07-22T08:00:00-03:00,6,30,15.70168355987462,15.70168355987462,0.0,True
2026-07-22T08:00:00-03:00,6,45,15.697158614174711,15.697158614174715,-3.552713678800501e-15,True
2026-07-22T08:00:00-03:00,7,15,14.946530484899142,14.946530484899142,0.0,True
2026-07-22T08:00:00-03:00,7,30,14.942032624217706,14.9420326242177,5.329070518200751e-15,True
2026-07-22T08:00:00-03:00,7,45,14.937166239094957,14.937166239094957,0.0,True
2026-07-22T08:00:00-03:00,8,15,14.088086376912106,14.088086376912106,0.0,True
2026-07-22T08:00:00-03:00,8,30,14.083284155520658,14.083284155520658,0.0,True
2026-07-22T08:00:00-03:00,8,45,14.07813240524061,14.078132405240611,-1.7763568394002505e-15,True
2026-07-22T08:00:00-03:00,9,15,13.046633276221868,13.046633276221861,7.105427357601002e-15,True
2026-07-22T08:00:00-03:00,9,30,13.04158605302673,13.041586053026723,7.105427357601002e-15,True
2026-07-22T08:00:00-03:00,9,45,13.0362045854157,13.036204585415698,1.7763568394002505e-15,True
2026-07-22T08:00:00-03:00,10,15,11.49927793647823,11.499277936478228,1.7763568394002505e-15,True
2026-07-22T08:00:00-03:00,10,30,11.494070560021399,11.494070560021399,0.0,True
2026-07-22T08:00:00-03:00,10,45,11.48853891731142,11.488538917311418,1.7763568394002505e-15,True
2026-07-22T08:00:00-03:00,11,15,10.34373156465276,10.343731564652758,1.7763568394002505e-15,True
2026-07-22T08:00:00-03:00,11,30,10.338356428502212,10.338356428502209,3.552713678800501e-15,True
2026-07-22T08:00:00-03:00,11,45,10.332667485013069,10.332667485013067,1.7763568394002505e-15,True
2026-07-22T08:00:00-03:00,12,15,9.084263954808169,9.084263954808169,0.0,True
2026-07-22T08:00:00-03:00,12,30,9.078761635535987,9.078761635535987,0.0,True
2026-07-22T08:00:00-03:00,12,45,9.072953431168365,9.072953431168362,3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,1,15,18.01632976601764,18.01632976601764,0.0,True
2026-07-22T09:00:00-03:00,1,30,18.000655076659985,18.000655076659985,0.0,True
2026-07-22T09:00:00-03:00,1,45,17.970829912359985,17.970829912359985,0.0,True
2026-07-22T09:00:00-03:00,2,15,18.438674139901025,18.43867413990102,3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,2,30,18.424575351906643,18.424575351906647,-3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,2,45,18.39850884065579,18.398508840655786,3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,3,15,17.871596207009908,17.871596207009908,0.0,True
2026-07-22T09:00:00-03:00,3,30,17.858580354524197,17.858580354524197,0.0,True
2026-07-22T09:00:00-03:00,3,45,17.835095903723765,17.835095903723765,0.0,True
2026-07-22T09:00:00-03:00,4,15,17.166730582885805,17.166730582885805,0.0,True
2026-07-22T09:00:00-03:00,4,30,17.15461563655572,17.15461563655572,0.0,True
2026-07-22T09:00:00-03:00,4,45,17.133278997772347,17.133278997772347,0.0,True
2026-07-22T09:00:00-03:00,5,15,16.424641303829105,16.42464130382911,-3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,5,30,16.413295344746135,16.413295344746135,0.0,True
2026-07-22T09:00:00-03:00,5,45,16.393791880949433,16.393791880949436,-3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,6,15,15.66922136805779,15.66922136805779,0.0,True
2026-07-22T09:00:00-03:00,6,30,15.658536200355169,15.658536200355167,1.7763568394002505e-15,True
2026-07-22T09:00:00-03:00,6,45,15.640607891260817,15.640607891260812,5.329070518200751e-15,True
2026-07-22T09:00:00-03:00,7,15,14.87503836357331,14.875038363573307,3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,7,30,14.864916768673595,14.864916768673595,0.0,True
2026-07-22T09:00:00-03:00,7,45,14.848331794006612,14.848331794006612,0.0,True
2026-07-22T09:00:00-03:00,8,15,13.827191144408246,13.82719114440825,-3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,8,30,13.8175152424722,13.817515242472203,-1.7763568394002505e-15,True
2026-07-22T09:00:00-03:00,8,45,13.801992522691009,13.801992522691009,0.0,True
2026-07-22T09:00:00-03:00,9,15,12.40666628983319,12.406666289833185,5.329070518200751e-15,True
2026-07-22T09:00:00-03:00,9,30,12.397312915857245,12.397312915857242,3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,9,45,12.382558779569994,12.382558779569989,5.329070518200751e-15,True
2026-07-22T09:00:00-03:00,10,15,11.24069620871342,11.240696208713418,1.7763568394002505e-15,True
2026-07-22T09:00:00-03:00,10,30,11.231652160279406,11.231652160279406,0.0,True
2026-07-22T09:00:00-03:00,10,45,11.217635181773776,11.217635181773773,3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,11,15,10.06971203636818,10.069712036368175,5.329070518200751e-15,True
2026-07-22T09:00:00-03:00,11,30,10.06092621451262,10.060926214512618,1.7763568394002505e-15,True
2026-07-22T09:00:00-03:00,11,45,10.047524580692237,10.047524580692233,3.552713678800501e-15,True
2026-07-22T09:00:00-03:00,12,15,8.751684352869809,8.751684352869807,1.7763568394002505e-15,True
2026-07-22T09:00:00-03:00,12,30,8.743082684284161,8.743082684284161,0.0,True
2026-07-22T09:00:00-03:00,12,45,8.73011977265519,8.73011977265519,0.0,True
2026-07-22T11:00:00-03:00,1,15,19.16069641318453,19.160696413184535,-3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,1,30,19.34470002093174,19.344700020931743,-3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,1,45,19.43952436540797,19.439524365407966,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,2,15,19.772014480524724,19.772014480524728,-3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,2,30,19.924595050512842,19.924595050512842,0.0,True
2026-07-22T11:00:00-03:00,2,45,20.00265576989333,20.00265576989333,0.0,True
2026-07-22T11:00:00-03:00,3,15,20.417805972216534,20.41780597221653,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,3,30,20.54422472097349,20.54422472097349,0.0,True
2026-07-22T11:00:00-03:00,3,45,20.608303940612977,20.608303940612977,0.0,True
2026-07-22T11:00:00-03:00,4,15,21.242218295587662,21.242218295587662,0.0,True
2026-07-22T11:00:00-03:00,4,30,21.346426094284354,21.346426094284357,-3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,4,45,21.398618928600122,21.398618928600122,0.0,True
2026-07-22T11:00:00-03:00,5,15,21.94391791982772,21.943917919827715,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,5,30,22.03016305091417,22.03016305091416,7.105427357601002e-15,True
2026-07-22T11:00:00-03:00,5,45,22.07273070298031,22.072730702980305,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,6,15,22.606606526702272,22.60660652670227,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,6,30,22.678071766959334,22.67807176695933,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,6,45,22.712712264239627,22.712712264239627,0.0,True
2026-07-22T11:00:00-03:00,7,15,23.04509118803589,23.045091188035887,3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,7,30,23.104671627619425,23.104671627619428,-3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,7,45,23.132932779838583,23.132932779838583,0.0,True
2026-07-22T11:00:00-03:00,8,15,23.720344913970436,23.720344913970436,0.0,True
2026-07-22T11:00:00-03:00,8,30,23.769676299039133,23.769676299039137,-3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,8,45,23.79243340981194,23.792433409811945,-3.552713678800501e-15,True
2026-07-22T11:00:00-03:00,9,15,24.396673602768836,24.396673602768846,-1.0658141036401503e-14,True
