phase,profile,horizon_h,subset,reference,observed_targets,failures,reference_hits,aged_hits,delta_hits,reference_mae_m,aged_mae_m,delta_mae_m,reference_max_m,aged_max_m
test,B,2,level_ge_7m,profile_B_control,237,1,218,223,5,0.17055488609880845,0.18173802933881328,0.011183143240004828,2.721435573404227,2.7083593159632713
test,B,3,all,mixed_profile_candidate,1942,8,1881,1881,0,0.0984848429997664,0.09598106709348372,-0.0025037759062826737,3.9207443853420045,4.063721363170185
test,B,3,all,profile_B_control,1942,8,1893,1881,-12,0.0969247468811543,0.09598106709348372,-0.0009436797876705705,3.971469992707828,4.063721363170185
test,B,3,level_ge_7m,mixed_profile_candidate,237,1,203,201,-2,0.2894468775030307,0.29141466931184906,0.001967791808818342,3.9207443853420045,4.063721363170185
test,B,3,level_ge_7m,profile_B_control,237,1,207,201,-6,0.27295513304405666,0.29141466931184906,0.018459536267792398,3.971469992707828,4.063721363170185
test,B,4,all,mixed_profile_candidate,1941,9,1865,1865,0,0.12911540247463166,0.12634741185221374,-0.0027679906224179207,5.078591233547437,5.195142724313737
test,B,4,all,profile_B_control,1941,9,1866,1865,-1,0.12304284797867071,0.12634741185221374,0.003304563873543026,5.1179488471626104,5.195142724313737
test,B,4,level_ge_7m,mixed_profile_candidate,237,1,186,191,5,0.4131174956725263,0.41241606595958613,-0.0007014297129401825,5.078591233547437,5.195142724313737
test,B,4,level_ge_7m,profile_B_control,237,1,192,191,-1,0.4009070967444646,0.41241606595958613,0.011508969215121512,5.1179488471626104,5.195142724313737
test,B,5,all,mixed_profile_candidate,1940,10,1828,1829,1,0.1625412373542548,0.16461515189597775,0.0020739145417229543,5.651905624290726,5.921676875558177
test,B,5,all,profile_B_control,1940,10,1836,1829,-7,0.16151947820922183,0.16461515189597775,0.003095673686755923,5.909113440846849,5.921676875558177
test,B,5,level_ge_7m,mixed_profile_candidate,237,1,169,169,0,0.5232204895845944,0.5249470998536954,0.0017266102691009255,5.651905624290726,5.921676875558177
test,B,5,level_ge_7m,profile_B_control,237,1,171,169,-2,0.5244969789310342,0.5249470998536954,0.000450120922661168,5.909113440846849,5.921676875558177
test,B,6,all,mixed_profile_candidate,1939,11,1773,1764,-9,0.21340427297382084,0.214080101647146,0.0006758286733251628,6.505761062809958,6.49782877021077
test,B,6,all,profile_B_control,1939,11,1750,1764,14,0.21317542166512082,0.214080101647146,0.000904679982025175,6.670378362089796,6.49782877021077
test,B,6,level_ge_7m,mixed_profile_candidate,237,1,166,159,-7,0.6355351757922351,0.6400976106423379,0.004562434850102881,6.505761062809958,6.49782877021077
test,B,6,level_ge_7m,profile_B_control,237,1,154,159,5,0.6422930624109834,0.6400976106423379,-0.00219545176864544,6.670378362089796,6.49782877021077
test,B,7,all,mixed_profile_candidate,1938,12,1696,1696,0,0.2583193991455045,0.2578547992733164,-0.0004645998721881095,5.3313065707358245,5.340092600319942
test,B,7,all,profile_B_control,1938,12,1700,1696,-4,0.25766504216425856,0.2578547992733164,0.00018975710905783094,5.1786634640814455,5.340092600319942
test,B,7,level_ge_7m,mixed_profile_candidate,237,1,139,137,-2,0.7026550688482773,0.7020581084190045,-0.0005969604292728192,5.3313065707358245,5.340092600319942
test,B,7,level_ge_7m,profile_B_control,237,1,137,137,0,0.6945705265097771,0.7020581084190045,0.007487581909227381,5.1786634640814455,5.340092600319942
test,B,8,all,mixed_profile_candidate,1937,13,1613,1623,10,0.3194714389533474,0.31946423255821776,-7.206395129633059e-06,5.612418970754012,5.684925755935234
test,B,8,all,profile_B_control,1937,13,1614,1623,9,0.3227151591562414,0.31946423255821776,-0.003250926598023618,5.691275122778958,5.684925755935234
test,B,8,level_ge_7m,mixed_profile_candidate,237,1,124,126,2,0.8131928986298017,0.8120665760318001,-0.0011263225980016056,5.612418970754012,5.684925755935234
test,B,8,level_ge_7m,profile_B_control,237,1,124,126,2,0.8198516874678297,0.8120665760318001,-0.007785111436029557,5.691275122778958,5.684925755935234
test,B,9,all,mixed_profile_candidate,1936,14,1529,1519,-10,0.38699866530660454,0.3876190670934632,0.000620401786858682,6.137372342022433,6.117121038272199
