station,field,records,modal_cadence_seconds,numeric,empty,nonempty_nonnumeric,approved_numeric,suspect_numeric,numeric_without_qc,parser_compatible,negative,first_approved,last_approved
86493000,ChuvaFinal,547,3600,498,49,0,498,0,0,498,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86493000,ChuvaAcumAdotada,547,3600,0,547,0,0,0,0,0,0,,
86495500,NivelFinal,545,3600,541,4,0,541,0,0,541,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86495500,VazaoFinal,545,3600,0,545,0,0,0,0,0,0,,
86495500,ChuvaFinal,545,3600,512,33,0,512,0,0,512,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86495500,ChuvaAcumAdotada,545,3600,0,545,0,0,0,0,0,0,,
86500000,NivelFinal,0,,0,0,0,0,0,0,0,0,,
86500000,VazaoFinal,0,,0,0,0,0,0,0,0,0,,
86500000,ChuvaFinal,0,,0,0,0,0,0,0,0,0,,
86500000,ChuvaAcumAdotada,0,,0,0,0,0,0,0,0,0,,
86504900,NivelFinal,0,,0,0,0,0,0,0,0,0,,
86504900,VazaoFinal,0,,0,0,0,0,0,0,0,0,,
86504900,ChuvaFinal,0,,0,0,0,0,0,0,0,0,,
86504900,ChuvaAcumAdotada,0,,0,0,0,0,0,0,0,0,,
86505500,NivelFinal,549,3600,549,0,0,549,0,0,549,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86505500,VazaoFinal,549,3600,532,17,0,532,0,0,532,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86505500,ChuvaFinal,549,3600,549,0,0,549,0,0,549,0,2020-06-28 00:00:00,2020-07-20 23:00:00
86505500,ChuvaAcumAdotada,549,3600,0,549,0,0,0,0,0,0,,
86510000,NivelFinal,2208,900,2193,15,0,2102,91,0,2102,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86510000,VazaoFinal,2208,900,2191,17,0,2102,89,0,2102,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86510000,ChuvaFinal,2208,900,2203,5,0,2203,0,0,2203,0,2020-06-28 00:00:00,2020-07-20 23:45:00
86510000,ChuvaAcumAdotada,2208,900,2203,5,0,2203,0,0,2203,0,2020-06-28 00:00:00,2020-07-20 23:45:00
