phase,subset,family,lead_h,n,mae_m3_s,bias_m3_s,p90_abs_m3_s,p98_abs_m3_s,max_abs_m3_s,rmse_m3_s
validation,all,conditional,7,6545,82.61654924679529,-16.95930046457202,176.07431911643363,324.8907780402562,1227.0281203647069,121.69299932360921
validation,all,conditional,8,6544,88.55202713787146,-16.334326811891774,186.78120541753935,364.6523468637142,1361.1356941736012,134.09045820420718
validation,all,conditional,9,6543,94.53446463701265,-17.081590589142223,193.98185563853636,399.0271839429544,1575.479077990533,146.45212785943528
validation,all,conditional,10,6542,100.3829122965039,-16.773148396376374,197.19155316103044,431.3099361433195,1845.1792891476182,159.12972141389739
validation,all,conditional,11,6541,105.02701617859972,-15.182362775488418,207.50023769838273,469.632170006755,2098.404385763727,170.50465469718918
validation,high_flow,reference,0,28,94.72511224305585,-21.183298635212036,261.75225234714344,453.9622346292472,547.5235878886201,156.701865470656
validation,high_flow,reference,1,28,131.0673320435591,-28.243090359585853,312.3488830109918,434.59259379215564,516.4502981817825,178.5588102583858
validation,high_flow,reference,2,28,153.2352142050733,-38.72808980865301,278.4383630291724,429.9524678259105,519.7831529429113,186.34060331322672
validation,high_flow,reference,3,28,141.46751944114308,-43.57380762952854,305.13003322188473,395.461856583188,441.9853688472058,178.33692017087682
validation,high_flow,reference,4,28,142.41853061664793,-34.665695638357995,342.8900578725404,422.55292532625543,442.2281262937486,185.6885580337703
validation,high_flow,reference,5,28,176.75614951789285,-17.159960680431166,300.7125937602196,408.628100943494,459.5677192513049,208.2996692811365
validation,high_flow,reference,6,28,243.20899970874365,-9.950033304002138,477.9772108437395,502.48065221332183,509.4907692196184,283.56468683782066
validation,high_flow,reference,7,28,286.28266700247883,22.05393589993312,494.3693306932899,633.8990059543193,689.7628093266999,331.1241846083713
validation,high_flow,reference,8,28,335.86833333285034,44.80954914537186,565.0503062082297,749.0691377757457,757.9439289355157,393.479170621215
validation,high_flow,reference,9,28,399.6940346581115,105.45039687545913,735.4086261506633,844.7204034000185,924.3052052452222,476.14133841763623
validation,high_flow,reference,10,28,492.46269813670705,161.9421010993392,838.9417808682325,993.450541459623,996.705565773487,572.8801109670212
validation,high_flow,reference,11,28,601.7718723271954,228.28355614517986,1057.8548346283965,1083.9547461505003,1100.0738539926647,681.2079265164236
validation,high_flow,conditional,0,28,94.72511224305585,-21.183298635212036,261.75225234714344,453.9622346292472,547.5235878886201,156.701865470656
validation,high_flow,conditional,1,28,131.0673320435591,-28.243090359585853,312.3488830109918,434.59259379215564,516.4502981817825,178.5588102583858
validation,high_flow,conditional,2,28,153.2352142050733,-38.72808980865301,278.4383630291724,429.9524678259105,519.7831529429113,186.34060331322672
validation,high_flow,conditional,3,28,141.46751944114308,-43.57380762952854,305.13003322188473,395.461856583188,441.9853688472058,178.33692017087682
validation,high_flow,conditional,4,28,142.41853061664793,-34.665695638357995,342.8900578725404,422.55292532625543,442.2281262937486,185.6885580337703
validation,high_flow,conditional,5,28,176.75614951789285,-17.159960680431166,300.7125937602196,408.628100943494,459.5677192513049,208.2996692811365
validation,high_flow,conditional,6,28,243.20899970874365,-9.950033304002138,477.9772108437395,502.48065221332183,509.4907692196184,283.56468683782066
validation,high_flow,conditional,7,28,286.28266700247883,22.05393589993312,494.3693306932899,633.8990059543193,689.7628093266999,331.1241846083713
validation,high_flow,conditional,8,28,335.86833333285034,44.80954914537186,565.0503062082297,749.0691377757457,757.9439289355157,393.479170621215
validation,high_flow,conditional,9,28,399.6940346581115,105.45039687545913,735.4086261506633,844.7204034000185,924.3052052452222,476.14133841763623
validation,high_flow,conditional,10,28,492.46269813670705,161.9421010993392,838.9417808682325,993.450541459623,996.705565773487,572.8801109670212
validation,high_flow,conditional,11,28,601.7718723271954,228.28355614517986,1057.8548346283965,1083.9547461505003,1100.0738539926647,681.2079265164236
test,all,reference,0,1968,42.48410282685358,4.5453037958941565,114.8596565014965,264.61379135571616,1523.6076148146713,95.86756978654721
test,all,reference,1,1967,75.06234472550031,11.210253130535044,204.87646323138372,301.6116449203553,3318.9113211568038,182.08293216608706
test,all,reference,2,1966,100.11850664597756,18.217100000257908,238.3454164957761,339.99071165127964,4974.78676699494,255.7711943561616
test,all,reference,3,1965,119.39232071539182,23.678363810179068,253.70259677829654,372.5830489499916,6252.761972639042,318.0079612381094
test,all,reference,4,1964,132.21360630967308,28.230788760361357,259.8140645961524,434.8126242657967,6263.526788935249,339.8951530654464
