horizon_h,phase,subset,start_origin,end_origin,n,start_target,end_target,min_target_m,max_target_m,missing_features
1,train,all,2025-04-22T08:00:00-03:00,2025-04-22T13:00:00-03:00,6,2025-04-22T09:00:00-03:00,2025-04-22T14:00:00-03:00,1.3,1.58,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-22T16:00:00-03:00,2025-04-22T17:00:00-03:00,2,2025-04-22T17:00:00-03:00,2025-04-22T18:00:00-03:00,1.13,1.16,86472600:dH8
1,train,all,2025-04-24T08:00:00-03:00,2025-04-24T13:00:00-03:00,6,2025-04-24T09:00:00-03:00,2025-04-24T14:00:00-03:00,1.16,1.4,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-24T16:00:00-03:00,2025-04-24T17:00:00-03:00,2,2025-04-24T17:00:00-03:00,2025-04-24T18:00:00-03:00,1.03,1.06,86472600:dH8
1,train,all,2025-04-26T11:00:00-03:00,2025-04-26T11:00:00-03:00,1,2025-04-26T12:00:00-03:00,2025-04-26T12:00:00-03:00,1.2,1.2,86500000:dH0.5
1,train,all,2025-04-28T05:00:00-03:00,2025-04-28T07:00:00-03:00,3,2025-04-28T06:00:00-03:00,2025-04-28T08:00:00-03:00,1.06,1.4,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-28T09:00:00-03:00,2025-04-28T09:00:00-03:00,1,2025-04-28T10:00:00-03:00,2025-04-28T10:00:00-03:00,1.53,1.53,86472600:dH4
1,train,all,2025-04-28T13:00:00-03:00,2025-04-29T06:00:00-03:00,18,2025-04-28T14:00:00-03:00,2025-04-29T07:00:00-03:00,0.97,1.49,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-29T10:00:00-03:00,2025-04-29T10:00:00-03:00,1,2025-04-29T11:00:00-03:00,2025-04-29T11:00:00-03:00,1.63,1.63,86472600:dH8
1,train,all,2025-04-29T14:00:00-03:00,2025-04-29T19:00:00-03:00,6,2025-04-29T15:00:00-03:00,2025-04-29T20:00:00-03:00,1.08,1.32,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-04-29T22:00:00-03:00,2025-04-30T23:00:00-03:00,26,2025-04-29T23:00:00-03:00,2025-05-01T00:00:00-03:00,0.97,1.52,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-01T01:00:00-03:00,2025-05-01T01:00:00-03:00,1,2025-05-01T02:00:00-03:00,2025-05-01T02:00:00-03:00,0.97,0.97,86472600:dH4
1,train,all,2025-05-01T05:00:00-03:00,2025-05-01T14:00:00-03:00,10,2025-05-01T06:00:00-03:00,2025-05-01T15:00:00-03:00,1.28,1.64,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-01T17:00:00-03:00,2025-05-01T20:00:00-03:00,4,2025-05-01T18:00:00-03:00,2025-05-01T21:00:00-03:00,1.09,1.16,86472600:dH8|86510000:dH1|86510000:dH2|86510000:dH4
1,train,all,2025-05-01T23:00:00-03:00,2025-05-02T04:00:00-03:00,6,2025-05-02T00:00:00-03:00,2025-05-02T05:00:00-03:00,1.0,1.05,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8|86510000:dH8
1,train,all,2025-05-02T07:00:00-03:00,2025-05-02T08:00:00-03:00,2,2025-05-02T08:00:00-03:00,2025-05-02T09:00:00-03:00,1.27,1.31,86472600:dH8
1,train,all,2025-05-02T14:00:00-03:00,2025-05-02T16:00:00-03:00,3,2025-05-02T15:00:00-03:00,2025-05-02T17:00:00-03:00,1.05,1.11,86472000:H|86472000:dH0.5|86472000:dH1|86472000:dH2|86472000:dH4|86472000:dH8
1,train,all,2025-05-02T18:00:00-03:00,2025-05-02T18:00:00-03:00,1,2025-05-02T19:00:00-03:00,2025-05-02T19:00:00-03:00,1.01,1.01,86472000:dH4
1,train,all,2025-05-02T22:00:00-03:00,2025-05-02T22:00:00-03:00,1,2025-05-02T23:00:00-03:00,2025-05-02T23:00:00-03:00,0.97,0.97,86472000:dH8
1,train,all,2025-05-03T15:00:00-03:00,2025-05-03T20:00:00-03:00,6,2025-05-03T16:00:00-03:00,2025-05-03T21:00:00-03:00,1.03,1.21,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-03T23:00:00-03:00,2025-05-04T00:00:00-03:00,2,2025-05-04T00:00:00-03:00,2025-05-04T01:00:00-03:00,0.98,0.99,86472600:dH8
1,train,all,2025-05-04T02:00:00-03:00,2025-05-04T19:00:00-03:00,18,2025-05-04T03:00:00-03:00,2025-05-04T20:00:00-03:00,0.95,0.96,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-05T07:00:00-03:00,2025-05-05T13:00:00-03:00,7,2025-05-05T08:00:00-03:00,2025-05-05T14:00:00-03:00,1.4,1.83,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-05T15:00:00-03:00,2025-05-05T17:00:00-03:00,3,2025-05-05T16:00:00-03:00,2025-05-05T18:00:00-03:00,1.41,1.58,86472600:dH8
1,train,all,2025-05-06T02:00:00-03:00,2025-05-06T07:00:00-03:00,6,2025-05-06T03:00:00-03:00,2025-05-06T08:00:00-03:00,0.96,1.0,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-06T10:00:00-03:00,2025-05-06T11:00:00-03:00,2,2025-05-06T11:00:00-03:00,2025-05-06T12:00:00-03:00,0.94,0.94,86472600:dH8
1,train,all,2025-05-10T21:00:00-03:00,2025-05-12T01:00:00-03:00,29,2025-05-10T22:00:00-03:00,2025-05-12T02:00:00-03:00,1.18,1.54,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-12T04:00:00-03:00,2025-05-12T05:00:00-03:00,2,2025-05-12T05:00:00-03:00,2025-05-12T06:00:00-03:00,1.21,1.29,86472600:dH8
1,train,all,2025-05-12T13:00:00-03:00,2025-05-12T15:00:00-03:00,3,2025-05-12T14:00:00-03:00,2025-05-12T16:00:00-03:00,1.2,1.31,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-12T17:00:00-03:00,2025-05-12T17:00:00-03:00,1,2025-05-12T18:00:00-03:00,2025-05-12T18:00:00-03:00,1.12,1.12,86472600:dH4
1,train,all,2025-05-12T21:00:00-03:00,2025-05-12T21:00:00-03:00,1,2025-05-12T22:00:00-03:00,2025-05-12T22:00:00-03:00,1.07,1.07,86472600:dH8
1,train,all,2025-05-15T08:00:00-03:00,2025-05-15T13:00:00-03:00,6,2025-05-15T09:00:00-03:00,2025-05-15T14:00:00-03:00,1.33,1.46,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-15T16:00:00-03:00,2025-05-15T17:00:00-03:00,2,2025-05-15T17:00:00-03:00,2025-05-15T18:00:00-03:00,1.17,1.2,86472600:dH8
1,train,all,2025-05-22T02:00:00-03:00,2025-05-22T16:00:00-03:00,15,2025-05-22T03:00:00-03:00,2025-05-22T17:00:00-03:00,1.05,1.92,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-22T18:00:00-03:00,2025-05-22T18:00:00-03:00,1,2025-05-22T19:00:00-03:00,2025-05-22T19:00:00-03:00,1.14,1.14,86472600:dH4
1,train,all,2025-05-22T22:00:00-03:00,2025-05-22T22:00:00-03:00,1,2025-05-22T23:00:00-03:00,2025-05-22T23:00:00-03:00,1.07,1.07,86472600:dH8
1,train,all,2025-05-23T05:00:00-03:00,2025-05-24T03:00:00-03:00,23,2025-05-23T06:00:00-03:00,2025-05-24T04:00:00-03:00,1.03,1.94,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-24T13:00:00-03:00,2025-05-25T09:00:00-03:00,21,2025-05-24T14:00:00-03:00,2025-05-25T10:00:00-03:00,1.03,1.08,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-27T10:00:00-03:00,2025-05-27T12:00:00-03:00,3,2025-05-27T11:00:00-03:00,2025-05-27T13:00:00-03:00,2.24,2.31,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-27T14:00:00-03:00,2025-05-27T14:00:00-03:00,1,2025-05-27T15:00:00-03:00,2025-05-27T15:00:00-03:00,2.27,2.27,86472600:dH4
1,train,all,2025-05-27T18:00:00-03:00,2025-05-27T18:00:00-03:00,1,2025-05-27T19:00:00-03:00,2025-05-27T19:00:00-03:00,2.33,2.33,86472600:dH8
1,train,all,2025-05-29T07:00:00-03:00,2025-05-30T12:00:00-03:00,30,2025-05-29T08:00:00-03:00,2025-05-30T13:00:00-03:00,3.38,4.83,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-05-30T14:00:00-03:00,2025-05-30T15:00:00-03:00,2,2025-05-30T15:00:00-03:00,2025-05-30T16:00:00-03:00,4.21,4.26,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8|86510000:dH0.5
1,train,all,2025-05-30T17:00:00-03:00,2025-05-31T20:00:00-03:00,28,2025-05-30T18:00:00-03:00,2025-05-31T21:00:00-03:00,3.45,4.07,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8|86510000:dH1|86510000:dH2|86510000:dH4|86510000:dH8
1,train,all,2025-06-04T08:00:00-03:00,2025-06-04T09:00:00-03:00,2,2025-06-04T09:00:00-03:00,2025-06-04T10:00:00-03:00,2.24,2.31,86472600:dH1|86472600:dH2|86510000:dH0.5|86510000:dH1|86510000:dH2|86510000:dH4
1,train,all,2025-06-04T11:00:00-03:00,2025-06-04T13:00:00-03:00,3,2025-06-04T12:00:00-03:00,2025-06-04T14:00:00-03:00,2.11,2.15,86472600:dH4|86472600:dH8|86510000:dH4|86510000:dH8
1,train,all,2025-06-04T15:00:00-03:00,2025-06-04T18:00:00-03:00,4,2025-06-04T16:00:00-03:00,2025-06-04T19:00:00-03:00,2.13,2.32,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8|86510000:dH8
1,train,all,2025-06-04T20:00:00-03:00,2025-06-04T20:00:00-03:00,1,2025-06-04T21:00:00-03:00,2025-06-04T21:00:00-03:00,2.41,2.41,86472600:dH4
1,train,all,2025-06-05T00:00:00-03:00,2025-06-05T00:00:00-03:00,1,2025-06-05T01:00:00-03:00,2025-06-05T01:00:00-03:00,2.53,2.53,86472600:dH8
1,train,all,2025-06-07T02:00:00-03:00,2025-06-07T04:00:00-03:00,3,2025-06-07T03:00:00-03:00,2025-06-07T05:00:00-03:00,4.02,4.02,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-07T06:00:00-03:00,2025-06-07T06:00:00-03:00,1,2025-06-07T07:00:00-03:00,2025-06-07T07:00:00-03:00,4.0,4.0,86472600:dH4
1,train,all,2025-06-07T10:00:00-03:00,2025-06-07T10:00:00-03:00,1,2025-06-07T11:00:00-03:00,2025-06-07T11:00:00-03:00,3.93,3.93,86472600:dH8
1,train,all,2025-06-10T21:00:00-03:00,2025-06-11T13:00:00-03:00,17,2025-06-10T22:00:00-03:00,2025-06-11T14:00:00-03:00,1.89,2.49,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-12T14:00:00-03:00,2025-06-12T16:00:00-03:00,3,2025-06-12T15:00:00-03:00,2025-06-12T17:00:00-03:00,1.74,1.9,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-12T18:00:00-03:00,2025-06-12T18:00:00-03:00,1,2025-06-12T19:00:00-03:00,2025-06-12T19:00:00-03:00,2.05,2.05,86472600:dH4
1,train,all,2025-06-12T21:00:00-03:00,2025-06-12T23:00:00-03:00,3,2025-06-12T22:00:00-03:00,2025-06-13T00:00:00-03:00,2.11,2.16,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-13T01:00:00-03:00,2025-06-14T18:00:00-03:00,42,2025-06-13T02:00:00-03:00,2025-06-14T19:00:00-03:00,1.26,2.37,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-16T14:00:00-03:00,2025-06-16T19:00:00-03:00,6,2025-06-16T15:00:00-03:00,2025-06-16T20:00:00-03:00,2.63,2.83,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-16T22:00:00-03:00,2025-06-16T23:00:00-03:00,2,2025-06-16T23:00:00-03:00,2025-06-17T00:00:00-03:00,3.05,3.14,86472600:dH8
1,train,all,2025-06-17T11:00:00-03:00,2025-06-18T04:00:00-03:00,18,2025-06-17T12:00:00-03:00,2025-06-18T05:00:00-03:00,2.47,10.41,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-20T07:00:00-03:00,2025-06-20T08:00:00-03:00,2,2025-06-20T08:00:00-03:00,2025-06-20T09:00:00-03:00,9.01,9.02,86510000:dH1|86510000:dH2
1,train,all,2025-06-20T10:00:00-03:00,2025-06-20T10:00:00-03:00,1,2025-06-20T11:00:00-03:00,2025-06-20T11:00:00-03:00,9.01,9.01,86510000:dH4
1,train,all,2025-06-20T14:00:00-03:00,2025-06-20T14:00:00-03:00,1,2025-06-20T15:00:00-03:00,2025-06-20T15:00:00-03:00,9.06,9.06,86510000:dH8
1,train,all,2025-06-23T07:00:00-03:00,2025-06-23T09:00:00-03:00,3,2025-06-23T08:00:00-03:00,2025-06-23T10:00:00-03:00,6.3,7.07,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-23T11:00:00-03:00,2025-06-23T11:00:00-03:00,1,2025-06-23T12:00:00-03:00,2025-06-23T12:00:00-03:00,8.11,8.11,86472600:dH4
1,train,all,2025-06-23T15:00:00-03:00,2025-06-23T15:00:00-03:00,1,2025-06-23T16:00:00-03:00,2025-06-23T16:00:00-03:00,10.36,10.36,86472600:dH8
1,train,all,2025-06-23T20:00:00-03:00,2025-06-23T21:00:00-03:00,2,2025-06-23T21:00:00-03:00,2025-06-23T22:00:00-03:00,11.4,11.41,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-23T23:00:00-03:00,2025-06-26T05:00:00-03:00,55,2025-06-24T00:00:00-03:00,2025-06-26T06:00:00-03:00,5.5,11.37,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-06-30T20:00:00-03:00,2025-07-02T22:00:00-03:00,51,2025-06-30T21:00:00-03:00,2025-07-02T23:00:00-03:00,5.51,10.1,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-07-07T03:00:00-03:00,2025-07-07T05:00:00-03:00,3,2025-07-07T04:00:00-03:00,2025-07-07T06:00:00-03:00,4.12,4.15,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-07-07T07:00:00-03:00,2025-07-07T07:00:00-03:00,1,2025-07-07T08:00:00-03:00,2025-07-07T08:00:00-03:00,4.04,4.04,86472600:dH4
1,train,all,2025-07-07T11:00:00-03:00,2025-07-07T11:00:00-03:00,1,2025-07-07T12:00:00-03:00,2025-07-07T12:00:00-03:00,3.86,3.86,86472600:dH8
1,train,all,2025-07-08T03:00:00-03:00,2025-07-08T03:00:00-03:00,1,2025-07-08T04:00:00-03:00,2025-07-08T04:00:00-03:00,3.44,3.44,86510000:dH0.5
1,train,all,2025-07-21T12:00:00-03:00,2025-07-21T13:00:00-03:00,2,2025-07-21T13:00:00-03:00,2025-07-21T14:00:00-03:00,1.82,1.87,86510000:dH1|86510000:dH2
1,train,all,2025-07-21T15:00:00-03:00,2025-07-21T15:00:00-03:00,1,2025-07-21T16:00:00-03:00,2025-07-21T16:00:00-03:00,1.77,1.77,86510000:dH4
1,train,all,2025-07-21T19:00:00-03:00,2025-07-21T19:00:00-03:00,1,2025-07-21T20:00:00-03:00,2025-07-21T20:00:00-03:00,1.74,1.74,86510000:dH8
1,train,all,2025-07-22T06:00:00-03:00,2025-07-23T04:00:00-03:00,23,2025-07-22T07:00:00-03:00,2025-07-23T05:00:00-03:00,1.3,2.32,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-07-23T06:00:00-03:00,2025-07-23T11:00:00-03:00,6,2025-07-23T07:00:00-03:00,2025-07-23T12:00:00-03:00,1.6,1.8,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-07-23T15:00:00-03:00,2025-07-23T15:00:00-03:00,1,2025-07-23T16:00:00-03:00,2025-07-23T16:00:00-03:00,1.36,1.36,86472600:dH8
1,train,all,2025-08-17T01:00:00-03:00,2025-08-17T02:00:00-03:00,2,2025-08-17T02:00:00-03:00,2025-08-17T03:00:00-03:00,1.67,2.07,86472600:dH1|86472600:dH2|86510000:dH1|86510000:dH2
1,train,all,2025-08-17T04:00:00-03:00,2025-08-17T04:00:00-03:00,1,2025-08-17T05:00:00-03:00,2025-08-17T05:00:00-03:00,2.64,2.64,86472600:dH4|86510000:dH4
1,train,all,2025-08-17T08:00:00-03:00,2025-08-17T08:00:00-03:00,1,2025-08-17T09:00:00-03:00,2025-08-17T09:00:00-03:00,2.69,2.69,86472600:dH8|86510000:dH8
1,train,all,2025-08-19T14:00:00-03:00,2025-08-19T14:00:00-03:00,1,2025-08-19T15:00:00-03:00,2025-08-19T15:00:00-03:00,1.53,1.53,86510000:dH0.5
1,train,all,2025-08-29T07:00:00-03:00,2025-08-29T07:00:00-03:00,1,2025-08-29T08:00:00-03:00,2025-08-29T08:00:00-03:00,2.21,2.21,86510000:dH0.5
1,train,all,2025-08-29T09:00:00-03:00,2025-08-29T09:00:00-03:00,1,2025-08-29T10:00:00-03:00,2025-08-29T10:00:00-03:00,2.08,2.08,86510000:dH0.5
1,train,all,2025-09-02T18:00:00-03:00,2025-09-02T19:00:00-03:00,2,2025-09-02T19:00:00-03:00,2025-09-02T20:00:00-03:00,1.72,1.81,86510000:dH1|86510000:dH2
1,train,all,2025-09-02T21:00:00-03:00,2025-09-02T21:00:00-03:00,1,2025-09-02T22:00:00-03:00,2025-09-02T22:00:00-03:00,1.54,1.54,86510000:dH4
1,train,all,2025-09-03T01:00:00-03:00,2025-09-03T01:00:00-03:00,1,2025-09-03T02:00:00-03:00,2025-09-03T02:00:00-03:00,1.3,1.3,86510000:dH8
1,train,all,2025-09-14T22:00:00-03:00,2025-09-14T22:00:00-03:00,1,2025-09-14T23:00:00-03:00,2025-09-14T23:00:00-03:00,2.78,2.78,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-09-15T00:00:00-03:00,2025-09-15T03:00:00-03:00,4,2025-09-15T01:00:00-03:00,2025-09-15T04:00:00-03:00,3.5,3.7,86472600:dH2|86472600:dH4|86500000:dH1|86500000:dH2|86500000:dH4|86510000:dH1|86510000:dH2|86510000:dH4
1,train,all,2025-09-15T06:00:00-03:00,2025-09-15T07:00:00-03:00,2,2025-09-15T07:00:00-03:00,2025-09-15T08:00:00-03:00,3.63,3.63,86472600:dH8|86500000:dH8|86510000:dH8
1,train,all,2025-09-19T23:00:00-03:00,2025-09-19T23:00:00-03:00,1,2025-09-20T00:00:00-03:00,2025-09-20T00:00:00-03:00,2.61,2.61,86510000:dH0.5
1,train,all,2025-09-28T20:00:00-03:00,2025-09-28T20:00:00-03:00,1,2025-09-28T21:00:00-03:00,2025-09-28T21:00:00-03:00,2.32,2.32,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,all,2025-09-28T23:00:00-03:00,2025-09-29T02:00:00-03:00,4,2025-09-29T00:00:00-03:00,2025-09-29T03:00:00-03:00,3.23,3.94,86472600:dH2|86472600:dH4|86500000:dH2|86500000:dH4|86510000:dH1|86510000:dH2|86510000:dH4
1,train,all,2025-09-29T04:00:00-03:00,2025-09-29T06:00:00-03:00,3,2025-09-29T05:00:00-03:00,2025-09-29T07:00:00-03:00,3.9,3.96,86472600:dH8|86500000:dH8|86510000:dH8
1,train,high_target_ge_7m,2025-06-17T22:00:00-03:00,2025-06-18T04:00:00-03:00,7,2025-06-17T23:00:00-03:00,2025-06-18T05:00:00-03:00,7.05,10.41,86472600:dH2|86472600:dH4|86472600:dH8
1,train,high_target_ge_7m,2025-06-20T07:00:00-03:00,2025-06-20T08:00:00-03:00,2,2025-06-20T08:00:00-03:00,2025-06-20T09:00:00-03:00,9.01,9.02,86510000:dH1|86510000:dH2
