horizon_h,phase,origin,target_time,base_m,target_m,high_target_ge_7m,missing_feature_indices,missing_features
1,train,2025-04-06T14:00:00-03:00,2025-04-06T15:00:00-03:00,1.15,1.14,False,15,86472600:dH2
1,train,2025-04-06T16:00:00-03:00,2025-04-06T17:00:00-03:00,1.14,1.13,False,16,86472600:dH4
1,train,2025-04-06T20:00:00-03:00,2025-04-06T21:00:00-03:00,1.09,1.07,False,17,86472600:dH8
1,train,2025-04-07T03:00:00-03:00,2025-04-07T04:00:00-03:00,1.02,1.02,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-07T04:00:00-03:00,2025-04-07T05:00:00-03:00,1.02,1.01,False,14,86472600:dH1
1,train,2025-04-07T05:00:00-03:00,2025-04-07T06:00:00-03:00,1.01,1.01,False,15,86472600:dH2
1,train,2025-04-07T07:00:00-03:00,2025-04-07T08:00:00-03:00,1.01,1.01,False,16,86472600:dH4
1,train,2025-04-07T10:00:00-03:00,2025-04-07T11:00:00-03:00,1.01,1.0,False,6|7|8|9|10|11,86472000:H|86472000:dH0.5|86472000:dH1|86472000:dH2|86472000:dH4|86472000:dH8
1,train,2025-04-07T11:00:00-03:00,2025-04-07T12:00:00-03:00,1.0,1.0,False,8|17,86472000:dH1|86472600:dH8
1,train,2025-04-07T12:00:00-03:00,2025-04-07T13:00:00-03:00,1.0,1.0,False,9,86472000:dH2
1,train,2025-04-07T14:00:00-03:00,2025-04-07T15:00:00-03:00,1.01,1.01,False,10,86472000:dH4
1,train,2025-04-07T18:00:00-03:00,2025-04-07T19:00:00-03:00,1.02,1.05,False,11,86472000:dH8
1,train,2025-04-14T07:00:00-03:00,2025-04-14T08:00:00-03:00,2.32,2.24,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-14T08:00:00-03:00,2025-04-14T09:00:00-03:00,2.26,2.16,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-14T09:00:00-03:00,2025-04-14T10:00:00-03:00,2.18,2.07,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-14T10:00:00-03:00,2025-04-14T11:00:00-03:00,2.09,2.0,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-14T11:00:00-03:00,2025-04-14T12:00:00-03:00,2.02,1.94,False,14|15|16,86472600:dH1|86472600:dH2|86472600:dH4
1,train,2025-04-14T12:00:00-03:00,2025-04-14T13:00:00-03:00,1.95,1.9,False,15|16,86472600:dH2|86472600:dH4
1,train,2025-04-14T13:00:00-03:00,2025-04-14T14:00:00-03:00,1.91,1.87,False,16,86472600:dH4
1,train,2025-04-14T14:00:00-03:00,2025-04-14T15:00:00-03:00,1.87,1.86,False,16,86472600:dH4
1,train,2025-04-14T15:00:00-03:00,2025-04-14T16:00:00-03:00,1.86,1.89,False,17,86472600:dH8
1,train,2025-04-14T16:00:00-03:00,2025-04-14T17:00:00-03:00,1.88,1.95,False,17,86472600:dH8
1,train,2025-04-14T17:00:00-03:00,2025-04-14T18:00:00-03:00,1.94,2.03,False,17,86472600:dH8
1,train,2025-04-14T18:00:00-03:00,2025-04-14T19:00:00-03:00,2.01,2.1,False,17,86472600:dH8
1,train,2025-04-15T00:00:00-03:00,2025-04-15T01:00:00-03:00,2.19,2.2,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-15T01:00:00-03:00,2025-04-15T02:00:00-03:00,2.2,2.23,False,14,86472600:dH1
1,train,2025-04-15T02:00:00-03:00,2025-04-15T03:00:00-03:00,2.21,2.27,False,15,86472600:dH2
1,train,2025-04-15T04:00:00-03:00,2025-04-15T05:00:00-03:00,2.32,2.38,False,16,86472600:dH4
1,train,2025-04-15T08:00:00-03:00,2025-04-15T09:00:00-03:00,2.43,2.44,False,17,86472600:dH8
1,train,2025-04-15T13:00:00-03:00,2025-04-15T14:00:00-03:00,2.29,2.21,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-15T14:00:00-03:00,2025-04-15T15:00:00-03:00,2.22,2.16,False,14,86472600:dH1
1,train,2025-04-15T15:00:00-03:00,2025-04-15T16:00:00-03:00,2.17,2.12,False,15,86472600:dH2
1,train,2025-04-15T17:00:00-03:00,2025-04-15T18:00:00-03:00,2.1,2.08,False,16,86472600:dH4
1,train,2025-04-15T21:00:00-03:00,2025-04-15T22:00:00-03:00,2.07,2.08,False,17,86472600:dH8
1,train,2025-04-16T07:00:00-03:00,2025-04-16T08:00:00-03:00,2.1,2.1,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-16T08:00:00-03:00,2025-04-16T09:00:00-03:00,2.1,2.12,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-16T09:00:00-03:00,2025-04-16T10:00:00-03:00,2.12,2.14,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-16T10:00:00-03:00,2025-04-16T11:00:00-03:00,2.14,2.16,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-16T11:00:00-03:00,2025-04-16T12:00:00-03:00,2.15,2.17,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-16T12:00:00-03:00,2025-04-16T13:00:00-03:00,2.17,2.18,False,14|15|16,86472600:dH1|86472600:dH2|86472600:dH4
1,train,2025-04-16T13:00:00-03:00,2025-04-16T14:00:00-03:00,2.18,2.19,False,15|16,86472600:dH2|86472600:dH4
1,train,2025-04-16T14:00:00-03:00,2025-04-16T15:00:00-03:00,2.19,2.19,False,16,86472600:dH4
1,train,2025-04-16T15:00:00-03:00,2025-04-16T16:00:00-03:00,2.19,2.19,False,16|17,86472600:dH4|86472600:dH8
1,train,2025-04-16T16:00:00-03:00,2025-04-16T17:00:00-03:00,2.19,2.2,False,17,86472600:dH8
1,train,2025-04-16T17:00:00-03:00,2025-04-16T18:00:00-03:00,2.2,2.2,False,17,86472600:dH8
1,train,2025-04-16T18:00:00-03:00,2025-04-16T19:00:00-03:00,2.2,2.2,False,17,86472600:dH8
1,train,2025-04-16T19:00:00-03:00,2025-04-16T20:00:00-03:00,2.2,2.21,False,17,86472600:dH8
1,train,2025-04-18T20:00:00-03:00,2025-04-18T21:00:00-03:00,1.16,1.14,False,1,86510000:dH0.5
1,train,2025-04-20T02:00:00-03:00,2025-04-20T03:00:00-03:00,1.15,1.14,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-20T03:00:00-03:00,2025-04-20T04:00:00-03:00,1.13,1.19,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-20T04:00:00-03:00,2025-04-20T05:00:00-03:00,1.17,1.45,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-20T05:00:00-03:00,2025-04-20T06:00:00-03:00,1.37,1.77,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-20T06:00:00-03:00,2025-04-20T07:00:00-03:00,1.7,1.94,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-20T07:00:00-03:00,2025-04-20T08:00:00-03:00,1.91,1.97,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-20T08:00:00-03:00,2025-04-20T09:00:00-03:00,1.97,1.91,False,14|15|16,86472600:dH1|86472600:dH2|86472600:dH4
1,train,2025-04-20T09:00:00-03:00,2025-04-20T10:00:00-03:00,1.93,1.82,False,15|16,86472600:dH2|86472600:dH4
1,train,2025-04-20T10:00:00-03:00,2025-04-20T11:00:00-03:00,1.85,1.71,False,16|17,86472600:dH4|86472600:dH8
1,train,2025-04-20T11:00:00-03:00,2025-04-20T12:00:00-03:00,1.74,1.6,False,16|17,86472600:dH4|86472600:dH8
1,train,2025-04-20T12:00:00-03:00,2025-04-20T13:00:00-03:00,1.63,1.51,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-20T13:00:00-03:00,2025-04-20T14:00:00-03:00,1.53,1.42,False,14|17,86472600:dH1|86472600:dH8
1,train,2025-04-20T14:00:00-03:00,2025-04-20T15:00:00-03:00,1.44,1.34,False,15|17,86472600:dH2|86472600:dH8
1,train,2025-04-20T15:00:00-03:00,2025-04-20T16:00:00-03:00,1.36,1.28,False,17,86472600:dH8
1,train,2025-04-20T16:00:00-03:00,2025-04-20T17:00:00-03:00,1.3,1.23,False,16,86472600:dH4
1,train,2025-04-20T20:00:00-03:00,2025-04-20T21:00:00-03:00,1.12,1.09,False,17,86472600:dH8
1,train,2025-04-21T09:00:00-03:00,2025-04-21T10:00:00-03:00,1.49,1.49,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-21T10:00:00-03:00,2025-04-21T11:00:00-03:00,1.49,1.45,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-21T11:00:00-03:00,2025-04-21T12:00:00-03:00,1.46,1.4,False,14|15,86472600:dH1|86472600:dH2
1,train,2025-04-21T12:00:00-03:00,2025-04-21T13:00:00-03:00,1.41,1.35,False,15,86472600:dH2
1,train,2025-04-21T13:00:00-03:00,2025-04-21T14:00:00-03:00,1.36,1.31,False,16,86472600:dH4
1,train,2025-04-21T14:00:00-03:00,2025-04-21T15:00:00-03:00,1.32,1.26,False,16,86472600:dH4
1,train,2025-04-21T17:00:00-03:00,2025-04-21T18:00:00-03:00,1.2,1.16,False,17,86472600:dH8
1,train,2025-04-21T18:00:00-03:00,2025-04-21T19:00:00-03:00,1.17,1.13,False,17,86472600:dH8
1,train,2025-04-22T08:00:00-03:00,2025-04-22T09:00:00-03:00,1.62,1.58,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-22T09:00:00-03:00,2025-04-22T10:00:00-03:00,1.59,1.54,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-22T10:00:00-03:00,2025-04-22T11:00:00-03:00,1.55,1.48,False,14|15,86472600:dH1|86472600:dH2
1,train,2025-04-22T11:00:00-03:00,2025-04-22T12:00:00-03:00,1.49,1.42,False,15,86472600:dH2
1,train,2025-04-22T12:00:00-03:00,2025-04-22T13:00:00-03:00,1.43,1.36,False,16,86472600:dH4
1,train,2025-04-22T13:00:00-03:00,2025-04-22T14:00:00-03:00,1.37,1.3,False,16,86472600:dH4
1,train,2025-04-22T16:00:00-03:00,2025-04-22T17:00:00-03:00,1.21,1.16,False,17,86472600:dH8
1,train,2025-04-22T17:00:00-03:00,2025-04-22T18:00:00-03:00,1.17,1.13,False,17,86472600:dH8
1,train,2025-04-24T08:00:00-03:00,2025-04-24T09:00:00-03:00,1.44,1.4,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-24T09:00:00-03:00,2025-04-24T10:00:00-03:00,1.41,1.36,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-24T10:00:00-03:00,2025-04-24T11:00:00-03:00,1.37,1.3,False,14|15,86472600:dH1|86472600:dH2
1,train,2025-04-24T11:00:00-03:00,2025-04-24T12:00:00-03:00,1.32,1.25,False,15,86472600:dH2
1,train,2025-04-24T12:00:00-03:00,2025-04-24T13:00:00-03:00,1.27,1.21,False,16,86472600:dH4
1,train,2025-04-24T13:00:00-03:00,2025-04-24T14:00:00-03:00,1.22,1.16,False,16,86472600:dH4
1,train,2025-04-24T16:00:00-03:00,2025-04-24T17:00:00-03:00,1.1,1.06,False,17,86472600:dH8
1,train,2025-04-24T17:00:00-03:00,2025-04-24T18:00:00-03:00,1.06,1.03,False,17,86472600:dH8
1,train,2025-04-26T11:00:00-03:00,2025-04-26T12:00:00-03:00,1.26,1.2,False,19,86500000:dH0.5
1,train,2025-04-28T05:00:00-03:00,2025-04-28T06:00:00-03:00,0.98,1.06,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-28T06:00:00-03:00,2025-04-28T07:00:00-03:00,1.03,1.22,False,14,86472600:dH1
1,train,2025-04-28T07:00:00-03:00,2025-04-28T08:00:00-03:00,1.17,1.4,False,15,86472600:dH2
1,train,2025-04-28T09:00:00-03:00,2025-04-28T10:00:00-03:00,1.49,1.53,False,16,86472600:dH4
1,train,2025-04-28T13:00:00-03:00,2025-04-28T14:00:00-03:00,1.39,1.32,False,17,86472600:dH8
1,train,2025-04-28T14:00:00-03:00,2025-04-28T15:00:00-03:00,1.33,1.26,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-28T15:00:00-03:00,2025-04-28T16:00:00-03:00,1.27,1.2,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-28T16:00:00-03:00,2025-04-28T17:00:00-03:00,1.21,1.15,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-28T17:00:00-03:00,2025-04-28T18:00:00-03:00,1.17,1.11,False,14|15,86472600:dH1|86472600:dH2
1,train,2025-04-28T18:00:00-03:00,2025-04-28T19:00:00-03:00,1.12,1.08,False,15|16,86472600:dH2|86472600:dH4
1,train,2025-04-28T19:00:00-03:00,2025-04-28T20:00:00-03:00,1.09,1.05,False,16,86472600:dH4
1,train,2025-04-28T20:00:00-03:00,2025-04-28T21:00:00-03:00,1.06,1.03,False,16,86472600:dH4
1,train,2025-04-28T21:00:00-03:00,2025-04-28T22:00:00-03:00,1.03,1.01,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-28T22:00:00-03:00,2025-04-28T23:00:00-03:00,1.02,1.0,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-28T23:00:00-03:00,2025-04-29T00:00:00-03:00,1.0,0.99,False,14|15|17,86472600:dH1|86472600:dH2|86472600:dH8
1,train,2025-04-29T00:00:00-03:00,2025-04-29T01:00:00-03:00,0.99,0.98,False,15|17,86472600:dH2|86472600:dH8
1,train,2025-04-29T01:00:00-03:00,2025-04-29T02:00:00-03:00,0.98,0.97,False,16,86472600:dH4
1,train,2025-04-29T02:00:00-03:00,2025-04-29T03:00:00-03:00,0.97,0.97,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-29T03:00:00-03:00,2025-04-29T04:00:00-03:00,0.97,0.97,False,14,86472600:dH1
1,train,2025-04-29T04:00:00-03:00,2025-04-29T05:00:00-03:00,0.97,1.03,False,15,86472600:dH2
1,train,2025-04-29T05:00:00-03:00,2025-04-29T06:00:00-03:00,1.0,1.21,False,17,86472600:dH8
1,train,2025-04-29T06:00:00-03:00,2025-04-29T07:00:00-03:00,1.15,1.49,False,16|17,86472600:dH4|86472600:dH8
1,train,2025-04-29T10:00:00-03:00,2025-04-29T11:00:00-03:00,1.7,1.63,False,17,86472600:dH8
1,train,2025-04-29T14:00:00-03:00,2025-04-29T15:00:00-03:00,1.41,1.32,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-29T15:00:00-03:00,2025-04-29T16:00:00-03:00,1.34,1.25,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-29T16:00:00-03:00,2025-04-29T17:00:00-03:00,1.27,1.2,False,14|15,86472600:dH1|86472600:dH2
1,train,2025-04-29T17:00:00-03:00,2025-04-29T18:00:00-03:00,1.21,1.15,False,15,86472600:dH2
1,train,2025-04-29T18:00:00-03:00,2025-04-29T19:00:00-03:00,1.16,1.11,False,16,86472600:dH4
1,train,2025-04-29T19:00:00-03:00,2025-04-29T20:00:00-03:00,1.12,1.08,False,16,86472600:dH4
1,train,2025-04-29T22:00:00-03:00,2025-04-29T23:00:00-03:00,1.03,1.01,False,17,86472600:dH8
1,train,2025-04-29T23:00:00-03:00,2025-04-30T00:00:00-03:00,1.01,0.99,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-30T00:00:00-03:00,2025-04-30T01:00:00-03:00,1.0,0.98,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-30T01:00:00-03:00,2025-04-30T02:00:00-03:00,0.98,0.97,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-30T02:00:00-03:00,2025-04-30T03:00:00-03:00,0.98,0.97,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-30T03:00:00-03:00,2025-04-30T04:00:00-03:00,0.97,0.99,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
1,train,2025-04-30T04:00:00-03:00,2025-04-30T05:00:00-03:00,0.98,1.05,False,12|13|14|15|16|17,86472600:H|86472600:dH0.5|86472600:dH1|86472600:dH2|86472600:dH4|86472600:dH8
