horizon_h,phase,subset,feature_index,feature,excluded_missing
6,today,all,22,86500000:dH4,0
6,today,all,23,86500000:dH8,0
6,today,high_target_ge_7m,0,86510000:H,0
6,today,high_target_ge_7m,1,86510000:dH0.5,0
6,today,high_target_ge_7m,2,86510000:dH1,0
6,today,high_target_ge_7m,3,86510000:dH2,0
6,today,high_target_ge_7m,4,86510000:dH4,0
6,today,high_target_ge_7m,5,86510000:dH8,0
6,today,high_target_ge_7m,6,86472000:H,0
6,today,high_target_ge_7m,7,86472000:dH0.5,0
6,today,high_target_ge_7m,8,86472000:dH1,0
6,today,high_target_ge_7m,9,86472000:dH2,0
6,today,high_target_ge_7m,10,86472000:dH4,0
6,today,high_target_ge_7m,11,86472000:dH8,0
6,today,high_target_ge_7m,12,86472600:H,0
6,today,high_target_ge_7m,13,86472600:dH0.5,0
6,today,high_target_ge_7m,14,86472600:dH1,0
6,today,high_target_ge_7m,15,86472600:dH2,0
6,today,high_target_ge_7m,16,86472600:dH4,0
6,today,high_target_ge_7m,17,86472600:dH8,0
6,today,high_target_ge_7m,18,86500000:H,0
6,today,high_target_ge_7m,19,86500000:dH0.5,0
6,today,high_target_ge_7m,20,86500000:dH1,0
6,today,high_target_ge_7m,21,86500000:dH2,0
6,today,high_target_ge_7m,22,86500000:dH4,0
6,today,high_target_ge_7m,23,86500000:dH8,0
12,train,all,0,86510000:H,0
12,train,all,1,86510000:dH0.5,10
12,train,all,2,86510000:dH1,11
12,train,all,3,86510000:dH2,14
12,train,all,4,86510000:dH4,17
12,train,all,5,86510000:dH8,21
12,train,all,6,86472000:H,2
12,train,all,7,86472000:dH0.5,2
12,train,all,8,86472000:dH1,4
12,train,all,9,86472000:dH2,4
12,train,all,10,86472000:dH4,4
12,train,all,11,86472000:dH8,5
12,train,all,12,86472600:H,363
12,train,all,13,86472600:dH0.5,364
12,train,all,14,86472600:dH1,422
12,train,all,15,86472600:dH2,463
12,train,all,16,86472600:dH4,498
12,train,all,17,86472600:dH8,548
12,train,all,18,86500000:H,1
12,train,all,19,86500000:dH0.5,2
12,train,all,20,86500000:dH1,3
12,train,all,21,86500000:dH2,4
12,train,all,22,86500000:dH4,4
12,train,all,23,86500000:dH8,5
12,train,high_target_ge_7m,0,86510000:H,0
12,train,high_target_ge_7m,1,86510000:dH0.5,0
12,train,high_target_ge_7m,2,86510000:dH1,1
12,train,high_target_ge_7m,3,86510000:dH2,1
12,train,high_target_ge_7m,4,86510000:dH4,1
12,train,high_target_ge_7m,5,86510000:dH8,1
12,train,high_target_ge_7m,6,86472000:H,0
12,train,high_target_ge_7m,7,86472000:dH0.5,0
12,train,high_target_ge_7m,8,86472000:dH1,0
12,train,high_target_ge_7m,9,86472000:dH2,0
12,train,high_target_ge_7m,10,86472000:dH4,0
12,train,high_target_ge_7m,11,86472000:dH8,0
12,train,high_target_ge_7m,12,86472600:H,42
12,train,high_target_ge_7m,13,86472600:dH0.5,42
12,train,high_target_ge_7m,14,86472600:dH1,44
12,train,high_target_ge_7m,15,86472600:dH2,45
12,train,high_target_ge_7m,16,86472600:dH4,46
12,train,high_target_ge_7m,17,86472600:dH8,51
12,train,high_target_ge_7m,18,86500000:H,0
12,train,high_target_ge_7m,19,86500000:dH0.5,0
12,train,high_target_ge_7m,20,86500000:dH1,0
12,train,high_target_ge_7m,21,86500000:dH2,0
12,train,high_target_ge_7m,22,86500000:dH4,0
12,train,high_target_ge_7m,23,86500000:dH8,0
12,validation,all,0,86510000:H,0
12,validation,all,1,86510000:dH0.5,29
12,validation,all,2,86510000:dH1,39
12,validation,all,3,86510000:dH2,38
12,validation,all,4,86510000:dH4,38
12,validation,all,5,86510000:dH8,39
12,validation,all,6,86472000:H,86
12,validation,all,7,86472000:dH0.5,89
12,validation,all,8,86472000:dH1,100
12,validation,all,9,86472000:dH2,110
12,validation,all,10,86472000:dH4,119
12,validation,all,11,86472000:dH8,132
12,validation,all,12,86472600:H,29
12,validation,all,13,86472600:dH0.5,29
12,validation,all,14,86472600:dH1,50
12,validation,all,15,86472600:dH2,61
12,validation,all,16,86472600:dH4,62
12,validation,all,17,86472600:dH8,62
12,validation,all,18,86500000:H,271
12,validation,all,19,86500000:dH0.5,275
12,validation,all,20,86500000:dH1,281
12,validation,all,21,86500000:dH2,284
12,validation,all,22,86500000:dH4,287
12,validation,all,23,86500000:dH8,291
12,validation,high_target_ge_7m,0,86510000:H,0
12,validation,high_target_ge_7m,1,86510000:dH0.5,0
12,validation,high_target_ge_7m,2,86510000:dH1,0
12,validation,high_target_ge_7m,3,86510000:dH2,0
12,validation,high_target_ge_7m,4,86510000:dH4,0
12,validation,high_target_ge_7m,5,86510000:dH8,0
12,validation,high_target_ge_7m,6,86472000:H,0
12,validation,high_target_ge_7m,7,86472000:dH0.5,0
12,validation,high_target_ge_7m,8,86472000:dH1,0
12,validation,high_target_ge_7m,9,86472000:dH2,0
12,validation,high_target_ge_7m,10,86472000:dH4,0
12,validation,high_target_ge_7m,11,86472000:dH8,0
12,validation,high_target_ge_7m,12,86472600:H,0
12,validation,high_target_ge_7m,13,86472600:dH0.5,0
12,validation,high_target_ge_7m,14,86472600:dH1,0
12,validation,high_target_ge_7m,15,86472600:dH2,0
12,validation,high_target_ge_7m,16,86472600:dH4,0
12,validation,high_target_ge_7m,17,86472600:dH8,0
12,validation,high_target_ge_7m,18,86500000:H,0
12,validation,high_target_ge_7m,19,86500000:dH0.5,0
12,validation,high_target_ge_7m,20,86500000:dH1,0
12,validation,high_target_ge_7m,21,86500000:dH2,0
12,validation,high_target_ge_7m,22,86500000:dH4,0
12,validation,high_target_ge_7m,23,86500000:dH8,0
12,test,all,0,86510000:H,0
12,test,all,1,86510000:dH0.5,1
12,test,all,2,86510000:dH1,5
12,test,all,3,86510000:dH2,7
12,test,all,4,86510000:dH4,10
12,test,all,5,86510000:dH8,14
12,test,all,6,86472000:H,0
12,test,all,7,86472000:dH0.5,1
12,test,all,8,86472000:dH1,1
12,test,all,9,86472000:dH2,2
12,test,all,10,86472000:dH4,4
12,test,all,11,86472000:dH8,8
12,test,all,12,86472600:H,13
12,test,all,13,86472600:dH0.5,14
12,test,all,14,86472600:dH1,20
12,test,all,15,86472600:dH2,25
12,test,all,16,86472600:dH4,30
12,test,all,17,86472600:dH8,37
12,test,all,18,86500000:H,513
12,test,all,19,86500000:dH0.5,514
12,test,all,20,86500000:dH1,515
12,test,all,21,86500000:dH2,517
12,test,all,22,86500000:dH4,521
12,test,all,23,86500000:dH8,525
12,test,high_target_ge_7m,0,86510000:H,0
12,test,high_target_ge_7m,1,86510000:dH0.5,0
12,test,high_target_ge_7m,2,86510000:dH1,1
12,test,high_target_ge_7m,3,86510000:dH2,1
12,test,high_target_ge_7m,4,86510000:dH4,1
12,test,high_target_ge_7m,5,86510000:dH8,1
12,test,high_target_ge_7m,6,86472000:H,0
12,test,high_target_ge_7m,7,86472000:dH0.5,0
12,test,high_target_ge_7m,8,86472000:dH1,0
12,test,high_target_ge_7m,9,86472000:dH2,0
12,test,high_target_ge_7m,10,86472000:dH4,0
12,test,high_target_ge_7m,11,86472000:dH8,0
12,test,high_target_ge_7m,12,86472600:H,0
12,test,high_target_ge_7m,13,86472600:dH0.5,0
12,test,high_target_ge_7m,14,86472600:dH1,0
12,test,high_target_ge_7m,15,86472600:dH2,0
12,test,high_target_ge_7m,16,86472600:dH4,0
12,test,high_target_ge_7m,17,86472600:dH8,0
12,test,high_target_ge_7m,18,86500000:H,87
