source,lead_h,family,phase,training_n,weighted_mean_residual_m3_s_before_clipping
carreiro,8,reference_delta,validation,4376,-8.321598539237918e-15
carreiro,8,reference_delta,test,10620,3.3754125253387056e-13
carreiro,8,reference_delta,current,12295,1.1706328825734468e-13
carreiro,8,weighted_delta,validation,4376,-8.321598539237918e-15
carreiro,8,weighted_delta,test,10620,3.3754125253387056e-13
carreiro,8,weighted_delta,current,12295,1.1706328825734468e-13
carreiro,8,reference_absolute,validation,4376,1.7658026168626806e-14
carreiro,8,reference_absolute,test,10620,1.0009151908635686e-12
carreiro,8,reference_absolute,current,12295,-2.2993671491708e-13
carreiro,8,weighted_absolute,validation,4376,1.7658026168626806e-14
carreiro,8,weighted_absolute,test,10620,1.0009151908635686e-12
carreiro,8,weighted_absolute,current,12295,-2.2993671491708e-13
carreiro,9,reference_delta,validation,4375,-5.887354096297973e-15
carreiro,9,reference_delta,test,10617,3.640720055133225e-13
carreiro,9,reference_delta,current,12290,7.931454968436839e-14
carreiro,9,weighted_delta,validation,4375,-5.887354096297973e-15
carreiro,9,weighted_delta,test,10617,3.640720055133225e-13
carreiro,9,weighted_delta,current,12290,7.931454968436839e-14
carreiro,9,reference_absolute,validation,4375,2.4361465226060576e-14
carreiro,9,reference_absolute,test,10617,9.85805264928537e-13
carreiro,9,reference_absolute,current,12290,-2.6605604980683573e-13
carreiro,9,weighted_absolute,validation,4375,2.4361465226060576e-14
carreiro,9,weighted_absolute,test,10617,9.85805264928537e-13
carreiro,9,weighted_absolute,current,12290,-2.6605604980683573e-13
carreiro,10,reference_delta,validation,4374,-1.9290569243601257e-15
carreiro,10,reference_delta,test,10616,3.614290479563434e-13
carreiro,10,reference_delta,current,12287,2.804697866392517e-13
carreiro,10,weighted_delta,validation,4374,-1.9290569243601257e-15
carreiro,10,weighted_delta,test,10616,3.614290479563434e-13
carreiro,10,weighted_delta,current,12287,2.804697866392517e-13
carreiro,10,reference_absolute,validation,4374,7.310110450206792e-15
carreiro,10,reference_absolute,test,10616,9.999536993458832e-13
carreiro,10,reference_absolute,current,12287,-5.797339404244328e-14
carreiro,10,weighted_absolute,validation,4374,7.310110450206792e-15
carreiro,10,weighted_absolute,test,10616,9.999536993458832e-13
carreiro,10,weighted_absolute,current,12287,-5.797339404244328e-14
carreiro,11,reference_delta,validation,4373,-1.2186303494627833e-15
carreiro,11,reference_delta,test,10615,3.6648341764357497e-13
carreiro,11,reference_delta,current,12284,2.917453535892222e-13
carreiro,11,weighted_delta,validation,4373,-1.2186303494627833e-15
carreiro,11,weighted_delta,test,10615,3.6648341764357497e-13
carreiro,11,weighted_delta,current,12284,2.917453535892222e-13
carreiro,11,reference_absolute,validation,4373,5.483836572582525e-15
carreiro,11,reference_absolute,test,10615,9.896725716639738e-13
carreiro,11,reference_absolute,current,12284,-3.32596933459832e-14
carreiro,11,weighted_absolute,validation,4373,5.483836572582525e-15
carreiro,11,weighted_absolute,test,10615,9.896725716639738e-13
carreiro,11,weighted_absolute,current,12284,-3.32596933459832e-14
