horizon_h,subset,population,family,observed_targets,n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
5,high,common,reference,237,235,131,0.5574468085106383,0.6633782520447192,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
5,high,common,candidate,237,235,134,0.5702127659574469,0.6030872611485799,0.2625909680310983,1.3980561593591398,1.8535309732831855,3.210054029360098
6,all,individual,reference,1939,1926,1458,0.7570093457943925,0.3640820566980719,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209
6,all,individual,candidate,1939,1926,1460,0.7580477673935618,0.35469339422836504,0.03125812067812424,0.7184009915197815,1.4545861241913434,3.1659842308616195
6,all,common,reference,1939,1926,1458,0.7570093457943925,0.3640820566980719,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209
6,all,common,candidate,1939,1926,1460,0.7580477673935618,0.35469339422836504,0.03125812067812424,0.7184009915197815,1.4545861241913434,3.1659842308616195
6,high,individual,reference,237,235,115,0.48936170212765956,0.7578530200612832,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
6,high,individual,candidate,237,235,117,0.4978723404255319,0.6809059395648773,0.2805777341659823,1.580824497258046,2.5180026680936933,3.1659842308616195
6,high,common,reference,237,235,115,0.48936170212765956,0.7578530200612832,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
6,high,common,candidate,237,235,117,0.4978723404255319,0.6809059395648773,0.2805777341659823,1.580824497258046,2.5180026680936933,3.1659842308616195
7,all,individual,reference,1938,1924,1403,0.7292099792099792,0.3982879939194406,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857
7,all,individual,candidate,1938,1924,1404,0.7297297297297297,0.38786714274494893,0.03862442847438576,0.7740276241276297,1.5975724171221204,3.480506097726897
7,all,common,reference,1938,1924,1403,0.7292099792099792,0.3982879939194406,0.04104059324641741,0.7794450653526324,1.6540309275445646,4.913469515100857
7,all,common,candidate,1938,1924,1404,0.7297297297297297,0.38786714274494893,0.03862442847438576,0.7740276241276297,1.5975724171221204,3.480506097726897
7,high,individual,reference,237,235,108,0.4595744680851064,0.8392207978107249,0.31202355904855916,1.8457393398682296,3.196858436638674,4.913469515100857
7,high,individual,candidate,237,235,109,0.46382978723404256,0.7539028503225469,0.292241852574564,1.715855082009389,2.8396230424418456,3.480506097726897
7,high,common,reference,237,235,108,0.4595744680851064,0.8392207978107249,0.31202355904855916,1.8457393398682296,3.196858436638674,4.913469515100857
7,high,common,candidate,237,235,109,0.46382978723404256,0.7539028503225469,0.292241852574564,1.715855082009389,2.8396230424418456,3.480506097726897
8,all,individual,reference,1937,1922,1324,0.6888657648283039,0.4321794697726589,0.04898294666960936,0.8510421647907126,1.7878753686603068,5.290344913970436
8,all,individual,candidate,1937,1922,1324,0.6888657648283039,0.41990117837488833,0.04637051158056826,0.8430977395502594,1.7447628980636698,4.128088884426527
8,all,common,reference,1937,1922,1324,0.6888657648283039,0.4321794697726589,0.04898294666960936,0.8510421647907126,1.7878753686603068,5.290344913970436
8,all,common,candidate,1937,1922,1324,0.6888657648283039,0.41990117837488833,0.04637051158056826,0.8430977395502594,1.7447628980636698,4.128088884426527
8,high,individual,reference,237,235,95,0.40425531914893614,0.921814234803545,0.31487374781112565,1.9641062787691015,3.9474171217206284,5.290344913970436
8,high,individual,candidate,237,235,95,0.40425531914893614,0.8213934855843322,0.29350736380628734,1.8351724977427277,2.9048742280252715,4.128088884426527
8,high,common,reference,237,235,95,0.40425531914893614,0.921814234803545,0.31487374781112565,1.9641062787691015,3.9474171217206284,5.290344913970436
8,high,common,candidate,237,235,95,0.40425531914893614,0.8213934855843322,0.29350736380628734,1.8351724977427277,2.9048742280252715,4.128088884426527
9,all,individual,reference,1936,1920,1281,0.6671875,0.4687230438096331,0.052348523595755876,0.9158260273911826,1.9023064949758315,6.286673602768847
9,all,individual,candidate,1936,1920,1281,0.6671875,0.45132836839170515,0.052809772555945655,0.91003514270475,1.8013324132655955,4.609121552424511
9,all,common,reference,1936,1920,1281,0.6671875,0.4687230438096331,0.052348523595755876,0.9158260273911826,1.9023064949758315,6.286673602768847
9,all,common,candidate,1936,1920,1281,0.6671875,0.45132836839170515,0.052809772555945655,0.91003514270475,1.8013324132655955,4.609121552424511
9,high,individual,reference,237,235,92,0.39148936170212767,1.032789204510671,0.27204567129823093,2.136672778659753,4.722998485744052,6.286673602768847
9,high,individual,candidate,237,235,92,0.39148936170212767,0.8906710053514297,0.2758141734410581,1.9866657583014158,2.987427957361016,4.609121552424511
9,high,common,reference,237,235,92,0.39148936170212767,1.032789204510671,0.27204567129823093,2.136672778659753,4.722998485744052,6.286673602768847
9,high,common,candidate,237,235,92,0.39148936170212767,0.8906710053514297,0.2758141734410581,1.9866657583014158,2.987427957361016,4.609121552424511
10,all,individual,reference,1935,1918,1241,0.6470281543274244,0.5007753468087669,0.057222413795949466,0.9745580050832435,2.0298554040399996,7.189303791286582
10,all,individual,candidate,1935,1918,1242,0.6475495307612096,0.4808749547731785,0.058022106990293226,0.968794787582937,1.8912547812093454,5.106731355608688
10,all,common,reference,1935,1918,1241,0.6470281543274244,0.5007753468087669,0.057222413795949466,0.9745580050832435,2.0298554040399996,7.189303791286582
10,all,common,candidate,1935,1918,1242,0.6475495307612096,0.4808749547731785,0.058022106990293226,0.968794787582937,1.8912547812093454,5.106731355608688
10,high,individual,reference,237,235,88,0.37446808510638296,1.1327552675526111,0.23895508211254737,2.2789270847601975,5.226611203636839,7.189303791286582
10,high,individual,candidate,237,235,89,0.37872340425531914,0.9703341955344887,0.24548193975829763,2.1258324516444755,3.2606914518579657,5.106731355608688
10,high,common,reference,237,235,88,0.37446808510638296,1.1327552675526111,0.23895508211254737,2.2789270847601975,5.226611203636839,7.189303791286582
10,high,common,candidate,237,235,89,0.37872340425531914,0.9703341955344887,0.24548193975829763,2.1258324516444755,3.2606914518579657,5.106731355608688
11,all,individual,reference,1934,1916,1214,0.6336116910229646,0.5307551886540341,0.06094497638568482,1.036460122050061,2.16195107855498,8.086268435347241
11,all,individual,candidate,1934,1916,1214,0.6336116910229646,0.5087204160132651,0.06207637292506455,1.0306768225416991,2.0273823678027,5.451894885317248
11,all,common,reference,1934,1916,1214,0.6336116910229646,0.5307551886540341,0.06094497638568482,1.036460122050061,2.16195107855498,8.086268435347241
