origin,horizon_h,family,recomputed_m,saved_m,difference_m
2026-07-22T09:00:00-03:00,7,candidate,19.53844974129278,19.53844974129278,0.0
2026-07-22T09:00:00-03:00,8,reference,13.827191144408248,13.82719114440825,-1.7763568394002505e-15
2026-07-22T09:00:00-03:00,8,candidate,19.518522427741598,19.518522427741598,0.0
2026-07-22T09:00:00-03:00,9,reference,12.406666289833186,12.406666289833185,1.7763568394002505e-15
2026-07-22T09:00:00-03:00,9,candidate,19.215567389256293,19.21556738925629,3.552713678800501e-15
2026-07-22T09:00:00-03:00,10,reference,11.24069620871342,11.240696208713418,1.7763568394002505e-15
2026-07-22T09:00:00-03:00,10,candidate,19.02604571123735,19.026045711237355,-3.552713678800501e-15
2026-07-22T09:00:00-03:00,11,reference,10.069712036368175,10.069712036368175,0.0
2026-07-22T09:00:00-03:00,11,candidate,18.78750034815002,18.78750034815002,0.0
2026-07-22T09:00:00-03:00,12,reference,8.751684352869805,8.751684352869807,-1.7763568394002505e-15
2026-07-22T09:00:00-03:00,12,candidate,18.5289765963728,18.5289765963728,0.0
2026-07-22T11:00:00-03:00,1,reference,19.160696413184535,19.160696413184535,0.0
2026-07-22T11:00:00-03:00,1,candidate,19.230670391251035,19.230670391251035,0.0
2026-07-22T11:00:00-03:00,2,reference,19.772014480524728,19.772014480524728,0.0
2026-07-22T11:00:00-03:00,2,candidate,19.348115809733702,19.348115809733702,0.0
2026-07-22T11:00:00-03:00,3,reference,20.417805972216527,20.41780597221653,-3.552713678800501e-15
2026-07-22T11:00:00-03:00,3,candidate,19.390746292963566,19.390746292963573,-7.105427357601002e-15
2026-07-22T11:00:00-03:00,4,reference,21.242218295587655,21.242218295587662,-7.105427357601002e-15
2026-07-22T11:00:00-03:00,4,candidate,19.44647553999177,19.446475539991773,-3.552713678800501e-15
2026-07-22T11:00:00-03:00,5,reference,21.943917919827715,21.943917919827715,0.0
2026-07-22T11:00:00-03:00,5,candidate,19.58639598197577,19.586395981975773,-3.552713678800501e-15
2026-07-22T11:00:00-03:00,6,reference,22.606606526702272,22.60660652670227,3.552713678800501e-15
2026-07-22T11:00:00-03:00,6,candidate,19.67560199908416,19.675601999084158,3.552713678800501e-15
2026-07-22T11:00:00-03:00,7,reference,23.045091188035883,23.045091188035887,-3.552713678800501e-15
2026-07-22T11:00:00-03:00,7,candidate,19.5125363185581,19.512536318558105,-3.552713678800501e-15
2026-07-22T11:00:00-03:00,8,reference,23.720344913970436,23.720344913970436,0.0
2026-07-22T11:00:00-03:00,8,candidate,19.45288060227662,19.452880602276625,-7.105427357601002e-15
2026-07-22T11:00:00-03:00,9,reference,24.39667360276884,24.396673602768846,-7.105427357601002e-15
2026-07-22T11:00:00-03:00,9,candidate,19.343626292808754,19.34362629280876,-7.105427357601002e-15
2026-07-22T11:00:00-03:00,10,reference,24.91500759200787,24.91500759200787,0.0
2026-07-22T11:00:00-03:00,10,candidate,19.173913301601416,19.173913301601424,-7.105427357601002e-15
2026-07-22T11:00:00-03:00,11,reference,25.212477938219866,25.212477938219866,0.0
2026-07-22T11:00:00-03:00,11,candidate,18.936681131133117,18.936681131133113,3.552713678800501e-15
2026-07-22T11:00:00-03:00,12,reference,25.49415895814758,25.49415895814758,0.0
2026-07-22T11:00:00-03:00,12,candidate,18.65677074750995,18.656770747509952,-3.552713678800501e-15
2026-08-13T09:00:00-03:00,1,reference,8.784942320149979,8.784942320149979,0.0
2026-08-13T09:00:00-03:00,1,candidate,8.784942320149979,8.784942320149979,0.0
2026-08-13T09:00:00-03:00,2,reference,8.99206319561982,8.99206319561982,0.0
2026-08-13T09:00:00-03:00,2,candidate,8.99206319561982,8.99206319561982,0.0
2026-08-13T09:00:00-03:00,3,reference,9.170371340349437,9.170371340349437,0.0
2026-08-13T09:00:00-03:00,3,candidate,9.170371340349437,9.170371340349437,0.0
2026-08-13T09:00:00-03:00,4,reference,9.333462701049843,9.333462701049843,0.0
2026-08-13T09:00:00-03:00,4,candidate,9.333462701049843,9.333462701049843,0.0
2026-08-13T09:00:00-03:00,5,reference,9.459925585037023,9.459925585037022,1.7763568394002505e-15
2026-08-13T09:00:00-03:00,5,candidate,9.459925585037023,9.459925585037022,1.7763568394002505e-15
2026-08-13T09:00:00-03:00,6,reference,9.539445347007076,9.539445347007076,0.0
2026-08-13T09:00:00-03:00,6,candidate,9.539445347007076,9.539445347007076,0.0
2026-08-13T09:00:00-03:00,7,reference,9.59583564978569,9.59583564978569,0.0
2026-08-13T09:00:00-03:00,7,candidate,9.59583564978569,9.59583564978569,0.0
2026-08-13T09:00:00-03:00,8,reference,9.618648907294737,9.618648907294737,0.0
2026-08-13T09:00:00-03:00,8,candidate,9.618648907294737,9.618648907294737,0.0
2026-08-13T09:00:00-03:00,9,reference,9.617097496904933,9.61709749690493,1.7763568394002505e-15
2026-08-13T09:00:00-03:00,9,candidate,9.617097496904933,9.61709749690493,1.7763568394002505e-15
2026-08-13T09:00:00-03:00,10,reference,9.624351456528412,9.624351456528412,0.0
2026-08-13T09:00:00-03:00,10,candidate,9.624351456528412,9.624351456528412,0.0
2026-08-13T09:00:00-03:00,11,reference,9.663025512177912,9.663025512177912,0.0
2026-08-13T09:00:00-03:00,11,candidate,9.663025512177912,9.663025512177912,0.0
2026-08-13T09:00:00-03:00,12,reference,9.728695686048908,9.728695686048908,0.0
2026-08-13T09:00:00-03:00,12,candidate,9.728695686048908,9.728695686048908,0.0
