phase,horizon_h,profile,subset,rows,complete,partial_missing,all_six_missing,any_missing,any_missing_fraction,column_18_missing,column_19_missing,column_20_missing,column_21_missing,column_22_missing,column_23_missing
validation,10,mixed,observed_ge_7m,163,163,0,0,0,0.0,0,0,0,0,0,0
test,10,A,all,9274,9274,0,0,0,0.0,0,0,0,0,0,0
test,10,A,observed_ge_7m,191,191,0,0,0,0.0,0,0,0,0,0,0
test,10,B,all,9274,9274,0,0,0,0.0,0,0,0,0,0,0
test,10,B,observed_ge_7m,191,191,0,0,0,0.0,0,0,0,0,0,0
test,10,mixed,all,9274,9274,0,0,0,0.0,0,0,0,0,0,0
test,10,mixed,observed_ge_7m,191,191,0,0,0,0.0,0,0,0,0,0,0
validation,11,A,all,3516,3516,0,0,0,0.0,0,0,0,0,0,0
validation,11,A,observed_ge_7m,165,165,0,0,0,0.0,0,0,0,0,0,0
validation,11,B,all,3516,3516,0,0,0,0.0,0,0,0,0,0,0
validation,11,B,observed_ge_7m,165,165,0,0,0,0.0,0,0,0,0,0,0
validation,11,mixed,all,3516,3516,0,0,0,0.0,0,0,0,0,0,0
validation,11,mixed,observed_ge_7m,165,165,0,0,0,0.0,0,0,0,0,0,0
test,11,A,all,9275,9275,0,0,0,0.0,0,0,0,0,0,0
test,11,A,observed_ge_7m,193,193,0,0,0,0.0,0,0,0,0,0,0
test,11,B,all,9275,9275,0,0,0,0.0,0,0,0,0,0,0
test,11,B,observed_ge_7m,193,193,0,0,0,0.0,0,0,0,0,0,0
test,11,mixed,all,9275,9275,0,0,0,0.0,0,0,0,0,0,0
test,11,mixed,observed_ge_7m,193,193,0,0,0,0.0,0,0,0,0,0,0
validation,12,A,all,3513,3513,0,0,0,0.0,0,0,0,0,0,0
validation,12,A,observed_ge_7m,166,166,0,0,0,0.0,0,0,0,0,0,0
validation,12,B,all,3513,3513,0,0,0,0.0,0,0,0,0,0,0
validation,12,B,observed_ge_7m,166,166,0,0,0,0.0,0,0,0,0,0,0
validation,12,mixed,all,3513,3513,0,0,0,0.0,0,0,0,0,0,0
validation,12,mixed,observed_ge_7m,166,166,0,0,0,0.0,0,0,0,0,0,0
test,12,A,all,9269,9269,0,0,0,0.0,0,0,0,0,0,0
test,12,A,observed_ge_7m,194,194,0,0,0,0.0,0,0,0,0,0,0
test,12,B,all,9269,9269,0,0,0,0.0,0,0,0,0,0,0
test,12,B,observed_ge_7m,194,194,0,0,0,0.0,0,0,0,0,0,0
test,12,mixed,all,9269,9269,0,0,0,0.0,0,0,0,0,0,0
test,12,mixed,observed_ge_7m,194,194,0,0,0,0.0,0,0,0,0,0,0
