phase,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
test,7,full_schedule,all,hourly_plus2018,1961,23,1938,1924,14,1711,0.8892931392931392,0.8828689370485037,0.2535827802612305,-0.04092749325541543,1.2348556758068987,6.0208534987449145
test,7,full_schedule,level_ge_7m,hourly_control,1961,23,237,236,1,136,0.576271186440678,0.5738396624472574,0.7686365930885518,-0.0930217243223741,4.958578339952593,5.741668726661139
test,7,full_schedule,level_ge_7m,hourly_plus2018,1961,23,237,236,1,140,0.5932203389830508,0.5907172995780591,0.6995641232444646,-0.16797172215658912,4.81635244604648,6.0208534987449145
test,7,complete_upstream18,all,hourly_control,1357,5,1352,1351,1,1215,0.8993338267949667,0.8986686390532544,0.22323596422888806,-0.017861661373304964,0.9685317299044636,2.6420359502076423
test,7,complete_upstream18,all,hourly_plus2018,1357,5,1352,1351,1,1222,0.9045151739452257,0.9038461538461539,0.2201968420527949,-0.022624157576350466,0.9380113931137615,2.360113419591425
test,7,complete_upstream18,level_ge_7m,hourly_control,1357,5,140,140,0,91,0.65,0.65,0.5027925723199538,0.007459530716594515,2.160922957263374,2.6420359502076423
test,7,complete_upstream18,level_ge_7m,hourly_plus2018,1357,5,140,140,0,96,0.6857142857142857,0.6857142857142857,0.46324966949373436,-0.014046316669134492,1.7981748651732108,2.360113419591425
test,7,missing_upstream18,all,hourly_control,604,18,586,573,13,466,0.8132635253054101,0.7952218430034129,0.3856095959774868,0.0011918933812931026,2.2668450447151733,5.741668726661139
test,7,missing_upstream18,all,hourly_plus2018,604,18,586,573,13,489,0.8534031413612565,0.8344709897610921,0.33229901502492404,-0.08408247842542722,2.012589687169961,6.0208534987449145
test,7,missing_upstream18,level_ge_7m,hourly_control,604,18,97,96,1,45,0.46875,0.4639175257731959,1.1563257900427575,-0.23955688792087004,5.309722079508905,5.741668726661139
test,7,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,97,96,1,44,0.4583333333333333,0.4536082474226804,1.044189368297613,-0.3924462718257938,5.589763724342299,6.0208534987449145
test,8,full_schedule,all,hourly_control,1960,23,1937,1922,15,1621,0.8433922996878251,0.8368611254517295,0.33000991457364304,-0.023376626382035033,1.8473990436877445,6.34538255352402
test,8,full_schedule,all,hourly_plus2018,1960,23,1937,1922,15,1671,0.8694068678459937,0.8626742385131647,0.3023318218721714,-0.05073625515625353,1.3931451465225337,6.28361375098855
test,8,full_schedule,level_ge_7m,hourly_control,1960,23,237,236,1,126,0.5338983050847458,0.5316455696202531,0.896150794225324,-0.1358930876341121,5.515458503514206,6.34538255352402
test,8,full_schedule,level_ge_7m,hourly_plus2018,1960,23,237,236,1,134,0.5677966101694916,0.5654008438818565,0.7827593546022272,-0.20301588175674348,5.2123772194181095,6.28361375098855
test,8,complete_upstream18,all,hourly_control,1356,5,1351,1350,1,1171,0.8674074074074074,0.8667653589933383,0.2742499842217962,-0.03186568995752836,1.1009630254233023,2.5409748122383373
test,8,complete_upstream18,all,hourly_plus2018,1356,5,1351,1350,1,1188,0.88,0.8793486306439674,0.26692721580566553,-0.0285923426944163,1.0629390614758223,2.440486297449919
test,8,complete_upstream18,level_ge_7m,hourly_control,1356,5,140,140,0,87,0.6214285714285714,0.6214285714285714,0.5558720549762772,-0.05010793954671871,2.2489321385487475,2.5409748122383373
test,8,complete_upstream18,level_ge_7m,hourly_plus2018,1356,5,140,140,0,90,0.6428571428571429,0.6428571428571429,0.5096992248431689,-0.04297723918767434,2.0612019750484354,2.440486297449919
test,8,missing_upstream18,all,hourly_control,604,18,586,572,14,450,0.7867132867132867,0.7679180887372014,0.4616111487956591,-0.0033412490622518197,2.795462977472891,6.34538255352402
test,8,missing_upstream18,all,hourly_plus2018,604,18,586,572,14,483,0.8444055944055944,0.8242320819112628,0.3858916438822814,-0.10299898561688338,2.5816376407470925,6.28361375098855
test,8,missing_upstream18,level_ge_7m,hourly_control,604,18,97,96,1,39,0.40625,0.4020618556701031,1.3923906222968505,-0.2609964285948942,5.982648669913941,6.34538255352402
test,8,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,97,96,1,44,0.4583333333333333,0.4536082474226804,1.1809720438341873,-0.4364055688366359,5.883611171404094,6.28361375098855
test,9,full_schedule,all,hourly_control,1959,23,1936,1920,16,1552,0.8083333333333333,0.8016528925619835,0.3815619164533893,-0.02579810266267466,2.0090064166406134,6.399986252911056
test,9,full_schedule,all,hourly_plus2018,1959,23,1936,1920,16,1566,0.815625,0.8088842975206612,0.36194487289548777,-0.05703745986841123,1.7013739480116887,7.017724924010746
test,9,full_schedule,level_ge_7m,hourly_control,1959,23,237,236,1,111,0.4703389830508475,0.46835443037974683,1.0187292413104856,-0.1440516713885495,5.726516202359707,6.399986252911056
test,9,full_schedule,level_ge_7m,hourly_plus2018,1959,23,237,236,1,120,0.5084745762711864,0.5063291139240507,0.9443387018705233,-0.24548591839662023,6.167428057491343,7.017724924010746
test,9,complete_upstream18,all,hourly_control,1355,5,1350,1349,1,1114,0.8257968865826538,0.8251851851851851,0.32388993661229254,-0.025263868253805694,1.2457526928912497,3.0891831499353035
test,9,complete_upstream18,all,hourly_plus2018,1355,5,1350,1349,1,1119,0.8295033358042995,0.8288888888888889,0.31619664318954716,-0.0291736059982692,1.2565158314116747,2.945866799565154
test,9,complete_upstream18,level_ge_7m,hourly_control,1355,5,140,140,0,74,0.5285714285714286,0.5285714285714286,0.6725636873403933,-0.02682416417379745,2.7951537188480753,3.0891831499353035
test,9,complete_upstream18,level_ge_7m,hourly_plus2018,1355,5,140,140,0,81,0.5785714285714286,0.5785714285714286,0.6276161105260093,-0.02524974834563667,2.2780282180324853,2.945866799565154
test,9,missing_upstream18,all,hourly_control,604,18,586,571,15,438,0.7670753064798599,0.7474402730375427,0.5178132313494307,-0.027060243148776635,3.1943889372853067,6.399986252911056
test,9,missing_upstream18,all,hourly_plus2018,604,18,586,571,15,447,0.7828371278458844,0.7627986348122867,0.4700260670694176,-0.12286642461590969,3.521721662312548,7.017724924010746
test,9,missing_upstream18,level_ge_7m,hourly_control,604,18,97,96,1,37,0.3854166666666667,0.38144329896907214,1.5235540075168703,-0.31500845274339623,6.085208568607202,6.399986252911056
test,9,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,97,96,1,39,0.40625,0.4020618556701031,1.4062258142479394,-0.5666636663876378,6.586716211702368,7.017724924010746
test,10,full_schedule,all,hourly_control,1958,23,1935,1918,17,1455,0.7586027111574557,0.751937984496124,0.4285842414271255,-0.05518301191165243,1.9850814260854637,6.961267715048452
test,10,full_schedule,all,hourly_plus2018,1958,23,1935,1918,17,1440,0.7507820646506778,0.7441860465116279,0.4159925669468419,-0.0787632803033978,1.9068010615528073,7.378425529225235
test,10,full_schedule,level_ge_7m,hourly_control,1958,23,237,236,1,88,0.3728813559322034,0.37130801687763715,1.1481849155628434,-0.31003016120366245,6.280702818123812,6.961267715048452
test,10,full_schedule,level_ge_7m,hourly_plus2018,1958,23,237,236,1,98,0.4152542372881356,0.41350210970464135,1.0727185043258503,-0.3070155026127963,6.435581340272522,7.378425529225235
test,10,complete_upstream18,all,hourly_control,1354,5,1349,1348,1,1046,0.7759643916913946,0.7753891771682728,0.36764524974398644,-0.04159225291626167,1.4915487370402494,2.881066249719037
test,10,complete_upstream18,all,hourly_plus2018,1354,5,1349,1348,1,1028,0.7626112759643917,0.7620459599703484,0.36765590205532817,-0.05239218563943774,1.5260550367943546,2.687782640624228
test,10,complete_upstream18,level_ge_7m,hourly_control,1354,5,140,140,0,58,0.4142857142857143,0.4142857142857143,0.7656172407194881,-0.1382202968037019,2.3645517898110158,2.881066249719037
test,10,complete_upstream18,level_ge_7m,hourly_plus2018,1354,5,140,140,0,63,0.45,0.45,0.7470550672203815,-0.05794274035529345,2.388355503864115,2.687782640624228
test,10,missing_upstream18,all,hourly_control,604,18,586,570,16,409,0.7175438596491228,0.6979522184300341,0.5726996112321632,-0.0873239647639099,3.788918807164673,6.961267715048452
test,10,missing_upstream18,all,hourly_plus2018,604,18,586,570,16,412,0.7228070175438597,0.7030716723549488,0.5303045393569481,-0.14112860592974544,3.973047565846393,7.378425529225235
test,10,missing_upstream18,level_ge_7m,hourly_control,604,18,97,96,1,30,0.3125,0.30927835051546393,1.706096108042737,-0.5605862134536049,6.687355322331864,6.961267715048452
test,10,missing_upstream18,level_ge_7m,hourly_plus2018,604,18,97,96,1,35,0.3645833333333333,0.36082474226804123,1.5476443501046588,-0.6702466142383213,6.7262304444282135,7.378425529225235
