phase,horizon_h,population,subset,observed_targets,pairs,failures,control_hits,augmented_hits,delta_hits,control_mae_m,augmented_mae_m,control_max_m,augmented_max_m
validation,6,complete_upstream18,all,6021,6004,17,5891,5892,1,0.09480310904991884,0.0998103184129382,2.423297278017234,2.3396457491762686
validation,6,complete_upstream18,level_ge_7m,28,28,0,21,20,-1,0.36918320277457173,0.3692234500870168,2.1737320381886134,1.9213556810105823
validation,6,missing_upstream18,all,491,474,17,398,405,7,0.2603385281705985,0.2388735955543831,1.3831457069374478,1.677101583062738
validation,6,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,7,full_schedule,all,6511,6478,33,6140,6153,13,0.13949033131269187,0.13915851308049038,2.536478690960327,2.7133829166057124
validation,7,full_schedule,level_ge_7m,28,28,0,18,16,-2,0.5738217500950386,0.5725053823217915,2.536478690960327,2.7133829166057124
validation,7,complete_upstream18,all,6022,6005,17,5751,5761,10,0.1294671026767006,0.12960320626571112,2.536478690960327,2.7133829166057124
validation,7,complete_upstream18,level_ge_7m,28,28,0,18,16,-2,0.5738217500950386,0.5725053823217915,2.536478690960327,2.7133829166057124
validation,7,missing_upstream18,all,489,473,16,389,392,3,0.2667408343975281,0.26046848649010856,1.5803018224686582,1.7155362526834497
validation,7,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,8,full_schedule,all,6510,6476,34,5941,6037,96,0.18532634211090973,0.17531939134626504,2.76587318635416,3.323489250588137
validation,8,full_schedule,level_ge_7m,28,28,0,17,16,-1,0.5086703318662178,0.6408143136294168,2.2652426805252706,2.6819911556511764
validation,8,complete_upstream18,all,6021,6004,17,5577,5658,81,0.17328927546547981,0.16748698563996858,2.76587318635416,3.323489250588137
validation,8,complete_upstream18,level_ge_7m,28,28,0,17,16,-1,0.5086703318662178,0.6408143136294168,2.2652426805252706,2.6819911556511764
validation,8,missing_upstream18,all,489,472,17,364,379,15,0.3384419102023528,0.2749502469831378,1.9664365679641493,1.8283354177602735
validation,8,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,9,full_schedule,all,6509,6475,34,5786,5854,68,0.21878441884440672,0.20812100785559834,3.5276644420723478,4.072832687328837
validation,9,full_schedule,level_ge_7m,28,28,0,13,13,0,0.7165782762772184,0.7837122193904021,2.095221544541152,2.2285036317419387
validation,9,complete_upstream18,all,6021,6004,17,5426,5493,67,0.2089278865715522,0.19981426586179107,3.5276644420723478,4.072832687328837
validation,9,complete_upstream18,level_ge_7m,28,28,0,13,13,0,0.7165782762772184,0.7837122193904021,2.095221544541152,2.2285036317419387
validation,9,missing_upstream18,all,488,471,17,360,361,1,0.3444290467981621,0.31400992278302686,2.8520809707180774,1.9910341397744409
validation,9,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,10,full_schedule,all,6508,6474,34,5538,5655,117,0.2738224589819417,0.2530941949520817,3.409399053803099,3.1111901107671254
validation,10,full_schedule,level_ge_7m,28,28,0,10,13,3,0.8418339887890641,0.7515828535227723,2.142675103203933,2.525319408509713
validation,10,complete_upstream18,all,6020,6003,17,5199,5297,98,0.262405112999366,0.24522437794639035,3.3056167254271487,3.1111901107671254
validation,10,complete_upstream18,level_ge_7m,28,28,0,10,13,3,0.8418339887890641,0.7515828535227723,2.142675103203933,2.525319408509713
validation,10,missing_upstream18,all,488,471,17,339,358,19,0.41933907879808135,0.3533967671074222,3.409399053803099,1.9775437081343545
validation,10,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,11,full_schedule,all,6507,6473,34,5408,5439,31,0.2992631393422329,0.2823132697537959,3.527340696401988,3.5257920239134646
validation,11,full_schedule,level_ge_7m,28,28,0,7,10,3,0.9209712478068522,0.9504250181422906,2.727934416347221,2.50777083296966
validation,11,complete_upstream18,all,6020,6003,17,5084,5108,24,0.28914165284354865,0.27421997816842936,3.527340696401988,3.5257920239134646
validation,11,complete_upstream18,level_ge_7m,28,28,0,7,10,3,0.9209712478068522,0.9504250181422906,2.727934416347221,2.50777083296966
validation,11,missing_upstream18,all,487,470,17,324,331,7,0.4285382105158533,0.3856835450451902,3.1570375309797685,2.1466195915941952
validation,11,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
validation,12,full_schedule,all,6506,6472,34,5316,5399,83,0.31507131086568224,0.2929927450683551,4.015683208089365,3.7351037893426646
validation,12,full_schedule,level_ge_7m,28,28,0,9,8,-1,0.8500946765774603,1.0017210918586577,2.4377570478483914,2.259778508248031
validation,12,complete_upstream18,all,6019,6002,17,4993,5068,75,0.30532070073064727,0.2860664312220691,4.015683208089365,3.7351037893426646
validation,12,complete_upstream18,level_ge_7m,28,28,0,9,8,-1,0.8500946765774603,1.0017210918586577,2.4377570478483914,2.259778508248031
validation,12,missing_upstream18,all,487,470,17,323,331,8,0.4395886768879799,0.3814432465692245,3.750935174645684,2.0391103124633707
validation,12,missing_upstream18,level_ge_7m,0,0,0,0,0,0,,,,
