phase,family,horizon_h,n,recent_n,added_n,weight_sum,input119_sha256,response_sha256,weight_sha256,first_origin,last_origin,latest_target
validation,hourly_plus2018,7,4662,4354,308,6044,5e130d15bd36db6b1ba6358bbfeb77bc1ce57f03cb07c1416fa8b57301912d8e,828e28bdc6c286ff6d3b0baddb311aba1ef85e2f3e651eb1e10cf55dc1a8980d,fc91fd4e1b9a67058e43e7163f01f5ec1ff94532967b5c8514314d3c81ec3061,2018-08-30T00:00:00-03:00,2025-09-30T16:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,7,10832,10832,0,13054,7f510abc3af94ba72ae3afbba5c51290fb745b2a5619a902ec3870322c2c2303,72379df04e347f1ccb560c0dd8c3ee174c734da05eb7105a17973a985aac92e6,dd42a9de9e538517641e4710c1cfa57612b59208ac90ca5dddc804d1e89fba58,2025-04-01T09:00:00-03:00,2026-06-30T16:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,7,11140,10832,308,13526,f8a320fe0e1c5744bf256ca6dd73668728a5f8b37644f45f8469693e5e3b63d9,f2a9ee2dc810c9cbc94e821f590a0cd5ef7e3d8d019c2b61f28a2d9d156dbebd,33823d789f00e8e2d31bc4fc81ae85451fc940f4a6e5f03e29cb4efb3cd64421,2018-08-30T00:00:00-03:00,2026-06-30T16:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,8,4353,4353,0,5709,7908cafd8878169c4b620f8b97c23450fbe9c5a2c24c747f72caf57d9b4e7238,6ca485d838fe148e777c78d08339416f9fd409f1045e11fbc4e5882f9752440e,ed75a590f0072b454ac8c00baaa52bdcde70b154d02b5d148d4236ef189d97be,2025-04-01T09:00:00-03:00,2025-09-30T15:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,8,4659,4353,306,6191,6e1aaa4ef5ae840ee932e01cbec88929467f39df3689dd9223669459a376cb12,d9df53010462e5378af46df44b478f8727e57979c36096669d544d76bef1c0db,45cbc3d0feae825368f09f0267ca690a76b496edf3e377424ca1b33e012bf698,2018-08-30T00:00:00-03:00,2025-09-30T15:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,8,10829,10829,0,13343,5a1be608bd1ec7573411bd3d8e3ad9104136e7ccfce65747cff54f7859a29904,58c06766f1bfd41e4f18a38f130d413928dc37e9ea703237622c59f454ee9ccc,89149bd8cd20f4f689b15ff2b31ad3a84619682a850f0f72d11a8cc6bdfd0307,2025-04-01T09:00:00-03:00,2026-06-30T15:00:00-03:00,2026-06-30T23:00:00-03:00
test,hourly_plus2018,8,11135,10829,306,13825,3e116b371b331a8d3fc84ef35357b5bb7cdf5204164094841aefa2591bb2124d,6a02dacd38b960bbd929eda0ccb3e608b2bcb4981d56d500d078804e8905b4c8,34ea565e05fbf728ea7233c9ddb77d9bd561937009e3aebe2eba355730a82ae9,2018-08-30T00:00:00-03:00,2026-06-30T15:00:00-03:00,2026-06-30T23:00:00-03:00
validation,hourly_control,9,4352,4352,0,5800,92e69964cff774d73a52b008720de6bf6f529234b53c804ebd314aec012e5ac4,c9723996dde9ffec4e7faec3dd745fb98b928a2b6de91e052f1e29b4d6a002ae,278ce6481e22fc27c525a4201446927be1f8dfd11c481d498d2e9aee0efe9fde,2025-04-01T09:00:00-03:00,2025-09-30T14:00:00-03:00,2025-09-30T23:00:00-03:00
validation,hourly_plus2018,9,4656,4352,304,6292,abdfe60dbf0e72669b66ebcb9b9c1299e1b57a63ed9f5497b2d84d73b2fa4dba,dce8f12b34627b728ac3285f1625ec1fb4a88517eb6da5c125a1ef0646121577,fca080e093aa49ec4a9af83d434c7f88b5e3c5c12079ccd0103b00e7993c0cbd,2018-08-30T00:00:00-03:00,2025-09-30T14:00:00-03:00,2025-09-30T23:00:00-03:00
test,hourly_control,9,10827,10827,0,13507,9f2e098fbbd9b0a0be0aebab6a5accf6a7330b525277d750508f37058dbbb830,7ab18d1f95b2a76af96a57ebe3ab244fb3c3f58b644432de6d237e9d7c00ba5e,96c4dcbb03bc18ab82da02ae7afd89a3074bb3c3c636435055f8da4f5b373e73,2025-04-01T09:00:00-03:00,2026-06-30T14:00:00-03:00,2026-06-30T23:00:00-03:00
